video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgwPR65Hd4COLc1YOP14AaABAg,NA,@donniebrookeQtruth,UCuVoP5qUq-IiEWxjdjvGK3A,RESEARCH: TIM OSMAN‼️,NA,2025-12-15T01:44:04Z,2025-12-14 20:44:04,1,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgzNtZy_N8NFr3ELVnV4AaABAg,NA,@FayzullayevNormuhammad,UCga6E9nmhtcPvror3zYICzw,USA vs USA,ceb,2025-12-07T09:00:31Z,2025-12-07 04:00:31,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgxrLcqWxaCo4VnoVNZ4AaABAg,NA,@PAKISTAN.8,UCe7EFjxa-Z0kc9WexIeieow,Well such Large amount of propaganda have been pumped through so many yrs.,en,2025-12-05T12:24:43Z,2025-12-05 07:24:43,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgzQQbk3k8-MQnQHJox4AaABAg,NA,@Supremuim,UCEZxxMo--9Sfr0TfpypnB_A,We can all agree this tralier is cool af,en,2025-11-30T01:04:56Z,2025-11-29 20:04:56,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgxqbFUKQ2sWmwM8ql14AaABAg,NA,@uere,UC-y_x0MwWVZnwYkLtpHdN_Q,"I recommend watching the drama 'The Looming Tower' which is an adaptation of the non-fiction book of the same name by Lawrence Wright. It's a 10 part series, brilliantly acted that portrays the failures of US intelligence services to ultimately prevent 9/11 and the east-africa embassy and US Cole bombings beforehand. Stop what you're doing and watch it. There is dry humour but it is also deeply emotional. You may thank me later.",en,2025-11-29T06:51:07Z,2025-11-29 01:51:07,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgzJrG7SlT0BWKPQKR14AaABAg,NA,@HmJubayerHowladar,UCFWddBxFzVqMexYc29aSRCw,"A Project of US Government For Eye Wash, Any other Religion people’s do terrorism so terrorist have no religion, but when Muslim do so world say = Only Muslim do terrorism, wow what a law 😂👏",en,2025-11-28T08:05:26Z,2025-11-28 03:05:26,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgzJsWxjAQ3z4xQY5Ul4AaABAg,NA,@TarequeBinoy,UCG4uHlB0wNgmH1JUC9bTsFQ,Make a film about killing those Afghanistan by Americans,en,2025-11-27T19:38:13Z,2025-11-27 14:38:13,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgzRAdS_eNBMlJe3DTN4AaABAg,NA,@TarequeBinoy,UCG4uHlB0wNgmH1JUC9bTsFQ,"Just a documentary of killing osama bin laden & innocent act of arrogant americans not the whole real story 😂😂😂
Oh! I forgot about those american D suckers (indian) who r saying this is the real story without knowing anything about this incident",en,2025-11-27T19:08:26Z,2025-11-27 14:08:26,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,Ugwx3poeQKyHu61jRP54AaABAg,NA,@JennifferHouseKeeperRHernandez,UCQDPoU-68okYxltfLwdG6fA,El abuelo del mish,es,2025-11-23T18:57:19Z,2025-11-23 13:57:19,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgzzFBTynwhDqRQR9Wd4AaABAg,NA,@JennifferHouseKeeperRHernandez,UCQDPoU-68okYxltfLwdG6fA,El es el verde black,es,2025-11-23T18:56:42Z,2025-11-23 13:56:42,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgyfjsA0yobC_2XxgSN4AaABAg,NA,@flysolo7089,UCSk6-DifrJetbNJFU4vt-mg,How did pakistan respond to it?? 😂😂,en,2025-11-22T05:30:48Z,2025-11-22 00:30:48,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgwHfKv28Woju-rk_5h4AaABAg,NA,@SirriFru,UCLvCcAuj0lzR0aaMxgB8Yfw,"Because a man dies doesn't mean the   covenant dies.  This man had a covenant with America and years later his words are still playing out. Hear what is said 0:38 and to think they are still fighting as he said.

Mind you covenants don't die because the man or people who made it died, covenants bear fruits good or bad.",en,2025-11-21T21:54:56Z,2025-11-21 16:54:56,1,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,Ugy2ncynqiVsEa3aXSV4AaABAg,NA,@MoizAliBanglani-h9n,UCnrnVbC2h9-xWq4DZTxYPbg,United State of Shitsrael 👍,en,2025-11-21T14:13:03Z,2025-11-21 09:13:03,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,Ugw5_rbp3D2xY51zX6R4AaABAg,NA,@mralexforbes,UCmZdILLp3wgm2W3alh6RQxA,I didnt like the end bit when the lady said he should have been left alive to live to be an old man and everyone just forget about him... wtf. He was already an old man and he was living it up in the bunker with family and friends. Why should he just be let off? Some of those bureaucrat CIA ppl should just be left out because they are too weak and frightened to fight terrorists.,en,2025-11-21T01:03:33Z,2025-11-20 20:03:33,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgxzBd8D_6lSc6BT8e14AaABAg,NA,@DuckHorse22,UCLiGtSUkec3h0m2VVgLF10A,They want you to believe what they want you to believe,en,2025-11-14T20:04:09Z,2025-11-14 15:04:09,0,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,2153117,31496,3077,UgyisT36E31i9DC50j54AaABAg,NA,@Bigwhitemountianofsnow,UCl_9HR1wHG8MJnfkHKCs9oA,"False wars, false propaganda, false heroism, false freedom, everything about this documentary is falsified. Pakistanis provided all the intel and did the hardwork and Pakistan airforce looked away to allow America to have its propaganda succeed. do you not think that military and airforce would have shot these choppers down from miles away. Pakistan airforce base in Attock was not far away. ISI knew everything. It’s only America and Americans who believe their false heroism.",en,2025-11-11T09:23:54Z,2025-11-11 04:23:54,0,2
