video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgyisT36E31i9DC50j54AaABAg.APNoR-1ra64APRV9q2Dy1F,UgyisT36E31i9DC50j54AaABAg,@krupajitnaik2054,UCTtJdvN6BYWPFhoe5I97axA,Jihadi madarchodo sab terrorist he allah ke ganddd chatto jakee,NA,2025-11-12T19:43:45Z,2025-11-12 14:43:45,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgyisT36E31i9DC50j54AaABAg.APNoR-1ra64APdAOBwN3Dn,UgyisT36E31i9DC50j54AaABAg,@kenaraiza6301,UCM999JeHOwUs97KmmHiPKSw,LOL Pakistanis did literally nothing but provide Osama a nice little preserve.  Wake up.,en,2025-11-17T17:52:20Z,2025-11-17 12:52:20,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgwD-21bC7Sy1rJ5DmJ4AaABAg.APNn-yy2jGbAPdAIOi9HO0,UgwD-21bC7Sy1rJ5DmJ4AaABAg,@kenaraiza6301,UCM999JeHOwUs97KmmHiPKSw,"Funny how it is always American and never the countries themselves, great little scapegoat for avoiding responsibility.",en,2025-11-17T17:51:33Z,2025-11-17 12:51:33,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgxVXBj7J6q9RiRDjB54AaABAg.AOzhhvTnmXwAPdA7NNnGxE,UgxVXBj7J6q9RiRDjB54AaABAg,@kenaraiza6301,UCM999JeHOwUs97KmmHiPKSw,"This is Netflix propaganda filled with inaccuracies.  Once again Netflix sticks with their woke girl power all the while making stuff up, this was a CIA recruitment propaganda commercial.  You think Tora Bora was four CIA operatives, LOL that was a team of delta force operatives with the CIA guys following at a safe distance.  You think it was a bunch of female analyst tracking down Osama, that is a load of manure.",en,2025-11-17T17:50:03Z,2025-11-17 12:50:03,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgzuTkOEwJpQpU1jFp54AaABAg.ANQheCJOSGVANbDfFP75g6,UgzuTkOEwJpQpU1jFp54AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,Real terrorist is muslim countrys..,NA,2025-09-28T06:39:45Z,2025-09-28 02:39:45,2
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,Ugyq08ly6XOb01Uj3YB4AaABAg.ANArV3JLP7yANbDnJ2HudD,Ugyq08ly6XOb01Uj3YB4AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,Muslim can't accept Osama is territories 😂😂.,en,2025-09-28T06:40:51Z,2025-09-28 02:40:51,2
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,Ugxd8A2JwvsyWqeoZ3R4AaABAg.AN5df2Jcq0kANbDs_CC1Ns,Ugxd8A2JwvsyWqeoZ3R4AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,He's send a video in 2004 he's accept he's attack to usa..,en,2025-09-28T06:41:34Z,2025-09-28 02:41:34,2
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgzLLfSUK_NWSAdEBJp4AaABAg.AMhwZg66IgNANbDxDhHd58,UgzLLfSUK_NWSAdEBJp4AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,Yes terrorist support,NA,2025-09-28T06:42:12Z,2025-09-28 02:42:12,1
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgzLLfSUK_NWSAdEBJp4AaABAg.AMhwZg66IgNANx2acbzz7N,UgzLLfSUK_NWSAdEBJp4AaABAg,@RTerrcool,UCdS_HC2z4Ov9adDh2dxvfog,This generation is cooked 💔🥀,en,2025-10-06T18:06:17Z,2025-10-06 14:06:17,1
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,Ugz3UACjTZxhV-60Pnl4AaABAg.AM_qL21qGNuANbE41kJTk1,Ugz3UACjTZxhV-60Pnl4AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,What lie first osama attack to usa and hee from Afghanistan and Pakistan..,en,2025-09-28T06:43:16Z,2025-09-28 02:43:16,2
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgyCADlF-XccJ0NgPt14AaABAg.AMTz-wBsr19ANbE93LRRcR,UgyCADlF-XccJ0NgPt14AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,He's terrorist who support to isreal..,en,2025-09-28T06:43:57Z,2025-09-28 02:43:57,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgwAmIRUAqIG2TEv11V4AaABAg.AM7DsAFxxP-ANbEE-Cyash,UgwAmIRUAqIG2TEv11V4AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,Yes he's your father 😂😂and our son..,en,2025-09-28T06:44:38Z,2025-09-28 02:44:38,0
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgxZr4wK_Dz-vfc-eM14AaABAg.AM5LWQP8qtYANbEI6R9vvc,UgxZr4wK_Dz-vfc-eM14AaABAg,@S.ENTERTENMENT,UC2lKu_ApEGJ-MAu1Ln-ibNw,Usa is not muslim country 😂😂😂your a terriost..,en,2025-09-28T06:45:12Z,2025-09-28 02:45:12,1
ZzjwcujKvho,American Manhunt: Osama bin Laden | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-18T17:00:00Z,UgxfnmGNpYOUuEx7Dbl4AaABAg.AM30U8fz39FAMFNIsLXel-,UgxfnmGNpYOUuEx7Dbl4AaABAg,@alishaker5121,UCbLggWAcI-ZjFhbv6HYHAyQ,Before you spread your bs go read about how bin laden became so powerful,en,2025-08-25T13:10:01Z,2025-08-25 09:10:01,1
