video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,UgxHW-qvLpORMAh1mxd4AaABAg,@abhisrd25,UCpOdSQBNf-PY0JrfvasnDSg,our Indian fear-files more scarier then this show,en,2025-10-23T12:14:59Z,2025-10-23 08:14:59,0,1,UgxHW-qvLpORMAh1mxd4AaABAg.AOcBuRE-KrhAQENN09lrrY,@NishaKumari-e5b,UCYOuTBjQd_2zwzDp8_yorog,😆,ja,2025-12-02T13:56:55Z,2025-12-02 08:56:55,0,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,UgwkN2qjOELoLeV4tKR4AaABAg,@Ghostcarrera,UCa1zdIrPNuuKIxxGv70J20A,"“ I don’t believe in ghosts and spirits” -Priest😂😂😂
But you just believe in God, angels heaven afterlife Jesus waking up from the dead, but definitely not in ghost spirits😂😂😂😂😂😂😂😂",en,2025-10-12T02:58:11Z,2025-10-11 22:58:11,2,1,UgwkN2qjOELoLeV4tKR4AaABAg.AO9sRkH2WImAOBDuK2Nv7w,@DirtyDanTanner,UCM0GbXAd69tSU07OdhD_JKg,"Well, he’s a Catholic priest so there was Chris’ first mistake..",en,2025-10-12T15:33:42Z,2025-10-12 11:33:42,0,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,Ugz7XITbu4caG1BgDX54AaABAg,@emrahg4031,UCwmBk0CniXPDMVu3cm4wvOg,Why didn’t the camera guy take photos of the scratches of Chris in the shower? He took photos of everything else?,en,2025-10-09T11:44:34Z,2025-10-09 07:44:34,6,1,Ugz7XITbu4caG1BgDX54AaABAg.AO35IPKqwhbAQdE51X2ael,@mkay8669,UCttuS62bYyB56se2stg760w,literally my first question when I saw this doc.,en,2025-12-12T14:56:04Z,2025-12-12 09:56:04,0,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,Ugzi4h__MWE0ivtQ3iR4AaABAg,@gy.p.s.y,UCVaZft7A8FP-0PJD2mkkKSg,Why did Ed and Lorraine not help him? Can’t believe she refused to shake his hand and not let him know what was going on. That’s upsetting to know.,en,2025-10-08T10:41:35Z,2025-10-08 06:41:35,12,4,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAO1wuYzTDm-,@crazyralph6386,UCX4aq5QIKoybAbiFj-9EiWg,"Probably cause it never happened. Funny how his buddy the photographer never took pictures of such an event, even though he apparently wrote pages of notes??? It’s all a big hoax.",en,2025-10-09T01:03:17Z,2025-10-08 21:03:17,7,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,Ugzi4h__MWE0ivtQ3iR4AaABAg,@gy.p.s.y,UCVaZft7A8FP-0PJD2mkkKSg,Why did Ed and Lorraine not help him? Can’t believe she refused to shake his hand and not let him know what was going on. That’s upsetting to know.,en,2025-10-08T10:41:35Z,2025-10-08 06:41:35,12,4,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAO35diTnh9F,@emrahg4031,UCwmBk0CniXPDMVu3cm4wvOg,@crazyralph6386 Also no photos of the scratches of Chris’s back in the shower…..,en,2025-10-09T11:47:37Z,2025-10-09 07:47:37,4,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,Ugzi4h__MWE0ivtQ3iR4AaABAg,@gy.p.s.y,UCVaZft7A8FP-0PJD2mkkKSg,Why did Ed and Lorraine not help him? Can’t believe she refused to shake his hand and not let him know what was going on. That’s upsetting to know.,en,2025-10-08T10:41:35Z,2025-10-08 06:41:35,12,4,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAO8MHHkGKcF,@TheLynxAngel,UC1eFUIAsga57OqiwBT6Wj9w,@crazyralph6386 idk about that. apparently Ed had allegations against him long ago and Lorraine stood beside him anyways...i don't think they were that great of people tbh so I believe she would just refuse to help certain people lol.,en,2025-10-11T12:49:10Z,2025-10-11 08:49:10,2,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,Ugzi4h__MWE0ivtQ3iR4AaABAg,@gy.p.s.y,UCVaZft7A8FP-0PJD2mkkKSg,Why did Ed and Lorraine not help him? Can’t believe she refused to shake his hand and not let him know what was going on. That’s upsetting to know.,en,2025-10-08T10:41:35Z,2025-10-08 06:41:35,12,4,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAOCPfBL3-mq,@cherylcoomes6739,UCrxNaxNnPf89gMjtMPbOPTw,Fr like wtf is wrong with her,en,2025-10-13T02:35:44Z,2025-10-12 22:35:44,2,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,UgxB7G4QKaIu3gtMJIV4AaABAg,@Nomadic_psyche_,UClcZwIZyudZ2LfWKEM8GoQQ,"Okay don’t read my comment if you haven’t seen it…going to put my theory down bellow…










What if…Chris was Tommy Boyd in a past life….and the energetic pain  and suffering, an inability to forgive himself for his actions in the war and his pain towards the natives that tortured him, hadn’t been processed and that energy was calling on Chris to face his demons.",en,2025-10-07T21:16:57Z,2025-10-07 17:16:57,3,1,UgxB7G4QKaIu3gtMJIV4AaABAg.ANzyCtfHmAgAOBwDLCeEEm,@frankjaeger393,UCSPuwgfjv_tGq0A_ojtLwog,"I was thinking the same thing or cross time paths, time perhaps isn't linear and their times somehow crossed over.",en,2025-10-12T22:09:39Z,2025-10-12 18:09:39,0,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,UgyafbxAfMP71vzbjzV4AaABAg,@robmc198090,UCV99i3kwrQUg5Tf-86Y81Qw,"They took pictures of everything as evidence, but no photos of the scratches in the shower….. I smell bull and lots of it 😂😂😂😂😩",en,2025-10-07T16:51:44Z,2025-10-07 12:51:44,2,1,UgyafbxAfMP71vzbjzV4AaABAg.ANzUrRZw2kjAO1y4oIN-Cf,@crazyralph6386,UCX4aq5QIKoybAbiFj-9EiWg,"Or even pictures of Ed and Lorraine Warren at this so called seminar, where he took pages of notes? It’s all a bunch of bs.",en,2025-10-09T01:13:34Z,2025-10-08 21:13:34,0,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
_lAFnILF2BY,https://www.youtube.com/watch?v=_lAFnILF2BY,UgwKCDUgdz1AdTlARbh4AaABAg,@rexpro911,UCtVi-chCRFbMdBJuPqgQinw,Since everyone has home cameras now where are all the GHOST ? Fear the living folks . There aint no such thing. The devil are people around you.,en,2025-10-07T11:10:37Z,2025-10-07 07:10:37,2,1,UgwKCDUgdz1AdTlARbh4AaABAg.ANysozYj38TANzAdBD_HSz,@kingvejita8827,UC_AwMwdKGfxXH90DpKn8VDA,"well one thing they are pretty consistent about is that the paranormal messes with technology, especially cameras and audio devices .
But yeah idk man, we have so many phones and cameras today but the footage we get even for things like  some people fighting in public is very shity and old looking.",en,2025-10-07T13:55:02Z,2025-10-07 09:55:02,1,1566752,12576,776,"Wed, 17 Dec 2025 13:14:27 GMT"
