video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,UgxHW-qvLpORMAh1mxd4AaABAg.AOcBuRE-KrhAQENN09lrrY,UgxHW-qvLpORMAh1mxd4AaABAg,@NishaKumari-e5b,UCYOuTBjQd_2zwzDp8_yorog,😆,ja,2025-12-02T13:56:55Z,2025-12-02 08:56:55,0
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,UgwkN2qjOELoLeV4tKR4AaABAg.AO9sRkH2WImAOBDuK2Nv7w,UgwkN2qjOELoLeV4tKR4AaABAg,@DirtyDanTanner,UCM0GbXAd69tSU07OdhD_JKg,"Well, he’s a Catholic priest so there was Chris’ first mistake..",en,2025-10-12T15:33:42Z,2025-10-12 11:33:42,0
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,Ugz7XITbu4caG1BgDX54AaABAg.AO35IPKqwhbAQdE51X2ael,Ugz7XITbu4caG1BgDX54AaABAg,@mkay8669,UCttuS62bYyB56se2stg760w,literally my first question when I saw this doc.,en,2025-12-12T14:56:04Z,2025-12-12 09:56:04,0
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAO1wuYzTDm-,Ugzi4h__MWE0ivtQ3iR4AaABAg,@crazyralph6386,UCX4aq5QIKoybAbiFj-9EiWg,"Probably cause it never happened. Funny how his buddy the photographer never took pictures of such an event, even though he apparently wrote pages of notes??? It’s all a big hoax.",en,2025-10-09T01:03:17Z,2025-10-08 21:03:17,7
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAO35diTnh9F,Ugzi4h__MWE0ivtQ3iR4AaABAg,@emrahg4031,UCwmBk0CniXPDMVu3cm4wvOg,@crazyralph6386 Also no photos of the scratches of Chris’s back in the shower…..,en,2025-10-09T11:47:37Z,2025-10-09 07:47:37,4
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAO8MHHkGKcF,Ugzi4h__MWE0ivtQ3iR4AaABAg,@TheLynxAngel,UC1eFUIAsga57OqiwBT6Wj9w,@crazyralph6386 idk about that. apparently Ed had allegations against him long ago and Lorraine stood beside him anyways...i don't think they were that great of people tbh so I believe she would just refuse to help certain people lol.,en,2025-10-11T12:49:10Z,2025-10-11 08:49:10,2
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,Ugzi4h__MWE0ivtQ3iR4AaABAg.AO0PIFcQIUmAOCPfBL3-mq,Ugzi4h__MWE0ivtQ3iR4AaABAg,@cherylcoomes6739,UCrxNaxNnPf89gMjtMPbOPTw,Fr like wtf is wrong with her,en,2025-10-13T02:35:44Z,2025-10-12 22:35:44,2
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,UgxB7G4QKaIu3gtMJIV4AaABAg.ANzyCtfHmAgAOBwDLCeEEm,UgxB7G4QKaIu3gtMJIV4AaABAg,@frankjaeger393,UCSPuwgfjv_tGq0A_ojtLwog,"I was thinking the same thing or cross time paths, time perhaps isn't linear and their times somehow crossed over.",en,2025-10-12T22:09:39Z,2025-10-12 18:09:39,0
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,UgyafbxAfMP71vzbjzV4AaABAg.ANzUrRZw2kjAO1y4oIN-Cf,UgyafbxAfMP71vzbjzV4AaABAg,@crazyralph6386,UCX4aq5QIKoybAbiFj-9EiWg,"Or even pictures of Ed and Lorraine Warren at this so called seminar, where he took pages of notes? It’s all a bunch of bs.",en,2025-10-09T01:13:34Z,2025-10-08 21:13:34,0
_lAFnILF2BY,True Haunting | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-18T15:00:00Z,UgwKCDUgdz1AdTlARbh4AaABAg.ANysozYj38TANzAdBD_HSz,UgwKCDUgdz1AdTlARbh4AaABAg,@kingvejita8827,UC_AwMwdKGfxXH90DpKn8VDA,"well one thing they are pretty consistent about is that the paranormal messes with technology, especially cameras and audio devices .
But yeah idk man, we have so many phones and cameras today but the footage we get even for things like  some people fighting in public is very shity and old looking.",en,2025-10-07T13:55:02Z,2025-10-07 09:55:02,1
