video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgyIyGWpMkykpOviIIF4AaABAg,@tinaking7760,UCGJ4o5oH9ZL9xZnJiRRGV2Q,I love this Show and I love Horace❤,en,2025-10-15T02:42:08Z,2025-10-14 22:42:08,0,1,UgyIyGWpMkykpOviIIF4AaABAg.AOHZzieYUPUAOTBUXjomAR,@tinaking7760,UCGJ4o5oH9ZL9xZnJiRRGV2Q,​TylerPerry-f3wYes Sir,cy,2025-10-19T14:58:54Z,2025-10-19 10:58:54,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgwKOOa_LitoWMlxttp4AaABAg,@tonyukkola5341,UCypPws1QLHRsnonZnM4b8zg,Brilliant 👍👍👍👍👍,la,2025-09-13T09:16:24Z,2025-09-13 05:16:24,0,1,UgwKOOa_LitoWMlxttp4AaABAg.AN-sfTcTkCCAOTA4rWyk9k,@tonyukkola5341,UCypPws1QLHRsnonZnM4b8zg,​TylerPerry-f3wyes😊,NA,2025-10-19T14:46:40Z,2025-10-19 10:46:40,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgxWtAhSmUrAEx4mEsV4AaABAg,@optimisticgirl07,UC47PiBpR6CFpeJi7WCU-qJw,So many twists... the end is extremely satisfying sweet revenge...,en,2025-04-25T12:18:44Z,2025-04-25 08:18:44,3,1,UgxWtAhSmUrAEx4mEsV4AaABAg.AHL8SUI2oBwAJA9NFCcBgD,@AdamsAndrew-pe6mx,UCeSXkXpIz81MRxPZ9zZlirw,"Hello pretty 😍,You just made scrolling worth it 😏 If there's a lucky guy spot open, I’d love to apply. How do we talk outside of here?",en,2025-06-09T22:57:53Z,2025-06-09 18:57:53,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgyHnNb2clJXNMiGeUF4AaABAg,@TanisC,UCOMcypSAH9qwsIkTnrlhA4Q,I binge watched both parts in two days while I was off of work. I didn't expect to like this so much!! I CAN'T WAIT FOR PART 3!!!,en,2025-04-16T01:50:55Z,2025-04-15 21:50:55,0,1,UgyHnNb2clJXNMiGeUF4AaABAg.AGxqSRDVxNxAH18WuKQ3_y,@TYLERPERRY-t5p,UClR47U_6YVC1xPtgVn2Q1cA,"Hello, I saw this post and I just wanna say thank you all for your love and support over the years, and for being my amazing fans♥️. I am truly grateful, i hope you never stop watching my movies🙏

You can reply to this comment of mine if you wanna have a conversation with me. God bless you 🙏",en,2025-04-17T17:54:31Z,2025-04-17 13:54:31,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgxwvA9mPEaffrN4QuR4AaABAg,@sarapeaches9055,UCEugaAa9u36qyQKzNzvliPw,I was just minding my business until I decided to start watching Beauty in Black (because it’s Tyler Perry) The show got me hooked and hijacked my time for two days. Loved every episode of it. Looking forward to the 2nd season.,en,2025-04-13T10:25:00Z,2025-04-13 06:25:00,9,1,UgxwvA9mPEaffrN4QuR4AaABAg.AGr1u0hGt6OAH17ohhAynP,@TYLERPERRY-t5p,UClR47U_6YVC1xPtgVn2Q1cA,"Hello, I saw this post and I just wanna say thank you all for your love and support over the years, and for being my amazing fans♥️. I am truly grateful, i hope you never stop watching my movies🙏

You can reply to this comment of mine if you wanna have a conversation with me. God bless you 🙏",en,2025-04-17T17:48:21Z,2025-04-17 13:48:21,1,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgyEhd7UBj9cr10OZRF4AaABAg,@constancenkanyani8791,UC2yCG97_rMnvg_NMrVurBNg,"Just watched the whole Part 1 within 2 days, I looooove it and can't wait for part 2 ❤❤ Tyler Perry did that ! .... I don't understand why people were trashing this , I now regret not watching it sooner . Loved every bit of it , especially Kimmie and Harrice (The Dad , not sure if I got his name right )❤",en,2025-04-11T00:42:00Z,2025-04-10 20:42:00,2,1,UgyEhd7UBj9cr10OZRF4AaABAg.AGkqaEeZZCuAH183h6bO7q,@TYLERPERRY-t5p,UClR47U_6YVC1xPtgVn2Q1cA,"Hello, I saw this post and I just wanna say thank you all for your love and support over the years, and for being my amazing fans♥️. I am truly grateful, i hope you never stop watching my movies🙏

You can reply to this comment of mine if you wanna have a conversation with me. God bless you 🙏",en,2025-04-17T17:50:32Z,2025-04-17 13:50:32,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,Ugz8GBlfsFPfd_cZKMF4AaABAg,@leigh2230,UC65WntGz0tlUw8P3zbaUWSA,"That Tyler done did it AGAIN!!!!!
Season 3 please!!!!",NA,2025-03-17T20:30:07Z,2025-03-17 16:30:07,1,1,Ugz8GBlfsFPfd_cZKMF4AaABAg.AFmagPXRuy5AFr76ZdRyA6,@colleen.nov.1,UCV5XU9Ngwwxely8dJUE4cpQ,2*,ja,2025-03-19T14:39:09Z,2025-03-19 10:39:09,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,UgxEuuEmrT5Z1pyVaAh4AaABAg,@jessicam8518,UCq78zVz4zmpHrghxUWHbZ7Q,To much in gay in this is Tyler Perry trying to tell us something?,en,2025-03-16T22:38:25Z,2025-03-16 18:38:25,2,1,UgxEuuEmrT5Z1pyVaAh4AaABAg.AFkF_BX5pHAAFr79vIO96x,@colleen.nov.1,UCV5XU9Ngwwxely8dJUE4cpQ,Fr real...I've noticed it,da,2025-03-19T14:39:36Z,2025-03-19 10:39:36,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,Ugw-M8fKd-YoYJrjERR4AaABAg,@isoldeathome7025,UCWhawmPDYiidE9SENYKd0Fg,Tyler Perrys RACIST Netflix show. Not a single white character.,en,2025-03-16T11:45:53Z,2025-03-16 07:45:53,0,1,Ugw-M8fKd-YoYJrjERR4AaABAg.AFj4twf73DhAH1M2HQD10O,@bee6684,UCNLkLnASITVlOlUwbgOy00Q,"Trust me, they’re thousands procedurals and shows that you may find of interest. This may not be one of them….carry on, it’s not that big of a deal. Hardly racist, however that is your opinion and it is valid.",en,2025-04-17T19:52:40Z,2025-04-17 15:52:40,0,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
blIm8p6u_i4,https://www.youtube.com/watch?v=blIm8p6u_i4,Ugy8AEOjheAYnR7oVDt4AaABAg,@evin1992,UC6aZTJRU7bnTeYV802RHudw,The end of season 1 was epic. Especially the unexpected wedding. Only sad thing was the arresting of Angel.,en,2025-03-12T17:20:57Z,2025-03-12 13:20:57,31,3,Ugy8AEOjheAYnR7oVDt4AaABAg.AF_O3VYU3XnAFe1hC-qzBi,@AthiniMadolo,UCdWqQXu1JJkbcnlPbhV1ITg,Do we have season two??,en,2025-03-14T12:41:44Z,2025-03-14 08:41:44,1,1388195,13560,1220,"Tue, 16 Dec 2025 17:36:18 GMT"
