video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgzK3KBJToKo0V04z4Z4AaABAg.AH6SUcjJV7rAH6SWRULp_I,UgzK3KBJToKo0V04z4Z4AaABAg,@NamgyuandMyung-gi26,UCRPBqd_fjg4kx-Yhv7l7acg,Those are the ones I’m excited,en,2025-04-19T19:25:25Z,2025-04-19 15:25:25,1
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,Ugz3tEuUaoYtD7pPQIN4AaABAg.AH5utp9LuIGAJ9KO8YQpa3,Ugz3tEuUaoYtD7pPQIN4AaABAg,@mupri1,UCaIXtPbKpwAmVl56uvM7pzQ,Kinda yes but I'm really excited for AIB season 3 more,en,2025-06-09T15:14:54Z,2025-06-09 11:14:54,0
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgwH1qOmbihbU1GipXF4AaABAg.AGU5DXjOyFQAGwONUXt_vl,UgwH1qOmbihbU1GipXF4AaABAg,@RaN_dOm_666,UCLSwwiKcHaJmHAx2oU075Zg,"Agree, I'm looking forward to the trailer of it but at the same time scared of watching it and I don't wanna get spoilered myself😅",en,2025-04-15T12:17:36Z,2025-04-15 08:17:36,0
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgylnJkcIrSnDU4DT1h4AaABAg.AEdNJCI54cGAHsYLNKO1NO,UgylnJkcIrSnDU4DT1h4AaABAg,@suchitra-z6g,UCKBcxO2mWBbuw0gkBVEVXNA,Same,NA,2025-05-08T20:59:07Z,2025-05-08 16:59:07,0
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgxWaWttE2LJjJr5mX94AaABAg.AEFKNLdUcLCAEJZLcx9FOb,UgxWaWttE2LJjJr5mX94AaABAg,@leenabhanusali2849,UCz488doQIakcAnPqtd1mFBw,Muje to nahi pasand he ye series 1 ep se hi chhod diya 😢,ceb,2025-02-09T08:01:03Z,2025-02-09 03:01:03,0
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgxWaWttE2LJjJr5mX94AaABAg.AEFKNLdUcLCAEJatuOpwpf,UgxWaWttE2LJjJr5mX94AaABAg,@Viper0p,UCorv92jfiY-kxp8x8ZhFAOg,"@leenabhanusali2849  pura dekhoge tab na samjhoge ? U missed a very good series , if u liked Squid games then there's now way u will not love this",NA,2025-02-09T08:23:21Z,2025-02-09 03:23:21,3
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgxWaWttE2LJjJr5mX94AaABAg.AEFKNLdUcLCAEe3z-BUl6z,UgxWaWttE2LJjJr5mX94AaABAg,@leenabhanusali2849,UCz488doQIakcAnPqtd1mFBw,@Viper0p  ha squid game ke 2 no season's 1 din me dekh liye the.. ab kosis karke ye dekhugi 👍🏻🤗,hi-Latn,2025-02-17T16:30:14Z,2025-02-17 11:30:14,2
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgxWaWttE2LJjJr5mX94AaABAg.AEFKNLdUcLCAG3fwRiVLq1,UgxWaWttE2LJjJr5mX94AaABAg,@mr.pokezero6445,UC9tM5zkIVtC1O5qEe14nNTA,"​@leenabhanusali2849Alice is borderland is far better than Squid game
Squid game was my favourite until I watched this masterpiece🛐",en,2025-03-24T21:02:20Z,2025-03-24 17:02:20,0
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgxWaWttE2LJjJr5mX94AaABAg.AEFKNLdUcLCAG4Rkp10BE-,UgxWaWttE2LJjJr5mX94AaABAg,@leenabhanusali2849,UCz488doQIakcAnPqtd1mFBw,@mr.pokezero6445 ha mene 2 dono season dekh liye alice in borderland ke..,NA,2025-03-25T04:08:54Z,2025-03-25 00:08:54,1
ch2xk-xekzI,25 Things You’re Not Ready for in 2025 | Next on Netflix 2025,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-01T20:00:00Z,UgxWaWttE2LJjJr5mX94AaABAg.AEFKNLdUcLCAG4noE95k4o,UgxWaWttE2LJjJr5mX94AaABAg,@mr.pokezero6445,UC9tM5zkIVtC1O5qEe14nNTA,"@ nice 
I was really sad that I don't know about this show before",en,2025-03-25T07:30:21Z,2025-03-25 03:30:21,2
