video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,Ugxi0I26O5WhyQ7c7LZ4AaABAg,@Mrboss-n6c,UCj7czp3fvSV4FSS2YjZPrug,Free me kaise dekhe ye movie ye bto,NA,2025-10-08T17:00:45Z,2025-10-08 13:00:45,0,2,Ugxi0I26O5WhyQ7c7LZ4AaABAg.AO14gKpScqOAO1A4osK7vD,@TRAVELERS.STORIES123,UCenVWd4NWUyMr2H1z0NhaYA,Netmirror,NA,2025-10-08T17:47:55Z,2025-10-08 13:47:55,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,Ugxi0I26O5WhyQ7c7LZ4AaABAg,@Mrboss-n6c,UCj7czp3fvSV4FSS2YjZPrug,Free me kaise dekhe ye movie ye bto,NA,2025-10-08T17:00:45Z,2025-10-08 13:00:45,0,2,Ugxi0I26O5WhyQ7c7LZ4AaABAg.AO14gKpScqOAOABdNo7DB_,@antaramishra9831,UCc6OOhWZ8wBPmLOiMR8jnJw,Filmy4wap(free download),fy,2025-10-12T05:54:41Z,2025-10-12 01:54:41,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,UgwQiNnyjvU-xsHxqt94AaABAg,@reg4026,UCrl8Zm4lbLRUAjs9S3q5Mxg,Aryan ka image thik karne ke liye ye series create kiya wah!!! PR comments pls reply.,hi-Latn,2025-10-05T18:09:04Z,2025-10-05 14:09:04,0,1,UgwQiNnyjvU-xsHxqt94AaABAg.ANuU72Kil2WAO0YBYLHBqB,@serene_111,UCD6itmb9LCP94KDPz3Wz7Kg,I smell gobar 😅,no,2025-10-08T11:59:19Z,2025-10-08 07:59:19,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,UgyRbttkMejHsrh2qut4AaABAg,@NargisZehra-x3p,UCH-yF-0VH8LEnn_u6TgmSEg,Kahan Dekhni Hai Ye???,hi-Latn,2025-10-01T12:02:27Z,2025-10-01 08:02:27,0,1,UgyRbttkMejHsrh2qut4AaABAg.ANjWzQbT_dLAOABoZ_-1VI,@antaramishra9831,UCc6OOhWZ8wBPmLOiMR8jnJw,Netflix app,NA,2025-10-12T05:56:12Z,2025-10-12 01:56:12,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,UgwMcGPAvdE0mDhLesV4AaABAg,@anshulsaxena6135,UCYGyywgObXe4mgWgjkdhrcw,"Most Ghatiya Series Everseen..... criminals, Don ko help krne wala dikhaya h ...extra marital affair, baap bete k beech gaaliya ..kya ghatuyapan dikhaya h",NA,2025-09-27T23:49:23Z,2025-09-27 19:49:23,1,1,UgwMcGPAvdE0mDhLesV4AaABAg.ANaUh_Qoo9mANarPT9Wddu,@EXPFF11,UCKcU3Ye_EOZgqSHvam-fDKg,Bhai tu jakar 90's ki Film dekh ye tere liye nahi Thaa 😂😂,hi-Latn,2025-09-28T03:16:29Z,2025-09-27 23:16:29,1,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,UgyY_ct1rM4vEWWLk0Z4AaABAg,@Dreamhomedreambig,UCPEFRHaeL7cRJ8bz0TKfr7w,The makers of this series should be ashamed for insulting Hindi by saying the dialogue “it too much f**king Hindi for me” by that idiot orrey in the series. A complaint should be filed against the makers and orrey and others should be brought to justice. Hindi bhasha ka esa apmaan nahi Honda chahiye.,en,2025-09-22T07:40:36Z,2025-09-22 03:40:36,0,1,UgyY_ct1rM4vEWWLk0Z4AaABAg.ANMsrjQiLn7ANMzgDDUxvb,@Kaisan__v90,UC8EVsgffr4SrbXFCovHUs9g,Chal be chutiye,ku,2025-09-22T08:40:12Z,2025-09-22 04:40:12,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,UgzZBBjHM6g5gnViCiZ4AaABAg,@daudhasan4796,UCEQG6bMYHfj1EUunGHJ1KOg,Arshad Warsi entry is og😂😂😂,NA,2025-09-20T18:11:15Z,2025-09-20 14:11:15,0,1,UgzZBBjHM6g5gnViCiZ4AaABAg.ANIrS-II-ggANK1_bBuCCd,@Vinaysamraat,UCcIB6F9SF--aUK3VqLuJikg,Kapoor 😂😂,nl,2025-09-21T05:07:47Z,2025-09-21 01:07:47,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,UgwJP_rErIWCGD5WFcx4AaABAg,@sweetsization,UC1jToYyO5g1wF6wjsS1VK6g,Very nice made web series.. Each episode is made with lots of patience and love.. much liked it..  Very good directional debut by Aryan Khan... Proud Father( Sharukh Khan),en,2025-09-20T13:36:41Z,2025-09-20 09:36:41,2,1,UgwJP_rErIWCGD5WFcx4AaABAg.ANIN0zx3vWHANMpCJ8H7e1,@imranrashid1341,UCirumQOiQnFH9yufmTELh6Q,Right,NA,2025-09-22T07:08:36Z,2025-09-22 03:08:36,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,Ugy9rOGMAz-GIJV6rtV4AaABAg,@lionroarlegend7001,UCNyDJw7VXDyZ6QzxECQIUGQ,Om Shanti Om 2.O,NA,2025-09-19T06:00:18Z,2025-09-19 02:00:18,0,1,Ugy9rOGMAz-GIJV6rtV4AaABAg.ANEz-TieuIeANHvrum1HO1,@THEMASKSINGER-vc6nh,UC9Eek0L0JyWJoibxXs-XEfQ,😂😂😂😂,ja,2025-09-20T09:30:39Z,2025-09-20 05:30:39,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
dOZTeEG3yBQ,https://www.youtube.com/watch?v=dOZTeEG3yBQ,Ugzf7mZOlYMM1wsGsgF4AaABAg,@xtremoheaven7819,UCPaWbJwXnyPgntU9sEuwdAQ,Kaano se khoon aa gaya behen****,so,2025-09-18T21:00:50Z,2025-09-18 17:00:50,0,1,Ugzf7mZOlYMM1wsGsgF4AaABAg.ANE0GIqUsNcANHvvvQ6SAC,@THEMASKSINGER-vc6nh,UC9Eek0L0JyWJoibxXs-XEfQ,Woh toh aayega hi toxic industry jo hai 😂😂😂😂,NA,2025-09-20T09:31:11Z,2025-09-20 05:31:11,0,2663470,65313,2503,"Tue, 16 Dec 2025 12:42:34 GMT"
