video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,Ugz6cdD_M8_a4uxOnUN4AaABAg,@awesomelegend3411,UCb-9GKzpTA6ScPeeUgDtUvw,"Within the first ten minutes of Untamed, the series fatally undermines its own authenticity through a glaring misrepresentation of working at height safety. The depiction of a climber casually walking up to a cliff and strapping into a harness that has been lying unattended on the ground is not simply careless storytelling, it is an insult to the disciplines of climbing andnworking at heights. No climber in their right mind would ever entrust their life to gear without at least a cursory inspection, checking for frayed stitching, compromised buckles, or contamination from dirt and grit. This lapse is not a minor quibble but a fundamental betrayal of the climbing community’s culture of precision and safety, and it instantly shatters the suspension of disbelief for anyone even remotely familiar with working at heights and/or big-wall climbing.",en,2025-09-14T09:57:50Z,2025-09-14 05:57:50,2,1,Ugz6cdD_M8_a4uxOnUN4AaABAg.AN2XCjskBQ8ANwYpfVgMWV,@clarefall3730,UCdOPQXdT5IPRwGJCC8Gqg6A,"You're right, but...
It's about telling an entertaining story, not about reality. Every minute and second carefully planned.
I mean, they should put this as a desclaimer on every show, to make it clear for everyone.",en,2025-10-06T13:28:44Z,2025-10-06 09:28:44,0,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgyBbkL00VhnbCVFpI94AaABAg,@MJH65378,UC8Cx_VNzrNhytg1jJ1icFhg,"Eric Bana is such a great actor. I miss him as the Hulk.  Mark Ruffalo is a terrible actor and completely botched that character.  And have you heard Ruffalo’s public comments (when he’s not reading from a script)?  What a moron.  And I’m supposed to believe him as Dr. Bruce Banner, nuclear physicist?  Not a chance.  Marvel really screwed up with picking Ruffalo.",en,2025-08-16T15:58:21Z,2025-08-16 11:58:21,2,2,UgyBbkL00VhnbCVFpI94AaABAg.ALtVPymNVH1ALwcSwvXDdc,@fpvDRE,UC0JngyyvHXLMj-Zk1CPjyeQ,eh? banners hulk sucked 🤣🤣,NA,2025-08-17T21:06:23Z,2025-08-17 17:06:23,0,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgyBbkL00VhnbCVFpI94AaABAg,@MJH65378,UC8Cx_VNzrNhytg1jJ1icFhg,"Eric Bana is such a great actor. I miss him as the Hulk.  Mark Ruffalo is a terrible actor and completely botched that character.  And have you heard Ruffalo’s public comments (when he’s not reading from a script)?  What a moron.  And I’m supposed to believe him as Dr. Bruce Banner, nuclear physicist?  Not a chance.  Marvel really screwed up with picking Ruffalo.",en,2025-08-16T15:58:21Z,2025-08-16 11:58:21,2,2,UgyBbkL00VhnbCVFpI94AaABAg.ALtVPymNVH1AM3UvUyjAAw,@Jsizzle6809,UCQJramwPHeu5Y7Dcw-70fKw,Yea Edward Norton and Bana were both great but Ruffalo annoys me with his libtard-ness,en,2025-08-20T22:25:42Z,2025-08-20 18:25:42,0,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,Ugz6oz91O4LiJwWa20p4AaABAg,@sivaselvam,UCcYr0yROm9Ww937ybGUkGZA,"""Untamed"" is one of the most memorable crime-suspense thrillers I’ve seen. Across all six episodes, the breathtaking landscapes of Yosemite National Park form a stunning backdrop for the gripping story. Eric Bana delivers a good performance, and the tight storytelling and narration keep us hooked from start to finish.",en,2025-08-12T14:51:22Z,2025-08-12 10:51:22,5,1,Ugz6oz91O4LiJwWa20p4AaABAg.ALj4ZnUDKqQAP9uQIZHxTa,@AnilRamcharitar,UC8uI1cNtosFT693Fofmx7LQ,"While the series is set in Yosemite, Untamed was shot in various part of British Columbia, Canada including Squamish, Hope and of course Whistler",en,2025-11-05T23:46:52Z,2025-11-05 18:46:52,1,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgyewKP2nwdKOHpD6iF4AaABAg,@megha6865,UCAas4X2baz853-t2GbSVH7Q,"Can’t believe a crime drama can be so soothing to soul. Those national park scenes with original sound, the music kind of calmed my mind. The series was good and I binged watched not for investigative content but how it was so beautifully portrayed. Every shot which was in national park I was watching with smile how gorgeous it was",en,2025-07-27T11:36:35Z,2025-07-27 07:36:35,19,2,UgyewKP2nwdKOHpD6iF4AaABAg.AL4XZC734lfANysEExAKQR,@utaka78,UCUjepgfznIvwaH2ECCQm6Ig,I agree💯,NA,2025-10-07T11:05:28Z,2025-10-07 07:05:28,0,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgyewKP2nwdKOHpD6iF4AaABAg,@megha6865,UCAas4X2baz853-t2GbSVH7Q,"Can’t believe a crime drama can be so soothing to soul. Those national park scenes with original sound, the music kind of calmed my mind. The series was good and I binged watched not for investigative content but how it was so beautifully portrayed. Every shot which was in national park I was watching with smile how gorgeous it was",en,2025-07-27T11:36:35Z,2025-07-27 07:36:35,19,2,UgyewKP2nwdKOHpD6iF4AaABAg.AL4XZC734lfAP9tnAr29Hy,@AnilRamcharitar,UC8uI1cNtosFT693Fofmx7LQ,"Yes, I agree 100%. Untamed was shot in in various part of British Columbia, Canada including Squamish, Hope and of course Whistler. All locations are gorgeous and amazing places to visit and explore.",en,2025-11-05T23:41:23Z,2025-11-05 18:41:23,1,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgxYZAYSNeJxSx_hOMJ4AaABAg,@DashX13,UCZ6_8IXtUKoRaqfukX-qcrQ,"This series is loosely based on something that happened to me a few years back.  I was climbing in Yosemite when a stray bullet from a hunter went through my leg and caused me to fall.  The fall broke my back, and I lingered for more than two days before park Rangers rescued me.  Everything else in the show is just made up, but it is fascinating for me to see  how my real life experience led to a Netflix series.  And, hey, don’t even get me started on how my experience in high school mirrors Stranger Things.  Life is weird sometimes.",en,2025-07-26T12:42:47Z,2025-07-26 08:42:47,7,1,UgxYZAYSNeJxSx_hOMJ4AaABAg.AL24L8b3bSgAOuDM_7aeMJ,@candlesoflife,UCEnfRdG23T4vHOmLrSVj-EQ,Would love to hear the high school tale,en,2025-10-30T12:14:02Z,2025-10-30 08:14:02,0,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgzVqItYIJkkAGmDtzN4AaABAg,@roseabraham6127,UCQTCIuewOfVGudaZHAl1j9g,"Truly enjoyed this mini series; captivating, emotional. Eric Bana was perfectly cast for this role along with Sam Neill. 
Netflix has delivered some classy material with Untamed; how refreshing. Thank you.",en,2025-07-22T02:47:53Z,2025-07-21 22:47:53,301,10,UgzVqItYIJkkAGmDtzN4AaABAg.AKri4VR_RhuAKt9g9F-hFm,@chanjackie2299,UCXclocj33I7mXOrRPPkawLw,Get a life.,NA,2025-07-22T16:17:04Z,2025-07-22 12:17:04,5,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgzVqItYIJkkAGmDtzN4AaABAg,@roseabraham6127,UCQTCIuewOfVGudaZHAl1j9g,"Truly enjoyed this mini series; captivating, emotional. Eric Bana was perfectly cast for this role along with Sam Neill. 
Netflix has delivered some classy material with Untamed; how refreshing. Thank you.",en,2025-07-22T02:47:53Z,2025-07-21 22:47:53,301,10,UgzVqItYIJkkAGmDtzN4AaABAg.AKri4VR_RhuAKvs6KT7orv,@sybilchoate8060,UC2ypGT9-54Tb-ts47NsiSog,ERIC BANA  was fabulous!!!,NA,2025-07-23T17:32:29Z,2025-07-23 13:32:29,5,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
eRwV1k-abZo,https://www.youtube.com/watch?v=eRwV1k-abZo,UgzVqItYIJkkAGmDtzN4AaABAg,@roseabraham6127,UCQTCIuewOfVGudaZHAl1j9g,"Truly enjoyed this mini series; captivating, emotional. Eric Bana was perfectly cast for this role along with Sam Neill. 
Netflix has delivered some classy material with Untamed; how refreshing. Thank you.",en,2025-07-22T02:47:53Z,2025-07-21 22:47:53,301,10,UgzVqItYIJkkAGmDtzN4AaABAg.AKri4VR_RhuAKvsCngWAQr,@sybilchoate8060,UC2ypGT9-54Tb-ts47NsiSog,A must see. Scenery breath taking. Acting superb.,en,2025-07-23T17:33:22Z,2025-07-23 13:33:22,7,2741562,17013,989,"Tue, 16 Dec 2025 19:27:40 GMT"
