video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgzMn1BfLH34R_BkF1Z4AaABAg.AL1kXCujQjmAMYZOW_uA6t,UgzMn1BfLH34R_BkF1Z4AaABAg,@SharonSimmons-j1d3e,UCE2VYwgJcbn4ZAm2Ba4zAXA,I am probably a monster to you now 😢,en,2025-09-02T00:01:13Z,2025-09-01 20:01:13,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgxeMcFxPRu8tB3Hes54AaABAg.AKRx8TXuasrAMYZWzGiE9E,UgxeMcFxPRu8tB3Hes54AaABAg,@SharonSimmons-j1d3e,UCE2VYwgJcbn4ZAm2Ba4zAXA,❤,ja,2025-09-02T00:02:22Z,2025-09-01 20:02:22,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgxMQtfpJ_Deahx2b-V4AaABAg.AIfs1cQ4bNDAJ9lpwDHcHb,UgxMQtfpJ_Deahx2b-V4AaABAg,@marlaacolee,UCnouwNN-6bYuHXUOUHqmc-Q,i remember Joe dropped him off on another smaller characters doorstep.,en,2025-06-09T19:23:29Z,2025-06-09 15:23:29,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgxG-BF5cH3v354drLB4AaABAg.AHkKbXmF_FOAINAufdKPz2,UgxG-BF5cH3v354drLB4AaABAg,@alicemarten-w3f,UClN92J7RSWJ2xusUNIzGTtQ,"Same I fell for him in this final season and super jealous of his wife, I hope she thanks the gods every day",en,2025-05-21T03:50:04Z,2025-05-20 23:50:04,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,Ugy61e6SQBSFAv2Hlfx4AaABAg.AHiWm0FMpBgAINB0RJYI5J,Ugy61e6SQBSFAv2Hlfx4AaABAg,@alicemarten-w3f,UClN92J7RSWJ2xusUNIzGTtQ,good analysis,NA,2025-05-21T03:50:59Z,2025-05-20 23:50:59,1
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgxB4KHaCXB9Xxv3Q2J4AaABAg.AHZ5BqMPpXfAHafYerzhTN,UgxB4KHaCXB9Xxv3Q2J4AaABAg,@kaliblushing,UCzSW6OLGx3x07-_7dKrGfig,"3,2,5,1,4",ja,2025-05-01T22:24:31Z,2025-05-01 18:24:31,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgxB4KHaCXB9Xxv3Q2J4AaABAg.AHZ5BqMPpXfAHaf_Arr31A,UgxB4KHaCXB9Xxv3Q2J4AaABAg,@kaliblushing,UCzSW6OLGx3x07-_7dKrGfig,except i hate bronte,en,2025-05-01T22:24:43Z,2025-05-01 18:24:43,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,Ugzj7cj6KcdZU-rgWvV4AaABAg.AHTYeeIGsbyAHWG8k-6hzl,Ugzj7cj6KcdZU-rgWvV4AaABAg,@sukhjinderkumar275,UC1WZ916JtClQZKcmOSlde4g,lol 😂,uk,2025-04-29T19:57:35Z,2025-04-29 15:57:35,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgwOBgupyQ2OEHnuQy54AaABAg.AHOv_byULI5AHP1IRmzdYn,UgwOBgupyQ2OEHnuQy54AaABAg,@JorgePerez-vt9qe,UCr2jCBHnVJQnmiAIAOGdpYQ,Yes!!,en,2025-04-27T00:33:09Z,2025-04-26 20:33:09,1
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,UgwQTrmaXXK5smshTGd4AaABAg.AHOAynuoKucAHRNzL8BRtR,UgwQTrmaXXK5smshTGd4AaABAg,@Gregorrin,UCHsXhxvRZlJHcyit19eVciQ,S5 wasn't any better. Kate should've died in episode 1...then the rest of the season could've been saved.,en,2025-04-27T22:29:52Z,2025-04-27 18:29:52,0
fIhI7oEycdo,YOU: Seasons 1-4 | Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T17:00:00Z,Ugwyiceq48Jo13PY_Ct4AaABAg.AHMaDqoItOlAHNEjAFUUp_,Ugwyiceq48Jo13PY_Ct4AaABAg,@cherrybomb6750,UCNg0p-_nGMela1CD4Qk9ZQQ,because nobody watched them and they suck. they lost money on em bro its called a business,en,2025-04-26T07:52:03Z,2025-04-26 03:52:03,0
