video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgzNS3YElgSPLoT8wpp4AaABAg,NA,@No_caller0i,UC7yrZ3rivL__2bTgMUDNteA,The lady calling them the n word is too far..,en,2025-12-15T12:33:48Z,2025-12-15 07:33:48,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgxPvhrcz-jkUEkJdIZ4AaABAg,NA,@Mc12121-u,UC9xoza409bixa9omEZfshcg,I cried at the ending 😢 what a horrible monster,en,2025-12-15T04:20:43Z,2025-12-14 23:20:43,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,Ugzvzc_1Q5Gs5FKLjjp4AaABAg,NA,@johare94,UCOnY6FKJWajHD9DhiVk86nA,"Tears streaming down my face watching this, those poor children. It looked like a super friendly neighbourhood where all the kids played together and had fun while the neighbours looked out for eachother. Hope Susan ROTS in jail.",en,2025-12-14T22:05:34Z,2025-12-14 17:05:34,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,Ugz81uwa9lb8N2OHhDt4AaABAg,NA,@nellyakiera7046,UC5rqCRZFXUL2tqez5VVrBVQ,"I feel really bad for the woman. The children are to blame — their arrogant behavior is obvious. I hope they realize that they are responsible for her death, and the parents are as well. Noise is still noise, regardless of where it comes from.",en,2025-12-14T20:05:11Z,2025-12-14 15:05:11,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgxYAOWEBUFeQ4PeIQN4AaABAg,NA,@fandemarseillefandemars9932,UChU_Z6FmuTWj1FPgpyKonBQ,Sale pute rasciste 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,ro,2025-12-14T15:34:28Z,2025-12-14 10:34:28,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgxX4h2IazKd3FO5R9x4AaABAg,NA,@welcometoSunnydale291,UCHflMDPMZ2rqnn1g6j0nBow,A documentary about railroading a white woman who used the n word. This woman was in her own home while someone pounded on the door threatening her. I hope someone takes her case and gets her a new trial. The one person I believed in that entire documentary was the young girl who said yeah she did throw that sign at her in the very beginning. The victim wasn’t innocent and her pounding on someone’s door at night threatening them didn’t work out to well for her.,en,2025-12-14T06:28:00Z,2025-12-14 01:28:00,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgzEVAR2HtC0NX6yPG14AaABAg,NA,@sernoddicusthegallant6986,UC2FVpWOn065chiOWGKOoWGQ,"While she deserved far more than the 25 years she was sentenced to, its worth pointing out that once her time is served given her age she will probably go straight from prison to an old folks home",en,2025-12-13T13:56:40Z,2025-12-13 08:56:40,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,Ugzx6YsyV0FFp_MEUqB4AaABAg,NA,@gabillionaire,UC1UpurgqCM_fUcPQl4pEfOg,this documentary is tooooooo draggy.... could've finished in 30 mins,en,2025-12-13T10:32:07Z,2025-12-13 05:32:07,0,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgzaWXN9g79t-BL7odF4AaABAg,NA,@ever-3232,UCqBkTlBffwWjbLuZh3wT2Cw,"Miserable old woman. Possibly lonely, showing no compassion at all. She knew what her intentions were when she flagged the gun at the kiddos. 
Cold blooded PCOS * Was so unhappy in life that she hated to hear the happiness of others. Should 
 Of moved and gone lived under a frkn rock !💯 ANGER! Rip Mama🦸🏿‍♀️",en,2025-12-13T07:17:09Z,2025-12-13 02:17:09,1,0
fNp85HGJtoo,The Perfect Neighbor | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-23T14:00:00Z,1311184,14405,4230,UgyY-RFTuLsG0tdrbcp4AaABAg,NA,@Alwayscatlike,UCNr4BKgZEWFH7R44brR8lgw,I saw this on YouTube when it actually happened on the actual cop body cam. It was heartbreaking seeing those kids crying. They did a good job with this film. I can see why it won. Bet this grouchy old lady was never married never had kids and very few friends unless they were just like her.,en,2025-12-12T22:11:56Z,2025-12-12 17:11:56,0,0
