video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgzJzHtYWu66Ssu5S0t4AaABAg,@elitonboeira7510,UC6ewPrc4d-TvWEHKs113NFw,"I started to watch untill I notice the woke DEi bs... no thank you Netflix,  not for me",en,2025-09-30T01:37:19Z,2025-09-29 21:37:19,1,1,UgzJzHtYWu66Ssu5S0t4AaABAg.ANfpdqtwXJaAPEf54_U9M_,@osman_gedik,UC5sGE8oLKA_d0DXN-F8SLjQ,"thank mate, I almost watched it.",en,2025-11-07T20:09:06Z,2025-11-07 15:09:06,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgxEmo7mz3m4x2zCL4l4AaABAg,@hesgaming3738,UCv_ekVyn0SSBPLTfbjLlZ-A,Is it worth watching or not? I'm a very busy person,en,2025-08-20T15:11:55Z,2025-08-20 11:11:55,1,3,UgxEmo7mz3m4x2zCL4l4AaABAg.AM2iHKk9A8sAMBt_-iPLMx,@whitneyallman8365,UCUHNTqwSf4MVyFUBqCYtPFQ,Yes,en,2025-08-24T04:43:45Z,2025-08-24 00:43:45,2,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgxEmo7mz3m4x2zCL4l4AaABAg,@hesgaming3738,UCv_ekVyn0SSBPLTfbjLlZ-A,Is it worth watching or not? I'm a very busy person,en,2025-08-20T15:11:55Z,2025-08-20 11:11:55,1,3,UgxEmo7mz3m4x2zCL4l4AaABAg.AM2iHKk9A8sAMNVzfBNm8S,@mancerrss,UC0rFr7Zi30uGaSp-7DoNmdQ,"It’s not. It is very watchable as a background movie, but the ending is just so ass",en,2025-08-28T16:59:49Z,2025-08-28 12:59:49,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgxEmo7mz3m4x2zCL4l4AaABAg,@hesgaming3738,UCv_ekVyn0SSBPLTfbjLlZ-A,Is it worth watching or not? I'm a very busy person,en,2025-08-20T15:11:55Z,2025-08-20 11:11:55,1,3,UgxEmo7mz3m4x2zCL4l4AaABAg.AM2iHKk9A8sAMeeXNxTxL9,@SoleilMagica,UCyEjn4xqy_qnRSO3U-QbnvQ,it's worth a watch. I was satisfied with the ending.,en,2025-09-04T18:09:32Z,2025-09-04 14:09:32,2,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgwFERAfQ8QCVNvxgjR4AaABAg,@BWayne666,UC8kcGSAv7mAcMsZbZf5KT1Q,This is a dumb movie. Actors tend to just stares at each other a lot instead of finally doing something.,en,2025-08-19T22:45:12Z,2025-08-19 18:45:12,2,1,UgwFERAfQ8QCVNvxgjR4AaABAg.AM0xMTJyVwfAMChEfStUah,@ZHerewini,UCR411e8kYtj1v-VBTVeR1Gg,Oh my sounds like something I would pick up and notice lol,en,2025-08-24T12:15:13Z,2025-08-24 08:15:13,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgwUMwp6pkRPw20kfzx4AaABAg,@DavidMartins1,UCYlFxELa34Xg2YMIET3AAIw,I don't like these people.,en,2025-08-17T20:53:54Z,2025-08-17 16:53:54,0,1,UgwUMwp6pkRPw20kfzx4AaABAg.ALwb1WCbZ1bAMPsA6naK-4,@missourigreen051,UCHWwmCk_aBmEQUCAPRuJkNg,"That is how I feel towards all the characters of the 2015 movie Jurassic World, and the 2014 movie Into the Storm.",en,2025-08-29T15:00:51Z,2025-08-29 11:00:51,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgyTq8R-OfUGSovb9z54AaABAg,@EU_is_rotten,UClD8HMFIq4ximpIHVKvxwew,Good movie. Well acted too,en,2025-08-17T15:29:56Z,2025-08-17 11:29:56,1,1,UgyTq8R-OfUGSovb9z54AaABAg.ALw0xgBTJnJAMkijOZb2lz,@flipmobb9576,UCfkzrqNLtWmrjUnDnLBPCgA,It was trash and then the ending so horrifying yeah ok,en,2025-09-07T02:41:43Z,2025-09-06 22:41:43,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgxM9suS-Ycid1nXyKl4AaABAg,@janedoe6121,UC1UeiIxdOYTH30Eun8UCh3g,of course the guy has wrinkles but the woman has to be young and pretty... maybe make it equal for once?,en,2025-08-15T09:39:35Z,2025-08-15 05:39:35,1,1,UgxM9suS-Ycid1nXyKl4AaABAg.ALqFGuF3BsQAMeer8ZIhqH,@SoleilMagica,UCyEjn4xqy_qnRSO3U-QbnvQ,"They are dating in real life, but yes it's weird. He's 44, she's 29.",en,2025-09-04T18:12:22Z,2025-09-04 14:12:22,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgyENyM0w66iqTMRqHd4AaABAg,@TYSON99999,UCCe7q7GQI2qg7BEsEWsHcmw,Why did she throw away the phone (which was the key) at the end?,en,2025-07-26T03:03:53Z,2025-07-25 23:03:53,0,1,UgyENyM0w66iqTMRqHd4AaABAg.AL125BSPCEEALIwTz5kdeK,@marselina6275,UCDEjraXk3wXC1vmju4vquYg,"I had the same question, like for what?",en,2025-08-02T01:52:26Z,2025-08-01 21:52:26,1,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
fmi4Qc-cvis,https://www.youtube.com/watch?v=fmi4Qc-cvis,UgzGP2Oo6VeKSBcUTs94AaABAg,@George_M856,UCVSkXbMU8RxCUgQ5X4eNemQ,Is it me or does the lips not follow what they're saying???,en,2025-07-22T17:31:19Z,2025-07-22 13:31:19,2,1,UgzGP2Oo6VeKSBcUTs94AaABAg.AKtIAycCvspAKxLYez8RgG,@Khagesh_edits,UCvCI36faFug_P9haJK_XNbw,"its dubbed, the original is in German",en,2025-07-24T07:17:44Z,2025-07-24 03:17:44,0,3066029,28287,1680,"Tue, 16 Dec 2025 16:39:10 GMT"
