video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgwK1rZZX5JbteyjNTF4AaABAg.AQgQ9TW0dtBAQh4u3mfo0-,UgwK1rZZX5JbteyjNTF4AaABAg,@Superawsomesuperkai008,UCqnLF75K8qw1Pck0ZU8ogyw,Volume 2 is not even out yet dumb ass 😂,en,2025-12-14T02:52:45Z,2025-12-13 21:52:45,2
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugy-Ou8lLB-Wi9zjxV54AaABAg.AQcGGEgIXK0AQcGNJ_J-Bd,Ugy-Ou8lLB-Wi9zjxV54AaABAg,@alejandroyanez2605,UCdaYVVrHaG6dNkOK0iZGGdg,I don’t think it’s Will due to the eyelashes.,en,2025-12-12T05:56:48Z,2025-12-12 00:56:48,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugy-Ou8lLB-Wi9zjxV54AaABAg.AQcGGEgIXK0AQiUIRkXE-u,Ugy-Ou8lLB-Wi9zjxV54AaABAg,@Kykss00,UCpgizlh8zou_6Cc48v8md9w,"​@alejandroyanez2605No, it's definitely Will, look at his two front teeth",en,2025-12-14T15:53:55Z,2025-12-14 10:53:55,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugx6AjpxlTZ_Avv1Mip4AaABAg.AQZ9zxoIxDJAQbaZpLLgYg,Ugx6AjpxlTZ_Avv1Mip4AaABAg,@ProdigyZeno,UChw5NlsmB7Uk_sNYcKIcdgg,Ragebait?,NA,2025-12-11T23:42:47Z,2025-12-11 18:42:47,1
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugy2_0Zq79Va4hqgzj94AaABAg.AQZ2mBUKc1QAQ_xlp1t-Hh,Ugy2_0Zq79Va4hqgzj94AaABAg,@ShravanKumar-g9u,UC_4TvWnoUPw8oCixjhjC1cQ,No he not gonna die,NA,2025-12-11T08:27:02Z,2025-12-11 03:27:02,1
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugxy5Lsc4rLq_v2T3vd4AaABAg.AQYLHv2-wEYAQa_eY4khiT,Ugxy5Lsc4rLq_v2T3vd4AaABAg,@Ellie10009,UChd-pQD1Fr3UQ9iOK94W_PQ,It will be available in 9 days time.,en,2025-12-11T14:15:34Z,2025-12-11 09:15:34,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzdHM7aGhgRO2WybUx4AaABAg.AQXRqL_H0J8AQXopJ7h4IL,UgzdHM7aGhgRO2WybUx4AaABAg,@dejavu0070,UCMyilGyAPiVe3E8dIm_fuGA,Me 😢,mi,2025-12-10T03:11:09Z,2025-12-09 22:11:09,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugx7ptVyI9GvHq-G_Yl4AaABAg.AQUmFuztlMzAQbjM6EzIYL,Ugx7ptVyI9GvHq-G_Yl4AaABAg,@marina-hermione,UCluwTe187DIY6quFvyMMGGA,Really???,mg,2025-12-12T00:59:32Z,2025-12-11 19:59:32,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgxB7tVsqKtaGkC58Bh4AaABAg.AQSBBZ75lNlAQVX4DmcsJi,UgxB7tVsqKtaGkC58Bh4AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,"This is not a movie it’s a show 
And there’s no more seasons after this 
This is the final season",en,2025-12-09T05:48:49Z,2025-12-09 00:48:49,1
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugx0Z-38-HkUsC4DWdN4AaABAg.AQS7xqgRz4vAQVX5WzUQnP,Ugx0Z-38-HkUsC4DWdN4AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,That’s what I said,NA,2025-12-09T05:49:00Z,2025-12-09 00:49:00,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgwhEYfVloa3OKqTGIB4AaABAg.AQQx85nMkkoAQWEnZCfRVd,UgwhEYfVloa3OKqTGIB4AaABAg,@Windy-b9p,UC_szn_1GDJ-38BRtvjAOySA,who,NA,2025-12-09T12:28:22Z,2025-12-09 07:28:22,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzolXjoq3gPCZumq9B4AaABAg.AQPPh3tvdIfAQWamE90hAs,UgzolXjoq3gPCZumq9B4AaABAg,@tapabratachakraborty9708,UCInyikCDByQG6FMSRfxfLeQ,What the f is that....where did that actually came from,en,2025-12-09T15:49:09Z,2025-12-09 10:49:09,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgxrZSvRdIoOVUqnJSt4AaABAg.AQMZj9vfAvUAQVXICQ4CjC,UgxrZSvRdIoOVUqnJSt4AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,We see,af,2025-12-09T05:50:44Z,2025-12-09 00:50:44,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgyrypgRe1Uz7UpNYJJ4AaABAg.AQK5WYRNUVzAQVXNE01XGC,UgyrypgRe1Uz7UpNYJJ4AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,No it’s Child In Time by Deep Purple,en,2025-12-09T05:51:25Z,2025-12-09 00:51:25,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzF4K8h1YMR3Q39gW54AaABAg.AQHvyNtcZpAAQVXY0K-Ihy,UgzF4K8h1YMR3Q39gW54AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,Huh,fil,2025-12-09T05:52:53Z,2025-12-09 00:52:53,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzF4K8h1YMR3Q39gW54AaABAg.AQHvyNtcZpAAQXqtAhWz-Q,UgzF4K8h1YMR3Q39gW54AaABAg,@michaelheredia3380,UCmq3o886Yurxxmeq1nVlssw,@t@texascardnvm,NA,2025-12-10T03:29:09Z,2025-12-09 22:29:09,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugynb8biHBbQwEiURHJ4AaABAg.AQHarflwdwfAQI0lQuIuUD,Ugynb8biHBbQwEiURHJ4AaABAg,@JamieBarrington,UCKF-j4GsFbN_j25Ze1uborA,That's comatose Max,la,2025-12-03T23:56:22Z,2025-12-03 18:56:22,1
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgybEljoMeAoI6DvCkt4AaABAg.AQHXuIc-HM0AQVXiUDmJAk,UgybEljoMeAoI6DvCkt4AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,Huh?,fil,2025-12-09T05:54:27Z,2025-12-09 00:54:27,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgybEljoMeAoI6DvCkt4AaABAg.AQHXuIc-HM0AQVc-zHDZGB,UgybEljoMeAoI6DvCkt4AaABAg,@BradleyWalker2025,UCvD1fIJan9nnYC9_WX_A51g,"​​@texascardHow about you all just wait and see the end, then say huh. I spoke clearly in the English Language.",en,2025-12-09T06:40:40Z,2025-12-09 01:40:40,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgyGOI-4UxC6Xveo76p4AaABAg.AQHBTd4dS89AQHBUfvRCEA,UgyGOI-4UxC6Xveo76p4AaABAg,@Deex_E24x,UCicZ7VnTm9rrux3Z-YiJSwA,.,ja,2025-12-03T16:10:50Z,2025-12-03 11:10:50,2
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugyx8dJRgXsgOgsEDj54AaABAg.AQFWjhlZlDjAQL4sGsXJpf,Ugyx8dJRgXsgOgsEDj54AaABAg,@SirQueOfficial,UCxN2R88Cy_r1fzozvXdesTw,Its in the ending scene of episode 4 season 5,NA,2025-12-05T04:29:59Z,2025-12-04 23:29:59,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugyx8dJRgXsgOgsEDj54AaABAg.AQFWjhlZlDjAQVXluGLcEG,Ugyx8dJRgXsgOgsEDj54AaABAg,@texascard,UCNcD9Kw-S87t0eFAqVV8v6Q,@SirQueOfficialnope,la,2025-12-09T05:54:55Z,2025-12-09 00:54:55,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgwG8Aw8SEv6sx8zZmt4AaABAg.AQEn1dm5RgCAQL4rFiMAcQ,UgwG8Aw8SEv6sx8zZmt4AaABAg,@SirQueOfficial,UCxN2R88Cy_r1fzozvXdesTw,Its in the ending scene of episode 4 season 5,NA,2025-12-05T04:29:51Z,2025-12-04 23:29:51,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugxa8mTUzTTdkuSEsdZ4AaABAg.AQEF9ZE2qcvAQEkPv-mkWr,Ugxa8mTUzTTdkuSEsdZ4AaABAg,@Mr.Homebody_96,UCG328Xe4GvHOXSUmInV8GZQ,Yes it is,fy,2025-12-02T17:27:02Z,2025-12-02 12:27:02,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgxmjPkTDwQDBXSVt7Z4AaABAg.AQE5WRPc287AQL4ti1tmJI,UgxmjPkTDwQDBXSVt7Z4AaABAg,@SirQueOfficial,UCxN2R88Cy_r1fzozvXdesTw,Its in the ending scene of episode 4 season 5,NA,2025-12-05T04:30:10Z,2025-12-04 23:30:10,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgxmjPkTDwQDBXSVt7Z4AaABAg.AQE5WRPc287AQQxbymk2Ba,UgxmjPkTDwQDBXSVt7Z4AaABAg,@berniste1,UCiXpj7sxD1A6D4JG1fIc70Q,@SirQueOfficialafter that scene will shows up im talking about that,en,2025-12-07T11:13:18Z,2025-12-07 06:13:18,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzJ-3Xon0YdBf9kzEB4AaABAg.AQDqiPl-yLkAQHBQWsCwKf,UgzJ-3Xon0YdBf9kzEB4AaABAg,@Ana_13MooN,UCcUeGujNUk0IvCFIXrFj5LA,"Never , they are sisters and have very good bonding",en,2025-12-03T16:10:15Z,2025-12-03 11:10:15,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzGiW20FZgXOKhgzBJ4AaABAg.AQBrrZ1SAZWAQY9zBUjlj5,UgzGiW20FZgXOKhgzBJ4AaABAg,@juliabonavita4731,UCG0_mkO0qLMunlH8J08S5ug,​@SirQueOfficialno it ain't,NA,2025-12-10T06:24:44Z,2025-12-10 01:24:44,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugw4Xmg4HTm5PzCv9HN4AaABAg.AQ9-ocYjtCdAQL50QgkW5E,Ugw4Xmg4HTm5PzCv9HN4AaABAg,@SirQueOfficial,UCxN2R88Cy_r1fzozvXdesTw,Its in the ending scene of episode 4 season 5,NA,2025-12-05T04:31:14Z,2025-12-04 23:31:14,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgzGczO5gTR3gqRbiw94AaABAg.AQ8kpMcLi9VAQC-JHl1VgV,UgzGczO5gTR3gqRbiw94AaABAg,@einundzwanzigster5618,UCZr5MxfYsyLjkJ_Lum9xsaw,nice comparison,NA,2025-12-01T15:48:13Z,2025-12-01 10:48:13,2
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,Ugwq8peOj3LhAmjXxfx4AaABAg.AQ7uud5u9aJAQ8yt_mZR1u,Ugwq8peOj3LhAmjXxfx4AaABAg,@shervy731,UCh23QpTIM4csAP65TsssGiA,Looks like Vecna strangling Nancy,NA,2025-11-30T11:38:06Z,2025-11-30 06:38:06,0
iKZyYdwS3Wg,Stranger Things 5 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-16T14:00:00Z,UgyZpMNWK40mamD7ZWh4AaABAg.AQ7MEd66WViAQ7YkFQolmO,UgyZpMNWK40mamD7ZWh4AaABAg,@Dripspongebob,UCExfHekdvuJ7_OtNuVpGHdA,Maybe she discovered Henry is evil? Idk tho,en,2025-11-29T22:21:40Z,2025-11-29 17:21:40,2
