video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgySuB9RBsph0OZnYep4AaABAg,NA,@Superlitspider-man2,UCS7-nroMMS1swp0dVygxsNQ,Sesame Street The Movie Coming soon 2026 On Netflix,NA,2025-11-06T03:16:01Z,2025-11-05 22:16:01,1,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgwPBzSRQkcU7jdUhCt4AaABAg,NA,@leifaj9,UCqHfv5QbxTOyikAgeehE6vg,Gi Huns scream was absolute cinema,NA,2025-08-30T09:08:13Z,2025-08-30 05:08:13,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgwH_pg-B0VU5uLBmvR4AaABAg,NA,@Nexisauraofficial,UCFViEU5AjsE1LoeCYAttx_g,Explode Netflix with the Tudum sound,zu,2025-08-26T08:17:27Z,2025-08-26 04:17:27,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgxBre42CS41yz_q-mV4AaABAg,NA,@KhenzoXD2RebrandBoot,UCKldWOpxnZCZraDLc60YZjw,"0:45 does this include kpop demon hunters
edit: there's merch from that fandom so yes it does include kpop demon hunters",en,2025-08-23T05:22:49Z,2025-08-23 01:22:49,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgyRvhyzjrS4-jOXj814AaABAg,NA,@Alvinthechipmunklol,UCwpiIWwFaO4iqWBoXGZKVmQ,I need kpop demon hunters in there for me to come,en,2025-08-19T01:26:51Z,2025-08-18 21:26:51,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgyUSccaRPV-mAZFAc94AaABAg,NA,@JonnySánchezcruz-e3p,UCPU8Fhe-vRQyOE420WUUTMQ,7,ja,2025-08-11T19:12:59Z,2025-08-11 15:12:59,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgwA14WFLW2xO2Ju-oR4AaABAg,NA,@divirtiendoseenelmundodels3347,UClICAUVb4xIqJuesnszlhTA,Woooooo que emoción,es,2025-08-09T19:20:25Z,2025-08-09 15:20:25,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgzmWlmyH_oxAVC6CYF4AaABAg,NA,@kanishqmittal264,UCHUIyb4XUAC40BUejf9dn6A,Run what up? That hill? Those guns? What???,gd,2025-07-14T15:02:07Z,2025-07-14 11:02:07,0,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgyErjybk45Izs-SCL94AaABAg,NA,@JamoolJAMOOLE,UCz7cKHRzdvyxVggcs7Hzk3Q,"Hanumankind isn’t the song… check the trailer description for music artists, people in the trailers comments saying otherwise are deaf dimwits 🥀.. (rage bait for idiots who don’t press read more)",en,2025-07-13T22:01:21Z,2025-07-13 18:01:21,1,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,2225911,41201,2118,UgzPBTqzK15jvX05i254AaABAg,NA,@SerkanDemirci-n2h,UC3SxaU2OXeWamqdHqUCVq-w,Görev 2,tr,2025-06-30T07:09:34Z,2025-06-30 03:09:34,0,0
