video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugwv2d8TjRmaiR5-fH94AaABAg.AIp81rC941QAIpFjQIlyiK,Ugwv2d8TjRmaiR5-fH94AaABAg,@Flakes-1X,UCTcdYQC799Je7XR8VeGX_Zw,Run it up- Hanumankind,mt,2025-06-01T10:50:11Z,2025-06-01 06:50:11,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgzkdXQhP6fFhLVLbqJ4AaABAg.AInyikPLz1XAInzroRa0Yc,UgzkdXQhP6fFhLVLbqJ4AaABAg,@Albertfungamer,UCMdOY7lENuOVJvXMNJtidiA,HELL NO right now.,en,2025-05-31T23:03:33Z,2025-05-31 19:03:33,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgzkdXQhP6fFhLVLbqJ4AaABAg.AInyikPLz1XAIo0zMQOTwO,UgzkdXQhP6fFhLVLbqJ4AaABAg,@Mayastein-c9z,UCgtq1REoSB_bDNLSaRQOWZA,@Albertfungamer YES NY,NA,2025-05-31T23:22:03Z,2025-05-31 19:22:03,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgxcM_9jYNt40d6vGVx4AaABAg.AInwD5sLVwzAIo1jmT8QRY,UgxcM_9jYNt40d6vGVx4AaABAg,@Spieder.flower,UCRf-xAGHCmTFdoKm26h9iMQ,Nope hes dead and he will stay dead,en,2025-05-31T23:28:40Z,2025-05-31 19:28:40,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugw9CB6hMRJfJrtL1wh4AaABAg.AInmnAQX53GAIux2TKRaJa,Ugw9CB6hMRJfJrtL1wh4AaABAg,@Tomie-chan007,UCtG0_pIq5uiuqX_yBo1TGuQ,Umm editor did🤓,NA,2025-06-03T15:53:37Z,2025-06-03 11:53:37,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugw9CB6hMRJfJrtL1wh4AaABAg.AInmnAQX53GAIvDPviq98J,Ugw9CB6hMRJfJrtL1wh4AaABAg,@AutoBotsRollOutEditz,UCyrOP8hNZ4xXtkzULBvWAew,@Tomie-chan007 sybau,en,2025-06-03T18:25:22Z,2025-06-03 14:25:22,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugw9CB6hMRJfJrtL1wh4AaABAg.AInmnAQX53GAIvFLa8MA8w,Ugw9CB6hMRJfJrtL1wh4AaABAg,@Tomie-chan007,UCtG0_pIq5uiuqX_yBo1TGuQ,​@AutoBotsRollOutEditz am right tho 😂😂 cornball,NA,2025-06-03T18:42:15Z,2025-06-03 14:42:15,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugw9CB6hMRJfJrtL1wh4AaABAg.AInmnAQX53GAIvM5pOFmiW,Ugw9CB6hMRJfJrtL1wh4AaABAg,@AutoBotsRollOutEditz,UCyrOP8hNZ4xXtkzULBvWAew,@Tomie-chan007 nobody is finding that funny,en,2025-06-03T19:41:16Z,2025-06-03 15:41:16,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugw9CB6hMRJfJrtL1wh4AaABAg.AInmnAQX53GAIw0Rrs1HHf,Ugw9CB6hMRJfJrtL1wh4AaABAg,@Tomie-chan007,UCtG0_pIq5uiuqX_yBo1TGuQ,​@AutoBotsRollOutEditz but I didn't even crack a joke 😭🙏 and hell I care if anyone find funny,en,2025-06-04T01:51:16Z,2025-06-03 21:51:16,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugw9CB6hMRJfJrtL1wh4AaABAg.AInmnAQX53GAIw2C0BrGGj,Ugw9CB6hMRJfJrtL1wh4AaABAg,@AutoBotsRollOutEditz,UCyrOP8hNZ4xXtkzULBvWAew,"@Tomie-chan007 mhm ""sure""",en,2025-06-04T02:06:35Z,2025-06-03 22:06:35,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgxZPCuwEVrgojub55t4AaABAg.AInjVIoMpuAAInkuudr_2j,UgxZPCuwEVrgojub55t4AaABAg,@Albertfungamer,UCMdOY7lENuOVJvXMNJtidiA,Finally,NA,2025-05-31T20:52:54Z,2025-05-31 16:52:54,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgyTam2WZzh8LyPyXJp4AaABAg.AInaHJRGNqGAInfV6_PIhT,UgyTam2WZzh8LyPyXJp4AaABAg,@Redfield6,UCxM1PGbx3I2HSM1eh6Gzp1A,Today is may 31st,en,2025-05-31T20:05:33Z,2025-05-31 16:05:33,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugx5mkayh5mo8Bpxaop4AaABAg.AIn_fQvh7hBAInaC7gcBua,Ugx5mkayh5mo8Bpxaop4AaABAg,@cvb-y1l,UCr-cUFc3RKFRiZG9D0zusWA,"same , i think it's only on the official netflix app",en,2025-05-31T19:19:16Z,2025-05-31 15:19:16,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugwbk6jzCM7GpbOy5Ep4AaABAg.AInUvaGT2WCAInWqaSP7oj,Ugwbk6jzCM7GpbOy5Ep4AaABAg,@mandypeep,UCZYuNkoFwgWOE-y--7YmsJw,"I wonder the same thing, I don't think so, because last year the live was already on hold. 😢",en,2025-05-31T18:41:14Z,2025-05-31 14:41:14,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugwbk6jzCM7GpbOy5Ep4AaABAg.AInUvaGT2WCAInZkp-TEa5,Ugwbk6jzCM7GpbOy5Ep4AaABAg,@nastarnrezaee,UCr352O55kL5rLBH833vyjQg,"So bad 
I'm from iran  i can't watch it from app😩​@fernandamesita8403",ja,2025-05-31T19:06:40Z,2025-05-31 15:06:40,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgzfDBMPm0hapo7llHp4AaABAg.AInTCvxCqSWAInfmTfAyNp,UgzfDBMPm0hapo7llHp4AaABAg,@Redfield6,UCxM1PGbx3I2HSM1eh6Gzp1A,No squid game is releasing that time,en,2025-05-31T20:08:03Z,2025-05-31 16:08:03,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgzfDBMPm0hapo7llHp4AaABAg.AInTCvxCqSWAIng49KvrAA,UgzfDBMPm0hapo7llHp4AaABAg,@Tristynox,UC3WqOJ1wKM9K5qR9jNMSL8g,Then The live will be for Squidgame and stranger things 5,en,2025-05-31T20:10:37Z,2025-05-31 16:10:37,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugx3wj0oAUv6IK1quG94AaABAg.AInMJ0QIGyoAInSr8DrfZ2,Ugx3wj0oAUv6IK1quG94AaABAg,@AdejokeOgunkunle,UCiTwPz1DOCHu_qx3lMWv1Pg,Idk,ar,2025-05-31T18:06:22Z,2025-05-31 14:06:22,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugzvo4xVpp_FkozrtTt4AaABAg.AIn92q2apQxAInSw-MRrGF,Ugzvo4xVpp_FkozrtTt4AaABAg,@AdejokeOgunkunle,UCiTwPz1DOCHu_qx3lMWv1Pg,Same I love stranger things ❤❤❤,no,2025-05-31T18:07:01Z,2025-05-31 14:07:01,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgwJP6ZptLvoJ5yHpZ14AaABAg.AIn4w7mjZI0AInRzG3-G7J,UgwJP6ZptLvoJ5yHpZ14AaABAg,@Persephxne,UClQSIXp_SEVC-V8Pn4L2HuA,🎉🎉🎉,ja,2025-05-31T17:58:44Z,2025-05-31 13:58:44,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgwJP6ZptLvoJ5yHpZ14AaABAg.AIn4w7mjZI0AInfuVzA6Le,UgwJP6ZptLvoJ5yHpZ14AaABAg,@Redfield6,UCxM1PGbx3I2HSM1eh6Gzp1A,Me,mi,2025-05-31T20:09:09Z,2025-05-31 16:09:09,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgzxkjjHMVbLzz04E9F4AaABAg.AImNxtDlXRHAImRZtazsv7,UgzxkjjHMVbLzz04E9F4AaABAg,@Sharma-q9z,UCeFVUpZDSIhzdxfCkS5aa1A,Subha 5 baje  1 June ko,NA,2025-05-31T08:35:54Z,2025-05-31 04:35:54,0
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,UgxXn1LQ2DPZYmweu8p4AaABAg.AIkQnrermuCAImZS6O1Dxi,UgxXn1LQ2DPZYmweu8p4AaABAg,@Ellie10009,UChd-pQD1Fr3UQ9iOK94W_PQ,11pm.,it,2025-05-31T09:44:44Z,2025-05-31 05:44:44,1
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugyko-s7IKL4dcdGNh14AaABAg.AIdLIon5qOVAIdcM_xS5do,Ugyko-s7IKL4dcdGNh14AaABAg,@Yakettyjackski,UC1D6N-ipQcGui0cQb3WMF8Q,"Not just you. I hope there's something there anyways, it said ""and more"" so hopefully!",en,2025-05-27T22:25:46Z,2025-05-27 18:25:46,2
jdgVdMolHlo,Netflix Tudum 2025 | Official Trailer | May 31 | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-28T13:00:00Z,Ugyko-s7IKL4dcdGNh14AaABAg.AIdLIon5qOVAIfeciKH4Fa,Ugyko-s7IKL4dcdGNh14AaABAg,@jasonkay42,UCJIHsKuAUPzzwfprTczjAhQ,"@YakettyjackskiYeah, the live-action season one had its problems — many, many problems — but it also had potential.

Honestly, I’d love to see Netflix try to focus on that potential, but that doesn’t seem to be their business model.  If a show even slightly underperforms their expectations, in the can it goes. 🙄😮‍💨",en,2025-05-28T17:24:04Z,2025-05-28 13:24:04,0
