video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,Ugw8gi2adqtorLAftst4AaABAg,@IssacMadrid-i7j,UClJnylnjZCwur7Cr1dlkjEQ,DAMMIT ALL I CANT DO IT,en,2025-12-14T23:40:47Z,2025-12-14 18:40:47,0,1,Ugw8gi2adqtorLAftst4AaABAg.AQjJitm6mQOAQko8FjBgSs,@chrispy9913,UCIMtoZHi5lngqOmf-0RGm_g,"Yea man, this show broke me as a man when I first saw it 😢",en,2025-12-15T13:34:30Z,2025-12-15 08:34:30,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgzUQZ-EwvSBb-sm-jB4AaABAg,@erikabrown-x6u,UCai2YwP-bCsJShiQBkbe6IA,Its been almost half a year Netflix where is my 2nd season💔,en,2025-12-10T23:36:08Z,2025-12-10 18:36:08,0,2,UgzUQZ-EwvSBb-sm-jB4AaABAg.AQ_00H6JL1CAQaESkN04jO,@companyfunnyvideo5260,UCyeqhQsCsMve9rVThTj0TBw,Let them cook,en,2025-12-11T11:01:35Z,2025-12-11 06:01:35,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgzUQZ-EwvSBb-sm-jB4AaABAg,@erikabrown-x6u,UCai2YwP-bCsJShiQBkbe6IA,Its been almost half a year Netflix where is my 2nd season💔,en,2025-12-10T23:36:08Z,2025-12-10 18:36:08,0,2,UgzUQZ-EwvSBb-sm-jB4AaABAg.AQ_00H6JL1CAQaHrMdFHcJ,@erikabrown-x6u,UCai2YwP-bCsJShiQBkbe6IA,​@companyfunnyvideo5260you right I just hate when they drop teasers and then go silent for half a year😿,en,2025-12-11T11:31:18Z,2025-12-11 06:31:18,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgwECNTUnFKwY4dLMa14AaABAg,@asmodeuspc,UCP4AVEyM_JspspPiloAQfxw,Abramos una votación para que David vuelva como una copia de respaldo y Rebeca reconstruida,es,2025-12-10T19:23:03Z,2025-12-10 14:23:03,0,1,UgwECNTUnFKwY4dLMa14AaABAg.AQZZ2kJe30VAQahCQ4motx,@mr.caribbean8828,UCGbxeq01lRw03cQeKJs97nA,Yes let me get more of that copium,en,2025-12-11T15:21:30Z,2025-12-11 10:21:30,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgyD5rFrML15OmANhrF4AaABAg,@microwavedpizza-,UCYT0lMH6spmnJHSNM-pL73g,"i cant even force myself to be interested knowing how much of a clusterfuck the first season was, especially when the only reason i would be attached to this series is the characters from the first season that are clearly being moved on from",en,2025-12-06T18:35:56Z,2025-12-06 13:35:56,0,1,UgyD5rFrML15OmANhrF4AaABAg.AQPAU7CFskkAQRdOabFa85,@mateus912-,UCnNOetZaJEexWH2TGYvyf9Q,they are dead bro,it,2025-12-07T17:35:48Z,2025-12-07 12:35:48,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgwSxLvDUe-xqy8xsUh4AaABAg,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,"If david is seriously not gonna reborn I'll definitely not watch season 2. Oh wait if I'll not watch how I'll know about it, ok I'll watch and if david didn't came I'll give dislike to all episodes and 0 star in IMDb.",en,2025-12-05T02:36:46Z,2025-12-04 21:36:46,0,3,UgwSxLvDUe-xqy8xsUh4AaABAg.AQKsv3biKShAQKt4lk7u_5,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,Wait that child in end. I think it'll be okay for me if David's son is going to come in story too nvm,en,2025-12-05T02:38:14Z,2025-12-04 21:38:14,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgwSxLvDUe-xqy8xsUh4AaABAg,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,"If david is seriously not gonna reborn I'll definitely not watch season 2. Oh wait if I'll not watch how I'll know about it, ok I'll watch and if david didn't came I'll give dislike to all episodes and 0 star in IMDb.",en,2025-12-05T02:36:46Z,2025-12-04 21:36:46,0,3,UgwSxLvDUe-xqy8xsUh4AaABAg.AQKsv3biKShAQN9AD2o8xf,@xniq,UCQcvd6OziSJR5wexzF3Xo5Q,david dead let it go 😂 cyberpunk doesn't revolve around a single person it never has,en,2025-12-05T23:46:00Z,2025-12-05 18:46:00,3,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgwSxLvDUe-xqy8xsUh4AaABAg,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,"If david is seriously not gonna reborn I'll definitely not watch season 2. Oh wait if I'll not watch how I'll know about it, ok I'll watch and if david didn't came I'll give dislike to all episodes and 0 star in IMDb.",en,2025-12-05T02:36:46Z,2025-12-04 21:36:46,0,3,UgwSxLvDUe-xqy8xsUh4AaABAg.AQKsv3biKShAQOrDEb5WfB,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,​@xniqbro🥺💔 I'm definitely not gonna watch this show than😭,NA,2025-12-06T15:38:52Z,2025-12-06 10:38:52,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,UgxEKNpZeQsQFJ4D6P14AaABAg,@justinhorton993,UCbe757yedhaIpcgJmdNT6TQ,I thought the show would be better. But David was just a cyber junkie and terrible boyfriend. womp womp.,en,2025-12-05T00:01:02Z,2025-12-04 19:01:02,0,1,UgxEKNpZeQsQFJ4D6P14AaABAg.AQKb5UbBiizAQOzOVEcmHA,@ineedtarotea,UC6rExu81vEQbKoZMOwGVffg,You’re just emotionally deaf or neurodivergent. It’s okay that you’re trying to be different.,en,2025-12-06T16:50:19Z,2025-12-06 11:50:19,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
jjhRSNkquOc,https://www.youtube.com/watch?v=jjhRSNkquOc,Ugw7ipunliihiRkDB0l4AaABAg,@SomeRandomDude2636,UCZZvM-_RriwFnXHgA3h5vvw,CD PROJEKT RED writers traumatized us both with the Liberty City storyline and the Anime.,en,2025-12-01T00:52:03Z,2025-11-30 19:52:03,0,4,Ugw7ipunliihiRkDB0l4AaABAg.AQAOkbUs18WAQGKaxJJ2_K,@-HappyMelt-,UCKwJr30ROTROr6JEtc635DA,Liberty City? 🤨,NA,2025-12-03T08:11:13Z,2025-12-03 03:11:13,0,5759031,341909,16878,"Mon, 15 Dec 2025 15:22:54 GMT"
