video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,Ugw8gi2adqtorLAftst4AaABAg.AQjJitm6mQOAQko8FjBgSs,Ugw8gi2adqtorLAftst4AaABAg,@chrispy9913,UCIMtoZHi5lngqOmf-0RGm_g,"Yea man, this show broke me as a man when I first saw it 😢",en,2025-12-15T13:34:30Z,2025-12-15 08:34:30,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgzUQZ-EwvSBb-sm-jB4AaABAg.AQ_00H6JL1CAQaESkN04jO,UgzUQZ-EwvSBb-sm-jB4AaABAg,@companyfunnyvideo5260,UCyeqhQsCsMve9rVThTj0TBw,Let them cook,en,2025-12-11T11:01:35Z,2025-12-11 06:01:35,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgzUQZ-EwvSBb-sm-jB4AaABAg.AQ_00H6JL1CAQaHrMdFHcJ,UgzUQZ-EwvSBb-sm-jB4AaABAg,@erikabrown-x6u,UCai2YwP-bCsJShiQBkbe6IA,​@companyfunnyvideo5260you right I just hate when they drop teasers and then go silent for half a year😿,en,2025-12-11T11:31:18Z,2025-12-11 06:31:18,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgwECNTUnFKwY4dLMa14AaABAg.AQZZ2kJe30VAQahCQ4motx,UgwECNTUnFKwY4dLMa14AaABAg,@mr.caribbean8828,UCGbxeq01lRw03cQeKJs97nA,Yes let me get more of that copium,en,2025-12-11T15:21:30Z,2025-12-11 10:21:30,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgyD5rFrML15OmANhrF4AaABAg.AQPAU7CFskkAQRdOabFa85,UgyD5rFrML15OmANhrF4AaABAg,@mateus912-,UCnNOetZaJEexWH2TGYvyf9Q,they are dead bro,it,2025-12-07T17:35:48Z,2025-12-07 12:35:48,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgwSxLvDUe-xqy8xsUh4AaABAg.AQKsv3biKShAQKt4lk7u_5,UgwSxLvDUe-xqy8xsUh4AaABAg,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,Wait that child in end. I think it'll be okay for me if David's son is going to come in story too nvm,en,2025-12-05T02:38:14Z,2025-12-04 21:38:14,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgwSxLvDUe-xqy8xsUh4AaABAg.AQKsv3biKShAQN9AD2o8xf,UgwSxLvDUe-xqy8xsUh4AaABAg,@xniq,UCQcvd6OziSJR5wexzF3Xo5Q,david dead let it go 😂 cyberpunk doesn't revolve around a single person it never has,en,2025-12-05T23:46:00Z,2025-12-05 18:46:00,3
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgwSxLvDUe-xqy8xsUh4AaABAg.AQKsv3biKShAQOrDEb5WfB,UgwSxLvDUe-xqy8xsUh4AaABAg,@alihunyar1398,UCsnSvfhpcjuwf-A3IDcx6JA,​@xniqbro🥺💔 I'm definitely not gonna watch this show than😭,NA,2025-12-06T15:38:52Z,2025-12-06 10:38:52,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,UgxEKNpZeQsQFJ4D6P14AaABAg.AQKb5UbBiizAQOzOVEcmHA,UgxEKNpZeQsQFJ4D6P14AaABAg,@ineedtarotea,UC6rExu81vEQbKoZMOwGVffg,You’re just emotionally deaf or neurodivergent. It’s okay that you’re trying to be different.,en,2025-12-06T16:50:19Z,2025-12-06 11:50:19,0
jjhRSNkquOc,Cyberpunk: Edgerunners 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:45:00Z,Ugw7ipunliihiRkDB0l4AaABAg.AQAOkbUs18WAQGKaxJJ2_K,Ugw7ipunliihiRkDB0l4AaABAg,@-HappyMelt-,UCKwJr30ROTROr6JEtc635DA,Liberty City? 🤨,NA,2025-12-03T08:11:13Z,2025-12-03 03:11:13,0
