video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwqM3xbeoC42RS0PBp4AaABAg.APxtZ_al349AQYw5cTdueu,UgwqM3xbeoC42RS0PBp4AaABAg,@somekindofartist3855,UC0f0cuHcNPC6_OjxAi4xZRw,"I thought season 3 was the worst by far
Season 5 was pretty good",NA,2025-12-10T13:33:56Z,2025-12-10 08:33:56,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwqM3xbeoC42RS0PBp4AaABAg.APxtZ_al349AQZ5i781BM2,UgwqM3xbeoC42RS0PBp4AaABAg,@Nate.243,UCDr3cUKlnjyXAlaPJhVJ_qw,"​@somekindofartist3855 s3 literally gaps s5 in everything lmao, elaborate how it was ""good""",NA,2025-12-10T15:06:42Z,2025-12-10 10:06:42,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwqM3xbeoC42RS0PBp4AaABAg.APxtZ_al349AQaiEmepIZa,UgwqM3xbeoC42RS0PBp4AaABAg,@somekindofartist3855,UC0f0cuHcNPC6_OjxAi4xZRw,"@Nate.243 I thought season 5 was entertaining Joe and Kates relationship being a power couple for the first half of the season was interesting. Also, i liked the last episode and i thought the ending made sense. Season 3 i know its a beloved season but to be honest it just lost me. I think the setting of Madre Linda pales in comparison to New york. If you would like to see my ranking, it would be:
1: Season 1
2: Season 4
3: Season 2
4: Season 5
5: Season 3",en,2025-12-11T15:30:34Z,2025-12-11 10:30:34,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwqM3xbeoC42RS0PBp4AaABAg.APxtZ_al349AQaiurl9PlF,UgwqM3xbeoC42RS0PBp4AaABAg,@Nate.243,UCDr3cUKlnjyXAlaPJhVJ_qw,"​@somekindofartist3855 Joe and Kate is boring, lmao Love and Joe was better dynamic, r u hign? Joe whole season gooning Bronte is lazy writing, and conclusion just doesn't make sense",NA,2025-12-11T15:36:27Z,2025-12-11 10:36:27,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwqM3xbeoC42RS0PBp4AaABAg.APxtZ_al349AQauwrR9esG,UgwqM3xbeoC42RS0PBp4AaABAg,@somekindofartist3855,UC0f0cuHcNPC6_OjxAi4xZRw,"@Nate.243  First of all yeah Joe gooning with Bronte took up too much time in the season, but it was fine. Bronte setting a trap was an unexpected but welcome twist which i enjoyed. But explain whats good with season 3 i genuinely thought it was pretty bad. Nice convo mate.",en,2025-12-11T17:21:35Z,2025-12-11 12:21:35,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwqM3xbeoC42RS0PBp4AaABAg.APxtZ_al349AQavzfm5ETa,UgwqM3xbeoC42RS0PBp4AaABAg,@Nate.243,UCDr3cUKlnjyXAlaPJhVJ_qw,"​@somekindofartist3855 it has better characters, better plot/story, better dynamics (S5 has only one good Joe dynamic with his son n Instead of focusing on the fact that Joe gooning Bronte, they could focus on this dynamic),better conclusion, better themes and more better conflicts for Joe character (Not even close). Joe in s5 is ""I can't live without killing"" lmao. I excepted this twist since Bronte was introduced",en,2025-12-11T17:30:42Z,2025-12-11 12:30:42,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,Ugxx3YUMMxfPluQEmYt4AaABAg.ANT-Awpz1ueANnCz_LpdS9,Ugxx3YUMMxfPluQEmYt4AaABAg,@MdAbcdefj,UCBd17Ys_HjH1Tj6a-XldPDA,🎉😂😊😊😅😮😮😮😢🎉😂❤❤ 2:35 2:35 2:35 2:35,ja,2025-10-02T22:24:40Z,2025-10-02 18:24:40,1
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgxFHu2Hh-rPzWVz8G54AaABAg.AMmypU6mS4SAMvDXz79tNz,UgxFHu2Hh-rPzWVz8G54AaABAg,@Justvibesssss,UChCia6YuHQX_Moguyh0mHTA,What’s it called tho,en,2025-09-11T04:32:02Z,2025-09-11 00:32:02,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgzchO9fKsKITsCb0_l4AaABAg.AMSB-zrecMNAMXSfd3CV1-,UgzchO9fKsKITsCb0_l4AaABAg,@WhatDoYouWant92,UC7C97v2sFoUquBaACsZgeFA,😂😂😂,ja,2025-09-01T13:43:17Z,2025-09-01 09:43:17,2
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgzchO9fKsKITsCb0_l4AaABAg.AMSB-zrecMNAMvC9ogoTp8,UgzchO9fKsKITsCb0_l4AaABAg,@Justvibesssss,UChCia6YuHQX_Moguyh0mHTA,Real s5 was garbage,en,2025-09-11T04:20:00Z,2025-09-11 00:20:00,2
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgzchO9fKsKITsCb0_l4AaABAg.AMSB-zrecMNAPrG5wGIENH,UgzchO9fKsKITsCb0_l4AaABAg,@agampreet4230,UCrkSqNpw9CILQiDguZsBlKw,​@Justvibesssssi didn't even finish s5 i was mid way and then pretended s5 never happened,en,2025-11-23T05:11:39Z,2025-11-23 00:11:39,1
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgzlTRD4oXquHcYtAqV4AaABAg.ALzAhnXfSelAM-oVDP3fbe,UgzlTRD4oXquHcYtAqV4AaABAg,@qadwani4327,UCaTu1FIEOEv_zH9KvlRfcZg,"Season 5 seemed like it was written by Chat gpt.
Terrible and pathetic",en,2025-08-19T12:08:31Z,2025-08-19 08:08:31,1
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgzlTRD4oXquHcYtAqV4AaABAg.ALzAhnXfSelAMBEv1WzZ_C,UgzlTRD4oXquHcYtAqV4AaABAg,@Jared-t1b,UChs7CEPpIDQKcOg8C1yWwqA,@qadwani4327 Tell me about it,ny,2025-08-23T22:39:45Z,2025-08-23 18:39:45,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgxvDq-S0oFiyPo_BpZ4AaABAg.ALXKeQfHpnyANnD3ATfmWk,UgxvDq-S0oFiyPo_BpZ4AaABAg,@MdAbcdefj,UCBd17Ys_HjH1Tj6a-XldPDA,❤😂🎉😢😮😅😅😊😊😊😊😆😆😃😃😭😭🥳🥰😘😙😉😉🔙🏪🏬🔏😊😔😭😭,ja,2025-10-02T22:25:18Z,2025-10-02 18:25:18,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgxvDq-S0oFiyPo_BpZ4AaABAg.ALXKeQfHpnyANnD5FwC487,UgxvDq-S0oFiyPo_BpZ4AaABAg,@MdAbcdefj,UCBd17Ys_HjH1Tj6a-XldPDA,2:35,ja,2025-10-02T22:25:35Z,2025-10-02 18:25:35,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgyXrHUpnQ9YEmVJZEt4AaABAg.AKRUSRY54vvAKaLK3mHePX,UgyXrHUpnQ9YEmVJZEt4AaABAg,@Literature2108,UCksoJk-909PbxQYKudzKu3g,He was never serial killer. He was always a obsessive man.,en,2025-07-15T08:53:12Z,2025-07-15 04:53:12,0
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgwZJSG8SwMmPhpUxuh4AaABAg.AKNC9-XTKs_AKegfASLr6U,UgwZJSG8SwMmPhpUxuh4AaABAg,@official2DGorillaz,UChLiOHMK8jtfZaapvFn7cPw,"The story was about joe, never about love",en,2025-07-17T01:25:25Z,2025-07-16 21:25:25,3
kQdEHQLHDAI,YOU: Season 5 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-10T13:00:03Z,UgxlbnZPtT2uJ7OHVpt4AaABAg.AK9AjjG5vebAKAYfzm0CZD,UgxlbnZPtT2uJ7OHVpt4AaABAg,@incoco-t5q,UCJ17LPq6007V5s48T_nBBPg,JUST GIVE IT A TRY,en,2025-07-04T23:10:26Z,2025-07-04 19:10:26,0
