video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,Ugy5TQ9wqV5ni18zwWh4AaABAg,NA,@SNWN203,UCNlFVv1MWerC2b1ICeqsbfQ,"""It's not CGI, its SCIENCE"" 
- CGI Armored Nicola tesla",NA,2025-12-13T15:29:22Z,2025-12-13 10:29:22,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,Ugwfjg9C_M5CQcR2FLB4AaABAg,NA,@mrobi98,UC7o0iOVHHgxH3oOZmxTVgxg,"Netflix def got rid of whoever usually puts together the trailers, the baki and record of ragnarok trailers were hype as hell",en,2025-12-12T20:18:38Z,2025-12-12 15:18:38,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,Ugzdo1oqYkox-ryEN0Z4AaABAg,NA,@getofffrommyback2863,UC8jdaJJ-1Nd4S5_PYRJkFpg,Tesla 💔hate you guys I legit hate you guys,NA,2025-12-06T17:38:57Z,2025-12-06 12:38:57,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,Ugw8ea8n3W1G7CNg-WB4AaABAg,NA,@garrowisland9399,UCi8jk3MuSDcG6E5VaxbWiug,Hurry up and finish it already,NA,2025-11-28T06:24:08Z,2025-11-28 01:24:08,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,UgxD01Y11XZYiSBaOUl4AaABAg,NA,@gigga1q,UCWFLiM9BB19AKHMjOmZVc2Q,Why did you guys nerf shiva😭😭,NA,2025-11-28T04:32:53Z,2025-11-27 23:32:53,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,UgxnFpnN-Cs1l7Kpsj94AaABAg,NA,@giraffekey164,UC3Wnd5p8VbdjVK5zKbJ_MvA,Please stop doing high budget animes without high budget,en,2025-11-25T21:16:31Z,2025-11-25 16:16:31,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,Ugw1R9DV1a9f20v6IVp4AaABAg,NA,@dr.emerald8844,UCBwImsY53jmX3OF5j_rSDoA,NICOLE TESLA!!!,xh,2025-11-25T04:18:02Z,2025-11-24 23:18:02,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,Ugx1xQYGN7modKXD19N4AaABAg,NA,@Voeluspa45,UCNuyAtextI0Nz2dlPs5zvQw,I hope we make it to the Sniper. Leonidas is so short.,NA,2025-11-24T14:13:50Z,2025-11-24 09:13:50,1,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,UgwB_p8pWLvUWTn8Oep4AaABAg,NA,@youknowwho257,UCE-kcBUJ8YUpK-swF2I88gQ,"2 years latter... bro i sear AI better change the rate this things came out, is a pain in the mf ass have to wait so much fcking time for these animes seasons!",en,2025-11-21T17:39:57Z,2025-11-21 12:39:57,0,0
m2mzcyLMDVE,Record of Ragnarok III | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-05T19:50:00Z,539301,13803,837,UgwEZEvBiWHcmY_GEOV4AaABAg,NA,@JazzDevie777,UCSzNM9Sv0MnAF3TZm2LSJvA,"Me: waiting for this season
Also me: waiting for leonidas to say the line",en,2025-11-19T06:14:01Z,2025-11-19 01:14:01,0,0
