video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,UgzGQhGEkj6vMqbk1-54AaABAg,@davidelle6702,UCa-iYR3kZuHX5uy6DsmWn8A,This was an AMAZING series. 10/10 from me who usually watches action movies and anime,en,2025-08-08T04:46:22Z,2025-08-08 00:46:22,0,1,UgzGQhGEkj6vMqbk1-54AaABAg.ALYh96wrdTzANt9NK4O8ir,@davidelle6702,UCa-iYR3kZuHX5uy6DsmWn8A,​@ApolloTheMoonManlmfao because everyone in the world has to share your viewpoints. Who even are you? And why do you care so much? Maybe put that passion into something good. Or is that too hard. I'd love to watch your critically acclaimed TV series.,en,2025-10-05T05:48:33Z,2025-10-05 01:48:33,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,Ugy9isYA0Ms3OQaziy54AaABAg,@Zembassi3962,UCB-GmtOPVqkXhszgXk49O1Q,"The upcoming ""SUPERGIRL"" movie brought me here!",en,2025-07-19T18:44:07Z,2025-07-19 14:44:07,3,1,Ugy9isYA0Ms3OQaziy54AaABAg.AKlh7Ulk4ESALDWYLvqzFd,@Phillycenasavage,UCDTAOHXTBA-Lx9VmZGK_RUQ,Me too,mi,2025-07-30T23:20:54Z,2025-07-30 19:20:54,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,UgxqCuWShL8JfhDfEEh4AaABAg,@drafura,UCTwT2JnQxvhAKjUBcGsd2NQ,This is pedo trash should be banned from any platform,en,2025-07-18T04:00:19Z,2025-07-18 00:00:19,0,1,UgxqCuWShL8JfhDfEEh4AaABAg.AKhYBU-DpdtAKxZSDf7luY,@honks9484,UCBcv5qdtc2RyZVeetOmLRoQ,Pedo??? What’s pedo about this?,en,2025-07-24T09:19:11Z,2025-07-24 05:19:11,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,Ugy_xkic4DaYXgGX5y94AaABAg,@SS-gh6jy,UCy9nKoo1zhYIWvJXNmLZjjg,Just finished watching it and absolutely loved it though ended up hating Devon 🤮 really bad sister,en,2025-07-17T13:14:07Z,2025-07-17 09:14:07,1,1,Ugy_xkic4DaYXgGX5y94AaABAg.AKfxlmq8oR-AKnO5iN1Sy0,@massy-mia-xl4fx,UCmnLMrT6roOozkS_yWOdYfA,She tries to make her sister feel guilty. She also judges her. And why do you think that?,en,2025-07-20T10:27:36Z,2025-07-20 06:27:36,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,UgwGI2_yB4ZDT1QIuaR4AaABAg,@phildirt3,UCbQuszTmhsUt4EyIuJJh7UA,I hate rich people,en,2025-07-03T02:01:31Z,2025-07-02 22:01:31,1,1,UgwGI2_yB4ZDT1QIuaR4AaABAg.AK5hfJrbo0WAKWiOdSKU05,@Jbvfddtyuesdghjkojj,UCa4IdRFIKi16QepNq8limoA,"Yeah, they’re sucks",sn,2025-07-13T13:47:20Z,2025-07-13 09:47:20,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,Ugwf3dPGNSKE33fTZld4AaABAg,@flylikeanowl8667,UCr7kHwPQqkpGlpcBiGA9WRQ,Just binge watched it while crafting. Was a wild ride. Interesting how different people deal witz their cards given....but maybe dont cast someone looking 19 for spicy scenes...i know she is older but yeah,en,2025-07-02T20:15:04Z,2025-07-02 16:15:04,0,1,Ugwf3dPGNSKE33fTZld4AaABAg.AK550iu3_i-AKxZdmn8HMr,@honks9484,UCBcv5qdtc2RyZVeetOmLRoQ,She can’t help it if she looks young..??? I’m 24 and can’t help that I look 16-18. It just happens. More obvious aging starts at/after 35 so we can’t exactly speedrun our aging process🤷🏻‍♀️,en,2025-07-24T09:20:54Z,2025-07-24 05:20:54,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,Ugyk3gPqeakED1M1ybh4AaABAg,@RodBrett,UCOre05m-Av51ep4sI70QpVg,I've had a mad crush on Julianne Moore for at least 30 years and I still think she's smoking hot!🔥,en,2025-07-02T00:33:24Z,2025-07-01 20:33:24,0,1,Ugyk3gPqeakED1M1ybh4AaABAg.AK2yn3Gb6IzAKFfhb_QERE,@imsoooboredjaehyun,UC6ZszaFFR0H4kbaKBjY2oyQ,Yh I don’t see it-,en,2025-07-06T22:56:46Z,2025-07-06 18:56:46,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,UgwSypnZnRk9pN7X0Kp4AaABAg,@deihjah6644,UCdwFd9tO279Q7RRjdAtbSMQ,"Half a hour in and I saw a couple things that I didnt care for....one was the scene where it looks like the actress who plays Simone looks like a teenager....who is sleeping with a man who is much , much older..- a real turn off.......(Big Red flag)....then there is the scene that they could truly live without ...is when the sister is on the ferry....and she cant smoke, ...so out of frustration she decides to put a strange mans penis in her mouth?? -(just Nasty).....(2nd Big , Big!...Red Flag!).....smh....I am going to look over it...and  give it a chance and watch the rest...the title Sirens however....is intriguing and I want to see the back story....if there is any sort of relations to the folklore of mermaids....sailors etc....",en,2025-06-25T10:29:17Z,2025-06-25 06:29:17,2,3,UgwSypnZnRk9pN7X0Kp4AaABAg.AJn0QEUX4xgAKFftwp-Fr_,@imsoooboredjaehyun,UC6ZszaFFR0H4kbaKBjY2oyQ,Same I thought I was the only one who was grossed out by those scenes I think they were completely unnecessary to the plot especially the ferry scene made her look like a sl*t,en,2025-07-06T22:58:27Z,2025-07-06 18:58:27,2,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,UgwSypnZnRk9pN7X0Kp4AaABAg,@deihjah6644,UCdwFd9tO279Q7RRjdAtbSMQ,"Half a hour in and I saw a couple things that I didnt care for....one was the scene where it looks like the actress who plays Simone looks like a teenager....who is sleeping with a man who is much , much older..- a real turn off.......(Big Red flag)....then there is the scene that they could truly live without ...is when the sister is on the ferry....and she cant smoke, ...so out of frustration she decides to put a strange mans penis in her mouth?? -(just Nasty).....(2nd Big , Big!...Red Flag!).....smh....I am going to look over it...and  give it a chance and watch the rest...the title Sirens however....is intriguing and I want to see the back story....if there is any sort of relations to the folklore of mermaids....sailors etc....",en,2025-06-25T10:29:17Z,2025-06-25 06:29:17,2,3,UgwSypnZnRk9pN7X0Kp4AaABAg.AJn0QEUX4xgAKxZmt8EPac,@honks9484,UCBcv5qdtc2RyZVeetOmLRoQ,Chill! She’s 25 in real life. She’s not a freaking teenager. You’re just weird.,en,2025-07-24T09:22:09Z,2025-07-24 05:22:09,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
nxSpZ9khchU,https://www.youtube.com/watch?v=nxSpZ9khchU,UgwSypnZnRk9pN7X0Kp4AaABAg,@deihjah6644,UCdwFd9tO279Q7RRjdAtbSMQ,"Half a hour in and I saw a couple things that I didnt care for....one was the scene where it looks like the actress who plays Simone looks like a teenager....who is sleeping with a man who is much , much older..- a real turn off.......(Big Red flag)....then there is the scene that they could truly live without ...is when the sister is on the ferry....and she cant smoke, ...so out of frustration she decides to put a strange mans penis in her mouth?? -(just Nasty).....(2nd Big , Big!...Red Flag!).....smh....I am going to look over it...and  give it a chance and watch the rest...the title Sirens however....is intriguing and I want to see the back story....if there is any sort of relations to the folklore of mermaids....sailors etc....",en,2025-06-25T10:29:17Z,2025-06-25 06:29:17,2,3,UgwSypnZnRk9pN7X0Kp4AaABAg.AJn0QEUX4xgAL3I7OIPqfi,@user-e4w5s,UCE-G6IO35i7KFLQLxqM4wDQ,​@honks9484but not everyone wants to see that 🤢🤢🤢🤢,en,2025-07-27T00:02:28Z,2025-07-26 20:02:28,0,6445785,45451,2169,"Tue, 16 Dec 2025 14:42:36 GMT"
