video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgxrgoHfIEGN50oTaAt4AaABAg.AJsGy-d3pk3AKFR_EltnmG,UgxrgoHfIEGN50oTaAt4AaABAg,@megatron8472decepticonsforever,UCTwSBEDN8D5GZpjvwVfAe0w,moonlight sonata is this,NA,2025-07-06T20:44:33Z,2025-07-06 16:44:33,0
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgzII-rumRzW0QYhiRZ4AaABAg.AI5j_B8PRY1AI7cfgDrFZe,UgzII-rumRzW0QYhiRZ4AaABAg,@roberto9094,UCWWuhxvm6d9ZVQ2zYpeNc4w,it was rushed which made the finale bad! Heron deserved better.,en,2025-05-15T02:53:34Z,2025-05-14 22:53:34,0
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgxEF9y9G4n9Z8VTI6F4AaABAg.AHwfY9PncPbAHxWUrrF8PH,UgxEF9y9G4n9Z8VTI6F4AaABAg,@Mano0ow,UCwp-8gcOVVfuOTx1mlaAbiw,I just watched the first two episodes. It's not as exciting as expected..maybe I need to be patient,en,2025-05-10T19:19:09Z,2025-05-10 15:19:09,0
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,Ugzm4-TdE6MMJnLbb0F4AaABAg.AHu-rm_Fyd2AHu7VMS2FzZ,Ugzm4-TdE6MMJnLbb0F4AaABAg,@LeviAckermansWife901,UCeFlqI8KV5rULHWrvNAl17g,"From what I read, the show intended to have the kids actually help during the final fight, they even had the voice acting for the scenes done, but when it came to it, they didn’t have the budget to animate it",en,2025-05-09T11:43:02Z,2025-05-09 07:43:02,1
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,Ugw9zYdUMZmHWFbqrdZ4AaABAg.AHsgLWdiIE3AIXMmBYjYkx,Ugw9zYdUMZmHWFbqrdZ4AaABAg,@MakaylaMedina-y3g,UCOVpTFZJcWu6vCAfla_RahQ,2026,ja,2025-05-25T02:46:10Z,2025-05-24 22:46:10,1
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgyOALA8po4wxr7QFqR4AaABAg.AHsTmNpqz2XAIHTafRECmW,UgyOALA8po4wxr7QFqR4AaABAg,@Junior.Senesca908,UCwk0-6NjJOs7EEwkPKht-gQ,Appreciate da insight,co,2025-05-18T22:37:55Z,2025-05-18 18:37:55,1
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgyOALA8po4wxr7QFqR4AaABAg.AHsTmNpqz2XAIHwRyTMQuH,UgyOALA8po4wxr7QFqR4AaABAg,@DarkFalconX1,UCd0gZuLF7ctGoCbEydtpZ_Q,Wish that we got to see Kofi and his wife at the Elysian Fields at the ending as well.,en,2025-05-19T02:58:44Z,2025-05-18 22:58:44,0
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgwrSnD_IfkAREicnvh4AaABAg.AHreV7mOdWQAHsBnNqvqaj,UgwrSnD_IfkAREicnvh4AaABAg,@cattameme,UC3QperhmHBPELVUK8db7bdw,"kinda looking like INVINCIBILE animation, but still more detail and fps.",en,2025-05-08T17:42:07Z,2025-05-08 13:42:07,0
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgwYPOQPKTcijguxw-d4AaABAg.AHrWSrZU5ZxAJ7czjSx8dO,UgwYPOQPKTcijguxw-d4AaABAg,@qfranklin2777,UC0NZWLeQ8NoRCnTj6BZ22Dw,Same,NA,2025-06-08T23:27:42Z,2025-06-08 19:27:42,2
ot3MQoKpFTU,Blood of Zeus S3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-16T23:27:43Z,UgzBUdmneJQRZOEFa3V4AaABAg.AHrDAkI19UOAHrMajE7cNM,UgzBUdmneJQRZOEFa3V4AaABAg,@Pharoah-u4u,UCmYuAFlPngND6zJ_iXN2U6w,Man Cronos wasn’t playing 😂,jv,2025-05-08T09:57:16Z,2025-05-08 05:57:16,2
