video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgyS9aZMFW69OdsMFQp4AaABAg,NA,@Treeditya,UCJ8lZQGyB80PSFwxs5fK5cw,Can't get any better,en,2025-12-06T10:03:14Z,2025-12-06 05:03:14,0,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgzU7GIXy8gDz4LIyyp4AaABAg,NA,@AstraVoid,UCT_QWkvajM5ZpQ0NEbvrfZQ,"What a downgrade, absolute failure",gd,2025-12-01T15:53:33Z,2025-12-01 10:53:33,1,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgyBzsvSqAzgqkrg6TB4AaABAg,NA,@tejassuthar09,UCIiZgEGCv--2Zb2gnOW0VeA,Please don't focus on celebrity voice,fr,2025-12-01T02:03:42Z,2025-11-30 21:03:42,1,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgzAdbNiseVUnUMpDFx4AaABAg,NA,@whiterottenrabbit,UCR5rzfzpAsfrK71cFhbodbA,"Season 4 is a complete letdown: no Three Robots, stupidly unnecessary cameo by that overhyped fake-smile ""celebrity"", a bizarre RHCP detour, and endings that barely land.",en,2025-11-26T16:48:33Z,2025-11-26 11:48:33,1,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgwfknCd4_r4eKkv8HB4AaABAg,NA,@PhrooberCZ,UCs6yVSniZkYcRMB5zw2jYzA,Absolute trash 😢,NA,2025-11-25T10:06:15Z,2025-11-25 05:06:15,1,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgwBMArRxzqvylZsgop4AaABAg,NA,@vinayak90417,UCx9xsyQrZb8qcNKsSahbOFw,Woke garbage.. Season 1 episode 1 first scene itself is pure woke garbage.,fy,2025-11-25T08:47:58Z,2025-11-25 03:47:58,0,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgzVZlc6hiuHHjKupvN4AaABAg,NA,@AyoSquareRoot,UCjh-lyVC1qrH81iER6f4-fQ,Amazing season!!!!! omg please keep making this show!,NA,2025-11-17T23:01:56Z,2025-11-17 18:01:56,0,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgwFw0Z0_YxsHFjNgc14AaABAg,NA,@taxidef,UC6Eykt_DcXB6xowHbLEk0PQ,great,en,2025-11-15T12:21:43Z,2025-11-15 07:21:43,0,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,Ugx7AAuAOtRzmSqp1u54AaABAg,NA,@worldwarwitt2760,UCavlc_VIOkjXn6sfb97j2ig,"Nope. Not going back to netflix until they remove cuties, apologize, and fire everyone involved.",en,2025-11-09T13:02:57Z,2025-11-09 08:02:57,0,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,3366770,79736,3625,UgzWGkttadXgVByVzvp4AaABAg,NA,@JarosawPietras,UCZA32i8MwoN8PzfXL4QGv5Q,"It's getting worse, Boredom. 👎",NA,2025-11-04T10:26:12Z,2025-11-04 05:26:12,4,0
