video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgwOWcLjwGhbACpSo4R4AaABAg.AJoFX7YYeu3AJoHw6DKvXd,UgwOWcLjwGhbACpSo4R4AaABAg,@revierecara8747,UC_NBACrhBTpfrAhA7hH8BgQ,True. Disappointing. Maybe they really go all in with secret level and almost none left for this series.,en,2025-06-25T22:21:33Z,2025-06-25 18:21:33,2
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgxyOWf5YXfszUzT1814AaABAg.AJ-UzRtTkWiAJ-VETHmHXV,UgxyOWf5YXfszUzT1814AaABAg,@cronos2240,UCildfSDMaDOR4B7zjK1Vtig,"Only chapter three was interesting, long live God!",en,2025-06-05T19:37:17Z,2025-06-05 15:37:17,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,Ugwy1EJzza3xDsbBe_N4AaABAg.AIdJuMzPljTAIe2WR76XZL,Ugwy1EJzza3xDsbBe_N4AaABAg,@Qwerty-vo8do,UC7wtoUEo9ODJgBfY33PoR-Q,i believe in S5 comeback trust 🙏🙏,NA,2025-05-28T02:23:02Z,2025-05-27 22:23:02,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgyENJw0L0CrzDH-igZ4AaABAg.AI_ulphPa8nAIamjckFiTR,UgyENJw0L0CrzDH-igZ4AaABAg,@98maplestory,UC4T4yq02mqqkcrM3KKJPvQA,Its the best season.,NA,2025-05-26T19:58:43Z,2025-05-26 15:58:43,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,Ugzm7LdCUMAr6xLKEyd4AaABAg.AIQJjVGigQKAISVoFRQ3K6,Ugzm7LdCUMAr6xLKEyd4AaABAg,@joesights4244,UC6QaJmDGzYeW9AlUbg7i12g,I think it's a 3 robots prequel?,ca,2025-05-23T05:28:53Z,2025-05-23 01:28:53,0
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgyKP_GOMiLsKZhh6rN4AaABAg.AIPdwKuCpCTAIPxaSfy5H_,UgyKP_GOMiLsKZhh6rN4AaABAg,@StefanoGualtiero-q2i,UC3FC-DaQgzkLG09FmnVVKBA,"Like ""Heavy Metal"" 1981. ❣",fy,2025-05-22T05:42:42Z,2025-05-22 01:42:42,4
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgwCKWXyg7BIRjINDAJ4AaABAg.AIOfLYaso6DAIS17pu0XQT,UgwCKWXyg7BIRjINDAJ4AaABAg,@WakeNbakes-d4f,UCiOXs4PIzwGsCUJE_MUf6rA,"Season 4 feels rushed tbh, the episodes lack depth and the storylines are very meh not one captured me like the last few seasons tbh",en,2025-05-23T01:00:49Z,2025-05-22 21:00:49,7
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgywgapQOcnStTm4AjV4AaABAg.AILv8pSI0h-AIRo3Aj5t8s,UgywgapQOcnStTm4AjV4AaABAg,@wolfstorm5394,UClA2AnkT7m-7Ru1-JIHGQEQ,"Volume 4 was a let down, finished it yesterday and it's pretty forgettable",en,2025-05-22T22:57:51Z,2025-05-22 18:57:51,14
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgywgapQOcnStTm4AjV4AaABAg.AILv8pSI0h-AIYz-yCSx0n,UgywgapQOcnStTm4AjV4AaABAg,@babyhoho6745,UC0uG-kF_UrZVXcEv859t44w,"If the worst part about this season is Mr Beast showing up for a voice, then it must be a damn good season",en,2025-05-25T17:48:13Z,2025-05-25 13:48:13,1
p6XL6W_7_GA,LOVE DEATH + ROBOTS VOLUME 4 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-24T17:00:00Z,UgywgapQOcnStTm4AjV4AaABAg.AILv8pSI0h-AJ53S35nDmm,UgywgapQOcnStTm4AjV4AaABAg,@chrisvaccaro9062,UCMZyTetjKNLn7znq2avJsOA,aww poor you. you had to hear the voice of someone you dont like for no reason what a cruel world.............,en,2025-06-07T23:29:55Z,2025-06-07 19:29:55,0
