video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgxQfxb9VR5vyshJdcN4AaABAg,NA,@martinmacak284,UCQnmL5cGOFMZRAIOqBP2LVA,Netlif is a parody of a movie maker. Not everyone can do so properly screw up old classic,en,2025-11-15T17:22:08Z,2025-11-15 12:22:08,0,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,Ugw3yCB_FbS-PKEiXAx4AaABAg,NA,@Batman-bp9ui,UCXutwh2QjOulbsH99Hvj1lA,They should do another season for us💔,en,2025-11-03T04:51:07Z,2025-11-02 23:51:07,0,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgzkO7lVNL8z3YFKSwd4AaABAg,NA,@Bramma-k4y,UCGxfq7mbLg5b0OBA4eccb4Q,1st one mansion of the gods was too gud - perfect comic style of the original comic. i was disheartened to see the 2nd one which fell short of the OG asterix class. Glad they went back to the comics on the 3rd one and its a fantastic watch ! kudos !,en,2025-10-31T12:18:12Z,2025-10-31 08:18:12,1,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgyxJB932u_OYJZrgwx4AaABAg,NA,@elizabethramirezsierra3700,UC0JOe7T8lfVezmjGH2VybhQ,"Welcome to the Netflix family, Asterix and Obelix",en,2025-09-19T15:55:18Z,2025-09-19 11:55:18,1,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,Ugwpe6J7f1Va15TSaTl4AaABAg,NA,@darossigamer2553,UCCeWn3ixcsbux1cZ5txndvQ,"1:20 The Big Fight mosaic, with fighting game healthbars?

It would have been so easy to make a panel-to-shot adaptation of the original book, but no! They went one further, and added more modern jokes! And not toilet humour, or jokes for the lowest common denominator either; actual, clever jokes!",en,2025-08-03T20:00:29Z,2025-08-03 16:00:29,0,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgwpWJ7PwLdKq3ed5sh4AaABAg,NA,@Vetnamesechickenforyou,UCmR_PmW5inNGlcYtLp6oIjg,"At least asterix and obelix are not forgotten by belisama, belenos and toutatis",en,2025-07-27T15:04:54Z,2025-07-27 11:04:54,1,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,Ugy4t_g3x-qE-PQ1fYB4AaABAg,NA,@JazzmineItaliaTV,UCb0caK9V3VztG_W97rEUS2Q,I grew up on this show in Ukraine 🇺🇦 oh the nostalgia of childhood 📽️🎞️… this is a great updated version!,en,2025-07-25T04:43:22Z,2025-07-25 00:43:22,1,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgxnnNMoAGbzu36fTcB4AaABAg,NA,@blakechildress944,UCakn-pm_GiLlmyFQ6ummkOQ,Wow what a coincidence! I was just thinking about Asterix the other day and now I find out Netflix released a brand new A&O movie. It's so good to see that in Europe people still care enough about the Asterix & Obelix series for them to make an animated feature in 2025.,en,2025-07-24T09:06:48Z,2025-07-24 05:06:48,0,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgzQtKsNG4tc2H_gDPF4AaABAg,NA,@kavinethgeesara8060,UCScUdyWAB44BBF_5LLzcjMA,Why woman 🤢,en,2025-07-22T17:37:09Z,2025-07-22 13:37:09,0,0
pPNrWvatXiU,Asterix & Obelix: The Big Fight | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-03T16:00:00Z,668559,13498,859,UgzWfIVnOAzToKuzsSB4AaABAg,NA,@ozlemdemirli.,UCy0HOSIm1Srn5fkk4bS2MLQ,Was very funny and joyful 👌🏻🫶🏻😄,NA,2025-07-06T20:04:07Z,2025-07-06 16:04:07,2,0
