video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgwnzsJXiJd8Ru4IguR4AaABAg,NA,@Lara-nh6tz,UCv8EoOfZZ-QTkZBJBoRD2uw,If he didn't had a family then how was he born?,en,2025-09-21T23:42:02Z,2025-09-21 19:42:02,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgwvXgPwvB1rWP0G71h4AaABAg,NA,@unoeitzmexx,UCwmh0KDmToHToky0hJGObMw,He didn’t deserve to die,en,2025-07-04T16:10:59Z,2025-07-04 12:10:59,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,Ugz3Cb7b0QbveGEbMOd4AaABAg,NA,@entrcz,UCUhuMPuYPocughx1ulVEFZg,😓😓,ja,2025-06-01T21:37:40Z,2025-06-01 17:37:40,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgzF69qHq9w8vmgmteh4AaABAg,NA,@david76L,UCvIASiAsHqE2vEaCQruLOOQ,I wish they can make one more season 🤞,en,2025-05-20T16:04:52Z,2025-05-20 12:04:52,0,1
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgxdoN7hw-TTHYrQ4254AaABAg,NA,@kathleenrichards6061,UC8GNDPolEqhdWcU0lBTvXZQ,Loved it,fy,2025-05-15T15:30:11Z,2025-05-15 11:30:11,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,Ugx9QQCwpA-nnUn14nF4AaABAg,NA,@Ibrahim-f4h6p,UCubP5icfST0DALl3QiaqnqQ,"P3 was good when miguel , Tory and Johnny won 🏆 that was the best bit",en,2025-05-02T19:49:13Z,2025-05-02 15:49:13,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgxhndN4Xp3KhoVnlNh4AaABAg,NA,@Ibrahim-b6w1e,UCYqMi5dqP77ZHjfhL3RMZ7A,Rip kwon 🙏,ny,2025-04-16T21:36:05Z,2025-04-16 17:36:05,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgwhN9Ds5arkxX4vAm94AaABAg,NA,@AthayaRazka-bv5vk,UCKvNFMdfS5RFWhKNFFQDkTg,Bay kwon😂,NA,2025-04-04T04:24:39Z,2025-04-04 00:24:39,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,Ugz-UHT2re8Os5NNgcR4AaABAg,NA,@turningforever,UC1hs5OPf5PZ7aiFtWkyoeQQ,Kwon should still be alive and have faked his death by returning to Cobra Kai,en,2025-04-02T06:33:08Z,2025-04-02 02:33:08,0,0
pqBbHO-1_g8,Cobra Kai: Season 6 Part 3 Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-10T15:30:00Z,1254742,26344,1445,UgwpFxpGF33t3vJRr1N4AaABAg,NA,@D4RKSicK,UCmFE-4nfhGFJzfVsO3gBP-Q,Isn’t the show finish already?,mg,2025-03-28T21:30:22Z,2025-03-28 17:30:22,0,1
