video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugx2CGXWqohatqs6uLR4AaABAg.AOoyEJdvQjTAOv6Twb5gLs,Ugx2CGXWqohatqs6uLR4AaABAg,@karinabachmann8164,UCaLE4KVnjS9XRGXKfsZJdYQ,Ich schon. Der Film ist zuckersüß. ❤,de,2025-10-30T20:33:07Z,2025-10-30 16:33:07,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugy_6qgZcukf2eYz1ql4AaABAg.AKkcWocAtzSALlmiK0ABUW,Ugy_6qgZcukf2eYz1ql4AaABAg,@Lissa102,UCjKPljRYJRTeqQlXLLjjIYA,Yes that did have me into the movie she found a community that accepted her donation was within the grandmothers that were cooking,en,2025-08-13T16:04:22Z,2025-08-13 12:04:22,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgwOEky5GLGHUNSejqd4AaABAg.AJder0_i14BAMCvxpRkfBG,UgwOEky5GLGHUNSejqd4AaABAg,@9thGen6-6coupe,UCR3aecryX0pkB-8-32ESj3A,Watching it tonight with my mother and grandfather im crying already this is my childhood,en,2025-08-24T14:23:51Z,2025-08-24 10:23:51,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgwOEky5GLGHUNSejqd4AaABAg.AJder0_i14BAMqCc72OeoM,UgwOEky5GLGHUNSejqd4AaABAg,@fashionablylate9020,UCUtvcdOcc2L31E5h3sLQ82w,Right! I cried so hard watching this,en,2025-09-09T05:47:48Z,2025-09-09 01:47:48,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgwGSYd7oboil3oP8Wt4AaABAg.AJSTUO28BuuANWuRH8yVXp,UgwGSYd7oboil3oP8Wt4AaABAg,@glaydsonbarrosufma,UCqeoOqYfvkk-epmDtBtQ6-w,That's a beautiful history. My grandmama was brazilian like me and used to cook the most delicious native people inspired dishes. I also miss my granny.,en,2025-09-26T05:06:44Z,2025-09-26 01:06:44,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgzI6HvrfZ97R7bbmQh4AaABAg.AImyPfIuh_dAIpfX2mDUDR,UgzI6HvrfZ97R7bbmQh4AaABAg,@RocStarr913,UCKOOLdK8nR_9OOvamULrNPA,He can’t carry a movie though. His characters are always so obnoxiously neurotic.,en,2025-06-01T14:44:18Z,2025-06-01 10:44:18,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgzI6HvrfZ97R7bbmQh4AaABAg.AImyPfIuh_dALlnCDRHlED,UgzI6HvrfZ97R7bbmQh4AaABAg,@Lissa102,UCjKPljRYJRTeqQlXLLjjIYA,@RocStarr913 I don't usually like Vince Vaughn but I loved him in this he did a wonderful job,en,2025-08-13T16:08:35Z,2025-08-13 12:08:35,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgxlR1SMdfafRkXuPyt4AaABAg.AImf2v3hEBQAIpfvJ-URfL,UgxlR1SMdfafRkXuPyt4AaABAg,@RocStarr913,UCKOOLdK8nR_9OOvamULrNPA,"I agree. Good intentions are not enough. The script should have been polished more and the director should have done more with the actors and the script. I also get that dramadies are easier for actors to do than comedies or straight dramas, but it created an uneven tone and you need to pick a lane ultimately.",en,2025-06-01T14:47:45Z,2025-06-01 10:47:45,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgybVN43J8YpFLZi5ll4AaABAg.AIgKOe80rFVAJvczObSVRY,UgybVN43J8YpFLZi5ll4AaABAg,@thenightporter,UCfsfmoRmnLwEh_PE3Fw35Cg,And one the entire family can enjoy together.,en,2025-06-28T18:48:56Z,2025-06-28 14:48:56,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugws1GwD-5tdhE7foKl4AaABAg.AIWQ9w-vXuMAIl6rwTWYxG,Ugws1GwD-5tdhE7foKl4AaABAg,@guidototh6091,UCD2k7WRF5D4cbmJAixoA_oQ,Agreed,en,2025-05-30T20:15:45Z,2025-05-30 16:15:45,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugws1GwD-5tdhE7foKl4AaABAg.AIWQ9w-vXuMALlnfy1283W,Ugws1GwD-5tdhE7foKl4AaABAg,@Lissa102,UCjKPljRYJRTeqQlXLLjjIYA,The arguing was for the sake of the movie it's called injecting humor into a movie I come from Italian family and they bickered like that all the time but they loved each other fiercely,en,2025-08-13T16:12:47Z,2025-08-13 12:12:47,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgwLlm7o84vEo8DJLWB4AaABAg.AIRaCmh7lXwAIpgDLZOK1C,UgwLlm7o84vEo8DJLWB4AaABAg,@RocStarr913,UCKOOLdK8nR_9OOvamULrNPA,Mental illness makes for drama and emotion. Actors need something to work with.,en,2025-06-01T14:50:21Z,2025-06-01 10:50:21,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgwLlm7o84vEo8DJLWB4AaABAg.AIRaCmh7lXwALlo3VTnTja,UgwLlm7o84vEo8DJLWB4AaABAg,@Lissa102,UCjKPljRYJRTeqQlXLLjjIYA,Because mental illness very much exist and when people don't have family anymore it could be depressing they were trying to make it human and it worked it's not their fault you don't have a soul,en,2025-08-13T16:16:08Z,2025-08-13 12:16:08,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgzYQlPwtOetqKCFvwx4AaABAg.AIEtDtJv1ebAIpgZCrNl0O,UgzYQlPwtOetqKCFvwx4AaABAg,@RocStarr913,UCKOOLdK8nR_9OOvamULrNPA,Because it should be about the actors. Any truly talented actor can play any culture well. Cher wasn’t Italian and she played a convincing one in Moonstruck and got an Oscar for it.,en,2025-06-01T14:53:20Z,2025-06-01 10:53:20,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,UgzYQlPwtOetqKCFvwx4AaABAg.AIEtDtJv1ebALloj0c4v9h,UgzYQlPwtOetqKCFvwx4AaABAg,@Lissa102,UCjKPljRYJRTeqQlXLLjjIYA,Because if they're good actors they can act like they're Italian and fyi  most of these people are Italian I believe Susan is the only one that may not be,en,2025-08-13T16:21:56Z,2025-08-13 12:21:56,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugzzj--D_qfQgCixD9F4AaABAg.AIDtXX0c_uNAIEePoIcrLt,Ugzzj--D_qfQgCixD9F4AaABAg,@jackiejohnson6828,UCxN_VntlJBsf6sg2fvww8OQ,That is totally something my immigrant Nonna’s would have done. 😅,en,2025-05-17T20:23:26Z,2025-05-17 16:23:26,2
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugzzj--D_qfQgCixD9F4AaABAg.AIDtXX0c_uNAIEf2arXLq4,Ugzzj--D_qfQgCixD9F4AaABAg,@gnamorfra,UC_30ldl6S6NY-lZwpOZX8Ug,​@jackiejohnson6828 She would have spit on another Italian city? Why? 😳,en,2025-05-17T20:29:00Z,2025-05-17 16:29:00,0
rDJxJd3FzDY,NONNAS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-09T15:00:02Z,Ugzzrxv1HI3bJLnboN94AaABAg.AIAQT8bKyEGAIpgixfKDFO,Ugzzrxv1HI3bJLnboN94AaABAg,@RocStarr913,UCKOOLdK8nR_9OOvamULrNPA,"I appreciate you enjoy American films, but Netflix is an American studio and this is an American film and it’s meant to appeal to Americans first.",en,2025-06-01T14:54:48Z,2025-06-01 10:54:48,0
