video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgwMr4zT_citsoMf0vZ4AaABAg.AJMhu2mWKn_AMQOSH-yZJn,UgwMr4zT_citsoMf0vZ4AaABAg,@EimysGD,UCrokHOf-WUkuVyOlOoCJ74w,"Yeah, for me",en,2025-08-29T19:51:41Z,2025-08-29 15:51:41,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,Ugz191oMoOBuAjfc44d4AaABAg.AIuGthjYB1bAJ9Lih7Si_z,Ugz191oMoOBuAjfc44d4AaABAg,@myfaveyoutube,UCsj3HA51G-6uFIms3bjymUg,Desperate Tom,la,2025-06-09T15:26:34Z,2025-06-09 11:26:34,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxsX3xJ91SUwnZPItJ4AaABAg.AIgC_o5lfo1AJ9LcXnE9sP,UgxsX3xJ91SUwnZPItJ4AaABAg,@myfaveyoutube,UCsj3HA51G-6uFIms3bjymUg,Robotnik,NA,2025-06-09T15:25:44Z,2025-06-09 11:25:44,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgybHvq6fVk_D_XzZLB4AaABAg.AIH2r5uVNLDAJQ5oObw735,UgybHvq6fVk_D_XzZLB4AaABAg,@Corey_loves_art,UCtoR7E-R2TJ3nEYAmps4T2g,I thought it was,en,2025-06-16T03:34:38Z,2025-06-15 23:34:38,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxKaGD0Wk5_Vg8jXCd4AaABAg.AIFPChHkV0qAJwKuhwOG5N,UgxKaGD0Wk5_Vg8jXCd4AaABAg,@Jumbolub,UCV_uNFdXQtEmPtht22oHACQ,There is a certain agenda that’s being pushed,en,2025-06-29T01:21:30Z,2025-06-28 21:21:30,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,Ugwfvh5-fKpXbQTVPf94AaABAg.AIDMxKicdDlAIEeNIgzOYt,Ugwfvh5-fKpXbQTVPf94AaABAg,@Alex-sm1mb,UCutqqZQahd3KSd2EZKX5b7A,Literally the gaest “comedy” tv show I’ve ever seen. WTF,en,2025-05-17T20:23:05Z,2025-05-17 16:23:05,1
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,Ugwfvh5-fKpXbQTVPf94AaABAg.AIDMxKicdDlAIFoYiZdeCD,Ugwfvh5-fKpXbQTVPf94AaABAg,@alexpapkok,UCSAatzOnLEmLdJCMGoZIbKQ,@Alex-sm1mb yip and it doesn't help that Tom Segura is so sexy :D,en,2025-05-18T07:11:16Z,2025-05-18 03:11:16,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxGifPqHrMy548s69J4AaABAg.AI9XiU2I1KlAIAOBZm4v4p,UgxGifPqHrMy548s69J4AaABAg,@philipwells2379,UCQkqiU38b76SVhfUwrKNP8w,Giblets me a number out of 10 of what tou genuinely feel how funny this show is,en,2025-05-16T04:35:58Z,2025-05-16 00:35:58,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxGifPqHrMy548s69J4AaABAg.AI9XiU2I1KlAIARiVI3PTj,UgxGifPqHrMy548s69J4AaABAg,@MrRobeStern64,UCeRquiAD3D5aOqqBi-cOsVg,0:50 this episode was my favorite I really feel like Tom like bob odenkirk can do action movies he felt really intimidating and funny psychotic 😂😂😂,en,2025-05-16T05:06:50Z,2025-05-16 01:06:50,1
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxGifPqHrMy548s69J4AaABAg.AI9XiU2I1KlAIBckqSQenH,UgxGifPqHrMy548s69J4AaABAg,@i.washere,UCHp3yXkcPF-RFBNKaa9pHmw,is the main character gay?,en,2025-05-16T16:11:14Z,2025-05-16 12:11:14,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxGifPqHrMy548s69J4AaABAg.AI9XiU2I1KlAIBd3fUh1_A,UgxGifPqHrMy548s69J4AaABAg,@MrRobeStern64,UCeRquiAD3D5aOqqBi-cOsVg,@i.washere no and why would that be a problem?,en,2025-05-16T16:13:57Z,2025-05-16 12:13:57,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,UgxGifPqHrMy548s69J4AaABAg.AI9XiU2I1KlAIBjkq-mkcM,UgxGifPqHrMy548s69J4AaABAg,@naorl8866,UCP1RMkf65fbXQE44Pn8sphQ,"@i.washere No, it's far from PC or any thing like this",en,2025-05-16T17:12:24Z,2025-05-16 13:12:24,0
rrCciU8nD98,Bad Thoughts | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-30T15:00:00Z,Ugza-flNe02fi-gyJql4AaABAg.AI7k84foXrdAIBkR3vYcDc,Ugza-flNe02fi-gyJql4AaABAg,@SaltStorm007,UCdVVCFfETrLHSxwmzsgf4qg,"WOW….this show was absolutely horrible. It was literal torture to even watch it….seriously, I would rather be water boarded that watch that series again. It was so bad I feel like suing Tom for emotional damages and wasting my time. Only people I could even begin to imagine that thought it was even remotely funny, are the citizens from “Idiocracy”…..they would comment what you did….only with more exclamation points❗️❗️❗️❗️",en,2025-05-16T17:18:19Z,2025-05-16 13:18:19,5
