video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxbwxDWxcgfs139Zf54AaABAg.AN3RFOQn7IoAN8Qz7QuTY8,UgxbwxDWxcgfs139Zf54AaABAg,@Bouncybear7,UC0Kbv3ObWGqfw7yIyt2kyNg,December 12th,NA,2025-09-16T16:58:51Z,2025-09-16 12:58:51,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgyncigtYfz5C3ItJWx4AaABAg.AMmdzmh_geYAOhcal2MF-j,UgyncigtYfz5C3ItJWx4AaABAg,@Amatarias,UC1Zl357P0HYSlfcMwqve4Fw,It’s named after a U2 song,en,2025-10-25T14:53:10Z,2025-10-25 10:53:10,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgyLbWKl4dKUx0fEJs54AaABAg.AMVpn_EFae3AM_jwq7ZfM2,UgyLbWKl4dKUx0fEJs54AaABAg,@pedrocamara885,UCRvrC3AzssTqyPyw5cBnlzg,12 dec 2025,NA,2025-09-02T20:20:38Z,2025-09-02 16:20:38,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugy6TYLFxp1WiatcrJd4AaABAg.ALxc8o6btI-AM-Ea-jbn2d,Ugy6TYLFxp1WiatcrJd4AaABAg,@BenjaminVärnskog,UC3Nep5E0tj0shRmkN5H9A3w,"Its December 12, this year",en,2025-08-19T06:46:00Z,2025-08-19 02:46:00,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugy6TYLFxp1WiatcrJd4AaABAg.ALxc8o6btI-AM0xVdl_wv0,Ugy6TYLFxp1WiatcrJd4AaABAg,@Beowulfie,UCtkNG_xjp2XqQB_9BoZ2GlQ,@BenjaminVärnskogthanks,sv,2025-08-19T22:46:28Z,2025-08-19 18:46:28,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgwzSIVZwSStfBuwj-94AaABAg.ALkF58nwoWCALmHF1yke3T,UgwzSIVZwSStfBuwj-94AaABAg,@laikapupkino1767,UCg7f_IO7L_RJ8XmzWiYcxaA,"I didn't see it either. But WIKIPEDIA says the 3rd Benoit Blanc film 
will premier on Netflix on December 12, 2025",en,2025-08-13T20:39:51Z,2025-08-13 16:39:51,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugwm2AMIb1qMuMejOzV4AaABAg.AKzNL1mOB7-AL1Qs2xAZHT,Ugwm2AMIb1qMuMejOzV4AaABAg,@jack56473,UCW0qJ8z6WxliDJrTHp0Q4Bw,The 12th of December. Didn't you watch the video?,en,2025-07-26T06:40:24Z,2025-07-26 02:40:24,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxObSHDPxAr86gaph14AaABAg.AKvq7kYCmitALBQDIHK3pW,UgxObSHDPxAr86gaph14AaABAg,@Bouncybear7,UC0Kbv3ObWGqfw7yIyt2kyNg,Glass onion was brilliant,it,2025-07-30T03:47:07Z,2025-07-29 23:47:07,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxftJSkmfUEcPQZ1tV4AaABAg.AKO7i05ZlHPAKTGytZn7gB,UgxftJSkmfUEcPQZ1tV4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,"Not that Glass Onion was THAT much worse than the first one, but yes.",en,2025-07-12T05:41:18Z,2025-07-12 01:41:18,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugy1v__rsx0Pi91i0UF4AaABAg.AKJI8hlOrxLAL4uT5miLyp,Ugy1v__rsx0Pi91i0UF4AaABAg,@mr.tsunami8493,UCx2dvbCgBfGc7iRTvw0LFiQ,"Thanks for that, knew how to read them but didn't put two and two together to get the release date 😅",en,2025-07-27T15:05:28Z,2025-07-27 11:05:28,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzfrp8diB5BWsSMwzp4AaABAg.AKFj-kiw-aoAKGAEjiFk1L,Ugzfrp8diB5BWsSMwzp4AaABAg,@jack56473,UCW0qJ8z6WxliDJrTHp0Q4Bw,Did you actually watch it?,en,2025-07-07T03:32:18Z,2025-07-06 23:32:18,2
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzfrp8diB5BWsSMwzp4AaABAg.AKFj-kiw-aoAKGhLztx-hv,Ugzfrp8diB5BWsSMwzp4AaABAg,@basquat76,UCRAqn4w28LlC0SptfvfvKiQ,@jack56473 No i didn't see it. I just thought i would write that in advance. Good  question Jack.,en,2025-07-07T08:30:24Z,2025-07-07 04:30:24,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzfrp8diB5BWsSMwzp4AaABAg.AKFj-kiw-aoAKTH5Zyv4PL,Ugzfrp8diB5BWsSMwzp4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,Did they change the date? Is the one they have in it wrong?,en,2025-07-12T05:42:21Z,2025-07-12 01:42:21,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzfrp8diB5BWsSMwzp4AaABAg.AKFj-kiw-aoAKToGaZCiiu,Ugzfrp8diB5BWsSMwzp4AaABAg,@basquat76,UCRAqn4w28LlC0SptfvfvKiQ,@L_Dubby_Dubs Oh there is a date in there somewhere.,en,2025-07-12T10:40:57Z,2025-07-12 06:40:57,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzfrp8diB5BWsSMwzp4AaABAg.AKFj-kiw-aoAKV-Ndc_7NT,Ugzfrp8diB5BWsSMwzp4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,​@basquat76I know... that's why your comment confused me.,en,2025-07-12T21:46:01Z,2025-07-12 17:46:01,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugw-52B0EsVPZYCMTyh4AaABAg.AK9siFykcp3AKDXuDaFRHU,Ugw-52B0EsVPZYCMTyh4AaABAg,@jack56473,UCW0qJ8z6WxliDJrTHp0Q4Bw,Of course it was the Roman numerals.,en,2025-07-06T03:01:22Z,2025-07-05 23:01:22,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugw-52B0EsVPZYCMTyh4AaABAg.AK9siFykcp3AKTH9EdvQjg,Ugw-52B0EsVPZYCMTyh4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,Lol,uk,2025-07-12T05:42:51Z,2025-07-12 01:42:51,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxmbAyLM_PsfiBpYdR4AaABAg.AK5EVol9LE9AK9HnjeniKm,UgxmbAyLM_PsfiBpYdR4AaABAg,@StarryKat,UCkweP_1Ddr-gq7K1czva9TA,no they're standalones just benoit in all of them as a detective,en,2025-07-04T11:23:42Z,2025-07-04 07:23:42,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxmbAyLM_PsfiBpYdR4AaABAg.AK5EVol9LE9AK9IsswmRZ6,UgxmbAyLM_PsfiBpYdR4AaABAg,@Coast_by_coast,UCouHzblfawxNnfD5oYEVk_Q,@StarryKatahh okay tysm 🙏,fi,2025-07-04T11:33:09Z,2025-07-04 07:33:09,2
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxmbAyLM_PsfiBpYdR4AaABAg.AK5EVol9LE9AKTHF4Ij9Ch,UgxmbAyLM_PsfiBpYdR4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,"If you're a murder mystery fan, skip them.",NA,2025-07-12T05:43:39Z,2025-07-12 01:43:39,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxmbAyLM_PsfiBpYdR4AaABAg.AK5EVol9LE9AKTHh4w0kuq,UgxmbAyLM_PsfiBpYdR4AaABAg,@Coast_by_coast,UCouHzblfawxNnfD5oYEVk_Q,"Oh, i see. Thank you ♡ ​@lw6866",en,2025-07-12T05:47:37Z,2025-07-12 01:47:37,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgzutwLvSHrKW75RBgN4AaABAg.AK43tQ4WmowAKRocdYN6L4,UgzutwLvSHrKW75RBgN4AaABAg,@TonyMaccey-yr3nv,UCk3AjStHjmslXkkScJBLo4Q,Fun fact. Critical Drinker’s movie is rated lower than Rian Johnson’s movies on IMDb 🤭,en,2025-07-11T16:05:37Z,2025-07-11 12:05:37,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgzutwLvSHrKW75RBgN4AaABAg.AK43tQ4WmowAKRp1TFj7NO,UgzutwLvSHrKW75RBgN4AaABAg,@Theratron,UCaIfomPv2bYV7h46Lx1AKyw,​@TonyMaccey-yr3nv ouch 😅,cy,2025-07-11T16:09:08Z,2025-07-11 12:09:08,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzzw7qcIIa19kY1JRZ4AaABAg.AK1WvvdtRFfAK47UeX8cPC,Ugzzw7qcIIa19kY1JRZ4AaABAg,@jack56473,UCW0qJ8z6WxliDJrTHp0Q4Bw,Huh?,fil,2025-07-02T11:17:23Z,2025-07-02 07:17:23,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgzBn36FP5MrfjD6WW14AaABAg.AK1DutuwPFbAKTHSjYCUz5,UgzBn36FP5MrfjD6WW14AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,"Oh, but haven't you heard? The subversion is so brilliant. Only when whodunits make sense are they bad.",en,2025-07-12T05:45:31Z,2025-07-12 01:45:31,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxOVt1fPPaQFPGrjuZ4AaABAg.AJzvnG9zMxzAKTHdRyFuNr,UgxOVt1fPPaQFPGrjuZ4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,Don't know who is still willing to pay for his crap... but someone is.,en,2025-07-12T05:47:07Z,2025-07-12 01:47:07,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgzJhZAgDwrF-NhlsqB4AaABAg.AJzZPqDQR_9AK475pBJ13G,UgzJhZAgDwrF-NhlsqB4AaABAg,@SachiiHatsuna,UCzjtPGAZQHFNQLrW-xBV0tQ,"smartened up, 12/12/25",NA,2025-07-02T11:13:59Z,2025-07-02 07:13:59,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgzJhZAgDwrF-NhlsqB4AaABAg.AJzZPqDQR_9AKTHhFMLWBU,UgzJhZAgDwrF-NhlsqB4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,Umm... ??,NA,2025-07-12T05:47:38Z,2025-07-12 01:47:38,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugzys1Lam6EV4vjsRsx4AaABAg.AJwf2MTqLr4AKTHoxJAvdJ,Ugzys1Lam6EV4vjsRsx4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,I'm gonna watch it... but not. HA! SUBVERTRD! Rian Johnson style.,en,2025-07-12T05:48:41Z,2025-07-12 01:48:41,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgyrKOOdTgy8gn6h3g54AaABAg.AJvAMt6LtOuAKTI6-rm71S,UgyrKOOdTgy8gn6h3g54AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,Haven't you heard? It was genius. You can write a dumb script if you have a character call it dumb. SUBVERTED. Rian Johnson style.,en,2025-07-12T05:51:09Z,2025-07-12 01:51:09,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgwLgSXtoXvleTXW_Fx4AaABAg.AJtMYrsVz9SAJwPoYiIaRg,UgwLgSXtoXvleTXW_Fx4AaABAg,@jack56473,UCW0qJ8z6WxliDJrTHp0Q4Bw,Huh?,fil,2025-06-29T02:04:22Z,2025-06-28 22:04:22,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgwLgSXtoXvleTXW_Fx4AaABAg.AJtMYrsVz9SAK47979v08m,UgwLgSXtoXvleTXW_Fx4AaABAg,@SachiiHatsuna,UCzjtPGAZQHFNQLrW-xBV0tQ,It's 12/12/25 it's on the video,fy,2025-07-02T11:14:26Z,2025-07-02 07:14:26,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxkFu2gNtD0m0jsJhd4AaABAg.AJtBhnqe8dkAKTICB6FjSC,UgxkFu2gNtD0m0jsJhd4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,"Josh Brolin is in it, too...",NA,2025-07-12T05:51:59Z,2025-07-12 01:51:59,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxkFu2gNtD0m0jsJhd4AaABAg.AJtBhnqe8dkAKUtVmGKOJD,UgxkFu2gNtD0m0jsJhd4AaABAg,@wintersbabyy,UCTP_2K2tqLwp25Yt36bFOkg,@L_Dubby_Dubs yeah but he was a Marvel villain not a hero,lb,2025-07-12T20:45:57Z,2025-07-12 16:45:57,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxkFu2gNtD0m0jsJhd4AaABAg.AJtBhnqe8dkAKV-DcQHko0,UgxkFu2gNtD0m0jsJhd4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,​@wintersbabyyI mean... unless we're counting Fox... and stretching the term hero...,en,2025-07-12T21:44:39Z,2025-07-12 17:44:39,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxkFu2gNtD0m0jsJhd4AaABAg.AJtBhnqe8dkAK_ReNr-rf6,UgxkFu2gNtD0m0jsJhd4AaABAg,@wintersbabyy,UCTP_2K2tqLwp25Yt36bFOkg,@L_Dubby_Dubs We are not.,en,2025-07-15T00:29:18Z,2025-07-14 20:29:18,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxkFu2gNtD0m0jsJhd4AaABAg.AJtBhnqe8dkAQj4K9zP2jV,UgxkFu2gNtD0m0jsJhd4AaABAg,@wintersbabyy,UCTP_2K2tqLwp25Yt36bFOkg,"@L_Dubby_Dubshello there, did i call it or not?",en,2025-12-14T21:26:12Z,2025-12-14 16:26:12,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxkFu2gNtD0m0jsJhd4AaABAg.AJtBhnqe8dkAQj4Ol9KJnZ,UgxkFu2gNtD0m0jsJhd4AaABAg,@wintersbabyy,UCTP_2K2tqLwp25Yt36bFOkg,@L_Dubby_Dubs I called it,en,2025-12-14T21:26:50Z,2025-12-14 16:26:50,0
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,Ugx4ig1it3gWqzyRliJ4AaABAg.AJr3eI139-2AKTIObM7JQf,Ugx4ig1it3gWqzyRliJ4AaABAg,@L_Dubby_Dubs,UC2mtuew0oV7Pn5ccMPr0f8w,"How dare you?! It was stupid on purpose. Subversion. Bad movies aren't bad, they're subversive genius. Stop using brain thing.",en,2025-07-12T05:53:41Z,2025-07-12 01:53:41,1
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxqHIEO733s5LUtdH94AaABAg.AJpCfMcICmFAJq2UWsvkjG,UgxqHIEO733s5LUtdH94AaABAg,@IDAWG1946,UCkA5C_g1S-YnQc9KtA3HMKw,"yep looking at the cast list kerry washington will be setup as the badguy only to be an innocent victim (while doing a bunch of horrible stuff the movie pretends is ok) and the actual bad guy will be whichever actor of the following is playing the richest character: Josh O'connor, Josh Brolin, Jeremy Renner, Andrew Scott, Thomas Haden Church. Since this also seems to involve the church it could be O'connor or Brolin because they're playing priests and I'm sure rian would love to take a shot at christians",en,2025-06-26T14:45:04Z,2025-06-26 10:45:04,3
sRqU2276eaQ,Wake Up Dead Man: A Knives Out Mystery | Date Announcement | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T00:32:01Z,UgxqHIEO733s5LUtdH94AaABAg.AJpCfMcICmFALBmAAQ209f,UgxqHIEO733s5LUtdH94AaABAg,@Lolkwie,UC293q6IiA3d06KeOlXY-wvQ,Are you guys ok,en,2025-07-30T07:07:40Z,2025-07-30 03:07:40,0
