video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,UgxaiwhiBFAPMifWHoR4AaABAg,@ceramicvases,UCRfo6Ip-r8yl9YhtgNVl2GA,"Seriously, it looks stupid.",NA,2025-03-08T10:00:41Z,2025-03-08 05:00:41,0,2,UgxaiwhiBFAPMifWHoR4AaABAg.AFPIVKc28B_AFP__cvxOdm,@user-ic8vi6kk8r,UCaj-Z7wRqWMvc_pQQv7I2SA,No. I seriously thought the same thing. It's actually really funny.,en,2025-03-08T12:38:41Z,2025-03-08 07:38:41,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,UgxaiwhiBFAPMifWHoR4AaABAg,@ceramicvases,UCRfo6Ip-r8yl9YhtgNVl2GA,"Seriously, it looks stupid.",NA,2025-03-08T10:00:41Z,2025-03-08 05:00:41,0,2,UgxaiwhiBFAPMifWHoR4AaABAg.AFPIVKc28B_AFRdaVdHP5e,@AndresSmooth,UCYf2MeX3Y7x5RpP1LIEAcBw,"It is stupid, you weren't wrong.",en,2025-03-09T07:52:14Z,2025-03-09 03:52:14,1,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugw_OBvIW5MpMXnWYMh4AaABAg,@Topo42mh,UCrkXTeLh5Zv2Jcl7yZL1Kow,OHHHH GARBAGE TV. Bot comments activated.,en,2025-03-06T19:06:33Z,2025-03-06 14:06:33,0,2,Ugw_OBvIW5MpMXnWYMh4AaABAg.AFL7NlwhhDEAFP_jFVW6Tf,@user-ic8vi6kk8r,UCaj-Z7wRqWMvc_pQQv7I2SA,😂😂😂 you should never hate on something before actually watching it.,en,2025-03-08T12:40:00Z,2025-03-08 07:40:00,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugw_OBvIW5MpMXnWYMh4AaABAg,@Topo42mh,UCrkXTeLh5Zv2Jcl7yZL1Kow,OHHHH GARBAGE TV. Bot comments activated.,en,2025-03-06T19:06:33Z,2025-03-06 14:06:33,0,2,Ugw_OBvIW5MpMXnWYMh4AaABAg.AFL7NlwhhDEAFRdeHgO2Es,@AndresSmooth,UCYf2MeX3Y7x5RpP1LIEAcBw,It's awful,yo,2025-03-09T07:52:45Z,2025-03-09 03:52:45,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugwv7QSDXrH-yzhhNcF4AaABAg,@johnnyv.5142,UCzsgFGkIhI8ZR3Ne3EI5g3A,"Just finished E3, and I'll tell ya....this series is by far the best thing to hit Netflix in a very long time. Incredibly entertaining! Kate Hudson's facial expressions are so funny and she shines in her role!",en,2025-03-06T02:16:13Z,2025-03-05 21:16:13,117,5,Ugwv7QSDXrH-yzhhNcF4AaABAg.AFJJksDkdnzAGVMrFc--fq,@jbt9373,UC1Q6kbtzsJ2eXw7n_ALxFJQ,"She is reminding me more and more of her (real life) mom as she ages. I see Goldie in her performances sometimes and with some of her facial expressions. Love her, her mom, and this show!",en,2025-04-04T15:05:36Z,2025-04-04 11:05:36,3,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugwv7QSDXrH-yzhhNcF4AaABAg,@johnnyv.5142,UCzsgFGkIhI8ZR3Ne3EI5g3A,"Just finished E3, and I'll tell ya....this series is by far the best thing to hit Netflix in a very long time. Incredibly entertaining! Kate Hudson's facial expressions are so funny and she shines in her role!",en,2025-03-06T02:16:13Z,2025-03-05 21:16:13,117,5,Ugwv7QSDXrH-yzhhNcF4AaABAg.AFJJksDkdnzAMFbw9EIjbS,@Squadron_Bodron,UCGGX87tFdeujkJ4-GxpRGDQ,Lies.,lb,2025-08-25T15:26:35Z,2025-08-25 11:26:35,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugwv7QSDXrH-yzhhNcF4AaABAg,@johnnyv.5142,UCzsgFGkIhI8ZR3Ne3EI5g3A,"Just finished E3, and I'll tell ya....this series is by far the best thing to hit Netflix in a very long time. Incredibly entertaining! Kate Hudson's facial expressions are so funny and she shines in her role!",en,2025-03-06T02:16:13Z,2025-03-05 21:16:13,117,5,Ugwv7QSDXrH-yzhhNcF4AaABAg.AFJJksDkdnzAMFdwB5XuTN,@Arturo-p1g4y,UCNSVrcOJG5va69sX3YZCtdQ,"​@Squadron_BodronYou're the liar, bot. 😂",ht,2025-08-25T15:44:04Z,2025-08-25 11:44:04,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugwv7QSDXrH-yzhhNcF4AaABAg,@johnnyv.5142,UCzsgFGkIhI8ZR3Ne3EI5g3A,"Just finished E3, and I'll tell ya....this series is by far the best thing to hit Netflix in a very long time. Incredibly entertaining! Kate Hudson's facial expressions are so funny and she shines in her role!",en,2025-03-06T02:16:13Z,2025-03-05 21:16:13,117,5,Ugwv7QSDXrH-yzhhNcF4AaABAg.AFJJksDkdnzANQ4E3ZxExR,@CottonWeary,UCKGID234lA-M1k2AhuAoL3g,Anything Netflix sucks these days so I’m sceptical,NA,2025-09-23T13:26:22Z,2025-09-23 09:26:22,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,Ugwv7QSDXrH-yzhhNcF4AaABAg,@johnnyv.5142,UCzsgFGkIhI8ZR3Ne3EI5g3A,"Just finished E3, and I'll tell ya....this series is by far the best thing to hit Netflix in a very long time. Incredibly entertaining! Kate Hudson's facial expressions are so funny and she shines in her role!",en,2025-03-06T02:16:13Z,2025-03-05 21:16:13,117,5,Ugwv7QSDXrH-yzhhNcF4AaABAg.AFJJksDkdnzANQ4iNxrsWx,@Arturo-p1g4y,UCNSVrcOJG5va69sX3YZCtdQ,​@CottonWearyLol Netflix ALWAYS sucked. 😂,NA,2025-09-23T13:30:39Z,2025-09-23 09:30:39,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
thA5bHMjOI4,https://www.youtube.com/watch?v=thA5bHMjOI4,UgwGP1p5FMDnw8YLZfR4AaABAg,@hdofu,UC_9Jkmn8didnTWTt51GXANQ,“From the mind of Mindy Kaling” is enough to make me “nope” the heck outta here,en,2025-03-05T19:42:17Z,2025-03-05 14:42:17,3,1,UgwGP1p5FMDnw8YLZfR4AaABAg.AFIbfY-0v6BAFcXg6wkPzf,@MA-yc7pz,UCSk2Q5ZRhTqSD-YqlyAlE4Q,Who,NA,2025-03-13T22:42:43Z,2025-03-13 18:42:43,0,1652475,14876,663,"Wed, 17 Dec 2025 14:21:23 GMT"
