video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugz1S0b-938YWV93w-N4AaABAg,NA,@PromiseImonigie07,UCiABDStrxqJMu3i54wE-D7A,"Repent! JESUS IS COMING SOON. HE LOVES YOU AND WANTS YOU TO BE WITH HIM.
ACCEPT HIM INTO YOUR LIFE AND BE SAVED",en,2025-12-08T16:40:33Z,2025-12-08 11:40:33,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgzPBvfDGkE01upVCDR4AaABAg,NA,@PromiseImonigie07,UCiABDStrxqJMu3i54wE-D7A,"Therefore you also be ready, for the Son of Man is coming at an hour you do not expect.

Matthew 24:44 NKJV",en,2025-12-08T16:40:23Z,2025-12-08 11:40:23,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgwyCA_t_9-zIokKQDR4AaABAg,NA,@jessebautista872,UCLB9lNQgGVxnI5ugOnbKATg,This is literally the Lakers currently,en,2025-12-02T21:47:54Z,2025-12-02 16:47:54,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgxayMu9xmcUj-RaIQx4AaABAg,NA,@mandy7131,UCrbRCuvQiJ8AEIV_SEIYVvw,"Wait this used to be a movie 
Now they made it like this LMFAO 😂",en,2025-12-01T17:23:33Z,2025-12-01 12:23:33,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgxKcVIJ0L7WqDCdzb94AaABAg,NA,@JstnTang,UCP9ANA2rAga9ziLEnnbuHCg,"She can easily play the wife of Charlie, Kirk",en,2025-11-25T05:56:34Z,2025-11-25 00:56:34,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgzeWmXdbrskDdFowBR4AaABAg,NA,@showmethemoney824,UC26zZG48NSPl1iccQki3VzA,When is s2,en,2025-11-18T19:33:58Z,2025-11-18 14:33:58,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugx62NLxVMuk8ziK7xF4AaABAg,NA,@lukeshoo,UCRE-c6WE4RSZt1S9btINJ4w,Kate Hudson is simply one of the most beautiful women of all time. Helen of Troy levels.,en,2025-11-10T17:45:34Z,2025-11-10 12:45:34,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgxYS1xP5AWMpGWd_d54AaABAg,NA,@googlename7943,UC2WcMalL-Vj8zqssH0anTWw,"This is a really good show. Like.... i dont usually enjoy feminist rv shows or movies but this is low key good. The onw criticism i have is, they need to humanise the characters more, in the sense that, they should show more of their family lives and partner relationships more.",en,2025-11-04T15:31:37Z,2025-11-04 10:31:37,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgyQRKje_KQqPfBI2D94AaABAg,NA,@stonehenges5722,UCFIoxXCvL60iShPQPivGdCQ,I became fan of Kate Hudson because of this show.,en,2025-11-01T14:58:27Z,2025-11-01 10:58:27,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgyJk2XIEtFS2CpF3J14AaABAg,NA,@darcbarso74,UCk8nf6b1AbN7mQPxaHTsCCQ,Una buena série de hacer negocios. Couch,es,2025-10-18T11:14:26Z,2025-10-18 07:14:26,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugz9YdtCS9KJ3tn5pox4AaABAg,NA,@darcbarso74,UCk8nf6b1AbN7mQPxaHTsCCQ,Lo maximo de serie de básquet,gl,2025-10-18T10:52:40Z,2025-10-18 06:52:40,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugx8CM9Hcyrw5fcKtpR4AaABAg,NA,@darcbarso74,UCk8nf6b1AbN7mQPxaHTsCCQ,Cuándo lanzan la segunda temporada? Está muy buena la serie,es,2025-10-18T10:52:19Z,2025-10-18 06:52:19,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugyv_z_5fVeN-MseOg14AaABAg,NA,@lavishmisfittink3214,UCahVSPcS3_ucbr0MnnuxdZw,Wait Brenda song I’m sat ❤,no,2025-09-28T18:10:17Z,2025-09-28 14:10:17,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgzzF96QCC1yo45m_jJ4AaABAg,NA,@MarenaAlvarado-g9q,UCX0b7rIOGjiO1uEAkfrmYzA,Número 6,NA,2025-09-11T18:03:56Z,2025-09-11 14:03:56,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugymp4jEy3qjAhiFJHl4AaABAg,NA,@MichaelAndersonTapuyo,UCvcstJT_wpyyJjHj7qPWDvA,Pay immediately for watching Netflix.,en,2025-09-11T17:31:56Z,2025-09-11 13:31:56,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgyKk-5-CQSOf7HF1pJ4AaABAg,NA,@burningmanmike,UCqKqpX8GMrEvjb6g1KTUYNA,So glad to see Jason Bateman and Christian Slater lookalikes are getting work!,en,2025-08-30T23:41:44Z,2025-08-30 19:41:44,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgzYkpDx8CjZ-57omZd4AaABAg,NA,@eloisebanting9501,UCzyuC6trDF0U1fxU7Lt4-tQ,My question is: have you ever wronged Eloïse Banting? Or Isla Gordon?,en,2025-08-27T08:53:56Z,2025-08-27 04:53:56,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugymi3htAhLKulErFtx4AaABAg,NA,@eloisebanting9501,UCzyuC6trDF0U1fxU7Lt4-tQ,You can’t be patient?,en,2025-08-27T07:49:15Z,2025-08-27 03:49:15,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,UgwCIB-PZ-HXXVI4jmN4AaABAg,NA,@eloisebanting9501,UCzyuC6trDF0U1fxU7Lt4-tQ,I missed an appointment - just like you do for all of the kids’ treatment I help pay for.,en,2025-08-27T07:48:58Z,2025-08-27 03:48:58,0,0
thA5bHMjOI4,Running Point | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T17:00:00Z,1652475,14876,663,Ugx1IciSF7pIBWLN7jV4AaABAg,NA,@eloisebanting9501,UCzyuC6trDF0U1fxU7Lt4-tQ,I can’t believe he said that. 😂,en,2025-08-27T07:48:05Z,2025-08-27 03:48:05,0,0
