video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgytHf1ndt6fBEQOkph4AaABAg,NA,@Robert-zc2cc,UChGk9Sjuhdk5q2eLslI3oug,He's still the GOAT 😅 No amount of sniping by the peanut gallery will change that 🤣,en,2025-12-06T06:26:54Z,2025-12-06 01:26:54,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgwPRj988RFJRWr1oJd4AaABAg,NA,@deputy3690,UCB5L8A3h469GUgRjaClisJg,Biggest P.O.S in American history.,en,2025-11-22T22:46:42Z,2025-11-22 17:46:42,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,Ugxie4tSVyYoMPkaqfR4AaABAg,NA,@uss.official,UCLeEJaktt-4_uwCGL-l9gpQ,"Wow… Favre was always a huge figure, but almost no one wants to talk about this part of the story. Netflix is ​​coming back with a bang again. This Untold is definitely going to generate buzz.",en,2025-11-15T19:12:00Z,2025-11-15 14:12:00,1,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgzYEatlOtCLeriyLOB4AaABAg,NA,@pnl1090,UCYny-Rawv8QlALNfoBVLY5g,"Don't know what to think about Jenn Sterger... I mean she was on the way to have a solid carrer but chose the path of s*x symbol. She even admits that she doesn't care about sports. All she wants is to be in the spotlight. I honestly don't think that Brett was the only one sending inappropriate messages after all she had done. I mean she says herself that she had the  biggest facebook profile at the time. I definately don't want to say it's OK what he did, but digging it all up decades later and blame it all on him seems to fit her needs more than it serves the purpose of the documentary. I guess if he did it once there could have been more digging into that miserable behavior of Favre instead of only focusing in that one popular case.",en,2025-11-07T01:14:48Z,2025-11-06 20:14:48,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgyxdRU2zXcODKYsEjx4AaABAg,NA,@danyluk1,UC-a4Xh3JOWfcDM-51fgG0Ig,"Internet influencer? A show-off-the-body non talent, telling us all about her ""career?"" What a joke....",en,2025-10-27T13:08:11Z,2025-10-27 09:08:11,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,Ugzs8CtyblP8qyaq0Kt4AaABAg,NA,@TheRugbySpectator,UCu-DI4Sbati7e9u7ihiwCEw,"Either way, a pardon from Donald Trump was coming his way. Undoubtedly.",en,2025-10-12T13:38:25Z,2025-10-12 09:38:25,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgzKmhZcKDGnWTUDQDV4AaABAg,NA,@mical2great,UC3HwjZiENP6BikBDD-x6E-Q,Fall? They still show this SOB on national tv like hes a hero,en,2025-10-02T09:55:44Z,2025-10-02 05:55:44,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgzrZJ_Jw1Yidf1yL6p4AaABAg,NA,@hennessyblackk,UCJJykIL_dlozbRj15ewLvMw,Brett Farve was a joy to watch play football,NA,2025-09-30T14:32:19Z,2025-09-30 10:32:19,1,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgwSMPuGhrF5Ec8MD254AaABAg,NA,@cristhian_letras_lokas,UCXTGEYP_MxkGUTXjgF5o0Lg,Saludos !! Desde ecuador muy bien !!,es,2025-09-29T15:53:19Z,2025-09-29 11:53:19,0,0
uKWfjyZDX8c,Untold: The Fall of Favre | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-29T16:00:00Z,309205,2464,896,UgzAcwibvl1m4-6EQDF4AaABAg,NA,@christolar8732,UCsu0Z8EwqpTsPWoHIs68kPQ,"Everybody knows about that ho in Minnesota but u damn near ruined the whole show by making half the story about her and giving her so much speaking time . Nobody gaf what that 
s/ut thinks or has to say , she is and has always since existence been looking for a payday. U should a film ‘Fall of Floozy’ a Dirty Ho Documentary",en,2025-09-15T05:17:25Z,2025-09-15 01:17:25,0,0
