video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgweFw-GTIpYTuN6k8V4AaABAg.AMQNxugKQe6AMUM66sXOUV,UgweFw-GTIpYTuN6k8V4AaABAg,@red_w1n,UCCdDzHRcKSZCVXyiDOYsDdw,what's wrong with feeling spooky in summer 😅,en,2025-08-31T08:48:08Z,2025-08-31 04:48:08,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgysqWVYnot7QtkLVq54AaABAg.ALszQW48PDVANG7WyeWj-C,UgysqWVYnot7QtkLVq54AaABAg,@vampire523ful,UCivJ9jjBxAA3ohk9ovwBtIQ,I loved his work. Someone even made a picture on DeviantArt of Wednesday and Pugsley in his art style.,en,2025-09-19T16:42:46Z,2025-09-19 12:42:46,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgxRuShvB8zN4ga0lZl4AaABAg.ALnLt3xFpxLALqwGgDTQu9,UgxRuShvB8zN4ga0lZl4AaABAg,@bobbi940,UCjMvHlnQJY6jNQ-JJ6iXnGQ,AND sung by The Lennon Sisters.,en,2025-08-15T16:04:02Z,2025-08-15 12:04:02,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgymXFq7hLYnzZV5OKB4AaABAg.ALQena5AQAvALVwLnjRi1i,UgymXFq7hLYnzZV5OKB4AaABAg,@ayisha_x9,UCk_KcX1_7zBV4PzLgUGEYvA,Just stfu cause you know your gonna be sitting on ur ass watching part 2 on September 3rd,en,2025-08-07T03:01:27Z,2025-08-06 23:01:27,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,Ugy03MkicDgZ-wiGl1J4AaABAg.ALNMlMhkBNOALXNX3zUByl,Ugy03MkicDgZ-wiGl1J4AaABAg,@erbek112,UCBd-9friVVtoWg3frN4T9cw,She is better now,en,2025-08-07T16:26:54Z,2025-08-07 12:26:54,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgxHsVqx2sQc250ANjh4AaABAg.ALHnbkR5NQiANPdjTffAtq,UgxHsVqx2sQc250ANjh4AaABAg,@Chi_aro_scuro,UC-bD50UOCRDpT9jCH6vlogQ,Then why tf you here?,en,2025-09-23T09:26:08Z,2025-09-23 05:26:08,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgxqFxve1At1BvEXZwt4AaABAg.ALCkMRs0ctXANSXLXvXfPS,UgxqFxve1At1BvEXZwt4AaABAg,@Rstm.74ws,UCnV2jVrOdQqvW0ZIFmMDpmA,Fr,be,2025-09-24T12:19:17Z,2025-09-24 08:19:17,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgyjtlsC57FIu0Elk-F4AaABAg.AL9N_PMVVN6ALXNeZAZbeh,UgyjtlsC57FIu0Elk-F4AaABAg,@erbek112,UCBd-9friVVtoWg3frN4T9cw,No,es,2025-08-07T16:28:03Z,2025-08-07 12:28:03,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgzzQVAo-U0eqlQvIYt4AaABAg.AL8-PXhIlmmALXNhiVKvVS,UgzzQVAo-U0eqlQvIYt4AaABAg,@erbek112,UCBd-9friVVtoWg3frN4T9cw,What bangs are?,en,2025-08-07T16:28:29Z,2025-08-07 12:28:29,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,Ugw5Y86g34B7yuZhQI14AaABAg.AKzVFu0xOvSALXNkbsIEgQ,Ugw5Y86g34B7yuZhQI14AaABAg,@erbek112,UCBd-9friVVtoWg3frN4T9cw,Go and watch the episodes,en,2025-08-07T16:28:53Z,2025-08-07 12:28:53,0
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-23T13:00:00Z,UgyNkzazBfTBQQh8ThJ4AaABAg.AKHPWeV3kQrALXNvBzR8Id,UgyNkzazBfTBQQh8ThJ4AaABAg,@erbek112,UCBd-9friVVtoWg3frN4T9cw,No she was somewhere else,pt,2025-08-07T16:30:19Z,2025-08-07 12:30:19,0
