video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,Ugw2vUZSsBghNksO5394AaABAg,@GreaterhtraE2025,UCW9TjhMq12VmgbnAuN072ZA,It Will Be on October 31st,en,2025-10-10T09:10:44Z,2025-10-10 05:10:44,0,1,Ugw2vUZSsBghNksO5394AaABAg.AO5OUbFuBnIAO5OYUL2PKJ,@GreaterhtraE2025,UCW9TjhMq12VmgbnAuN072ZA,Sorry It's September 3rd,no,2025-10-10T09:11:16Z,2025-10-10 05:11:16,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,Ugzxnr0DMpSVNRI9jsB4AaABAg,@kidcul2268,UCoy06GTMenPgzqSufpCiaYQ,Di netflik ko g ada ya,ha,2025-09-29T07:01:07Z,2025-09-29 03:01:07,0,1,Ugzxnr0DMpSVNRI9jsB4AaABAg.ANdpuXij6F-ANu9EFrkPZV,@Nur_Kyo,UCL-8WK2uooFw9_wDOkjXLbA,Hah masa.. klik season 1 ganti ke season 2,hi-Latn,2025-10-05T15:06:33Z,2025-10-05 11:06:33,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgzRJ4P8KmZFO0QLpop4AaABAg,@Jrocke07,UC5ON2cAF02hLzoJbmBKOuUg,"Didn't watch season 1
I watched 1st episode season 2
And i didn't know how i feel 😅
But i want to keep watching",en,2025-09-21T13:14:49Z,2025-09-21 09:14:49,0,1,UgzRJ4P8KmZFO0QLpop4AaABAg.ANKuJdaLey4ANQoRK3I_3o,@bill_99_94,UC2HIMcVCetXr0ndplY_NAkg,You are abnormal 😂,en,2025-09-23T20:18:53Z,2025-09-23 16:18:53,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,Ugw1ql382rI50BU5WfZ4AaABAg,@lnb3831,UCrM5KvGyff_u9SRY0aKwtAg,"Season 2 was not as good as Season 1. I liked the backstory for Thing, but it was an 11 oclock add in and not a main plot point. I was also annoyed Season 2 was split into 2 parts. By the time it came to the second part I was completely uninterested to watch and couldn't remember the new characters from part 1. Honestly, not looking forward to Season 3, they should have found a way to end the show snd not let it go on endlessly.",en,2025-09-21T09:42:56Z,2025-09-21 05:42:56,0,1,Ugw1ql382rI50BU5WfZ4AaABAg.ANKX3q0zhSmANLWbBPJBAX,@megha6865,UCAas4X2baz853-t2GbSVH7Q,But many of us like it you know. Also there is still lot of story to cover.,en,2025-09-21T18:58:08Z,2025-09-21 14:58:08,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgxVJbiTpDEtAlSkjC14AaABAg,@JilinGuzman,UCR_WE88v7IPdX9w_9jqcYsw,Quest 1,NA,2025-09-18T11:49:25Z,2025-09-18 07:49:25,0,1,UgxVJbiTpDEtAlSkjC14AaABAg.AND19af1lqIANFA-aCgvNC,@glennetteclaricedequina1293,UC1Kb80eHoDFk1z4dHxxy6_A,Na scam ka?,ig,2025-09-19T07:45:11Z,2025-09-19 03:45:11,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgzXlZkihn0AIiHCRlZ4AaABAg,@shannonwvw,UCk0fRYgLa1zbOThAq3wC4dg,"GOODBYE AD AGENCY NETFLIX! Less ads means more views.
Season 2 was a complete disappointment. The storyline had potential, but what a complete down grade. REALLY?? You had more than 2 years to perfect it and it still flopped. (don't get me started on the fake strike)
What a joke! Thank gawd for Weems, probably your only saving grace.
 Like who the heck even watches Netflix anymore? No, seriously, WHO?? 
NOBODY!  
Good job in chasing loyal subscribers away! See ya!
STOP PRIORITIZING ADS BEFORE VIEWERS!! DO YOU REALIZE THAT EVERY AD IS A LOSS IN VIEWS???
And it's less and less every year. Good job Netflix, you're known as nothing more than an AD Agency.
Nobody I know wants to see ads. We already have to pay for the Internet, I'm not paying for anything else!!
 When will these online companies learn, less ads means more views.",en,2025-09-18T06:23:46Z,2025-09-18 02:23:46,0,4,UgzXlZkihn0AIiHCRlZ4AaABAg.ANCRtTmgNHOANJDkp9hOCW,@BenjaminEkuadzi,UCTGHjWXNCxb6aTnA5fZe5EA,so much money went into producing this and you feel entitled to watch it for free because you pay for the internet? How pathetic!,en,2025-09-20T21:34:57Z,2025-09-20 17:34:57,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgzXlZkihn0AIiHCRlZ4AaABAg,@shannonwvw,UCk0fRYgLa1zbOThAq3wC4dg,"GOODBYE AD AGENCY NETFLIX! Less ads means more views.
Season 2 was a complete disappointment. The storyline had potential, but what a complete down grade. REALLY?? You had more than 2 years to perfect it and it still flopped. (don't get me started on the fake strike)
What a joke! Thank gawd for Weems, probably your only saving grace.
 Like who the heck even watches Netflix anymore? No, seriously, WHO?? 
NOBODY!  
Good job in chasing loyal subscribers away! See ya!
STOP PRIORITIZING ADS BEFORE VIEWERS!! DO YOU REALIZE THAT EVERY AD IS A LOSS IN VIEWS???
And it's less and less every year. Good job Netflix, you're known as nothing more than an AD Agency.
Nobody I know wants to see ads. We already have to pay for the Internet, I'm not paying for anything else!!
 When will these online companies learn, less ads means more views.",en,2025-09-18T06:23:46Z,2025-09-18 02:23:46,0,4,UgzXlZkihn0AIiHCRlZ4AaABAg.ANCRtTmgNHOANLWvYsTfFs,@megha6865,UCAas4X2baz853-t2GbSVH7Q,You guys are seeing ads on Netflix. That’s bad. Then it will come to us as well. That would be really annoying. Why see ads when we are paying so much money. Let them come with cheaper packaged with ads. Not existing ones.,en,2025-09-21T19:00:55Z,2025-09-21 15:00:55,1,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgzXlZkihn0AIiHCRlZ4AaABAg,@shannonwvw,UCk0fRYgLa1zbOThAq3wC4dg,"GOODBYE AD AGENCY NETFLIX! Less ads means more views.
Season 2 was a complete disappointment. The storyline had potential, but what a complete down grade. REALLY?? You had more than 2 years to perfect it and it still flopped. (don't get me started on the fake strike)
What a joke! Thank gawd for Weems, probably your only saving grace.
 Like who the heck even watches Netflix anymore? No, seriously, WHO?? 
NOBODY!  
Good job in chasing loyal subscribers away! See ya!
STOP PRIORITIZING ADS BEFORE VIEWERS!! DO YOU REALIZE THAT EVERY AD IS A LOSS IN VIEWS???
And it's less and less every year. Good job Netflix, you're known as nothing more than an AD Agency.
Nobody I know wants to see ads. We already have to pay for the Internet, I'm not paying for anything else!!
 When will these online companies learn, less ads means more views.",en,2025-09-18T06:23:46Z,2025-09-18 02:23:46,0,4,UgzXlZkihn0AIiHCRlZ4AaABAg.ANCRtTmgNHOANPRAxgc2Ha,@shannonwvw,UCk0fRYgLa1zbOThAq3wC4dg,"@BenjaminEkuadzi Are you Okay? No seriously, Are you? 
Bcuz I'm not sure where 'FREE' entered yr twisted mind. Ppl only invent a narrative and non existent words if they're seriously disturbed. You need a Psychiatrist",en,2025-09-23T07:27:41Z,2025-09-23 03:27:41,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgzXlZkihn0AIiHCRlZ4AaABAg,@shannonwvw,UCk0fRYgLa1zbOThAq3wC4dg,"GOODBYE AD AGENCY NETFLIX! Less ads means more views.
Season 2 was a complete disappointment. The storyline had potential, but what a complete down grade. REALLY?? You had more than 2 years to perfect it and it still flopped. (don't get me started on the fake strike)
What a joke! Thank gawd for Weems, probably your only saving grace.
 Like who the heck even watches Netflix anymore? No, seriously, WHO?? 
NOBODY!  
Good job in chasing loyal subscribers away! See ya!
STOP PRIORITIZING ADS BEFORE VIEWERS!! DO YOU REALIZE THAT EVERY AD IS A LOSS IN VIEWS???
And it's less and less every year. Good job Netflix, you're known as nothing more than an AD Agency.
Nobody I know wants to see ads. We already have to pay for the Internet, I'm not paying for anything else!!
 When will these online companies learn, less ads means more views.",en,2025-09-18T06:23:46Z,2025-09-18 02:23:46,0,4,UgzXlZkihn0AIiHCRlZ4AaABAg.ANCRtTmgNHOANPTv6jnhbZ,@BenjaminEkuadzi,UCTGHjWXNCxb6aTnA5fZe5EA,"​@shannonwvw
Sadly, it is you who need a psychiatrist. It just doesn't make sense to be angry about someone's businesses model because you can't afford it.

If you don't want ads, pay for the packages that allow no ads and stop b**tching about how Netflix should run their business.",en,2025-09-23T07:51:36Z,2025-09-23 03:51:36,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
ueCc-AYUMRs,https://www.youtube.com/watch?v=ueCc-AYUMRs,UgwgOBez34VHNDsPQIh4AaABAg,@michaelwargo5702,UCrfUJFWALUCBG8aUTZkwXNw,"This season was great, as expected ❤❤❤❤❤❤",en,2025-09-17T09:20:34Z,2025-09-17 05:20:34,1,1,UgwgOBez34VHNDsPQIh4AaABAg.ANABKStbXQAANBSxMMam51,@michaelwargo5702,UCrfUJFWALUCBG8aUTZkwXNw,Hello to you ❤❤❤❤,en,2025-09-17T21:13:48Z,2025-09-17 17:13:48,0,8605966,147050,5754,"Mon, 15 Dec 2025 17:18:06 GMT"
