video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgwVPzN6xbor09rqarZ4AaABAg.AMr7jrV16UjAPN0IhCkbww,UgwVPzN6xbor09rqarZ4AaABAg,@everlynevins,UCdmKMG_Rj2smlrgOCyVr6Xg,"Have you seen the teeth of lot of A-list actors? So many of them have terrible teeth. Johnny Depp, Tom Hardy, and every other smoker.",en,2025-11-11T01:57:07Z,2025-11-10 20:57:07,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,Ugwy7bB6PHKsbH6OdU54AaABAg.AMCx98mCYvzAMSStc-USg_,Ugwy7bB6PHKsbH6OdU54AaABAg,@MagisterialVoyager,UCGaRuR1RL2Z4pAWV2X_XqCg,"If you actually watched the show, they did the test and she is 99.9% his biological mother. 😅",en,2025-08-30T15:08:59Z,2025-08-30 11:08:59,1
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,Ugwy7bB6PHKsbH6OdU54AaABAg.AMCx98mCYvzAPN0W2CJuqX,Ugwy7bB6PHKsbH6OdU54AaABAg,@everlynevins,UCdmKMG_Rj2smlrgOCyVr6Xg,"There was a DNA test. Like, that's a key point in the documentary given that she's biologically his mother.",en,2025-11-11T01:58:57Z,2025-11-10 20:58:57,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgzbkyKj03JS92iHxah4AaABAg.AK8G1KXDV4DAKDf1XLpLmr,UgzbkyKj03JS92iHxah4AaABAg,@corsicanlulu,UCeCXLMvNBorssNfvyXy6Akg,his girlfriend abandoned him.i understand he hurt her but she couldve given him one last chance after the betrayal he went thru. thats why he said his real family are friends and not her,en,2025-07-06T04:12:24Z,2025-07-06 00:12:24,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgzbkyKj03JS92iHxah4AaABAg.AK8G1KXDV4DAMUXa84-ZVm,UgzbkyKj03JS92iHxah4AaABAg,@andi-k8y,UCLYPwnoVcT39WNkSEsvX8Eg,"@corsicanlulu She warned him multiple times to be careful and that something was off with his newfound “mom.” Did he listen? No. Instead, he went behind her back and spent all the savings and maxed out the credit cards and this is during when she's heavily pregnant",en,2025-08-31T10:28:30Z,2025-08-31 06:28:30,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgxEi7RKGfPE6FccfDh4AaABAg.AJV0dMh-DUDAJnpFaSb2EE,UgxEi7RKGfPE6FccfDh4AaABAg,@vikyd27,UCkzHaLIh_7eORr3HXXXhvtw,Emotional bond made you brainwashed 😢,zu,2025-06-25T18:02:12Z,2025-06-25 14:02:12,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgyUBUg1OB-W4wv-VMd4AaABAg.AIvTm9CY8yYAJ1mCLoMDhN,UgyUBUg1OB-W4wv-VMd4AaABAg,@Bluet43,UClJ_ZTZ1KOO6wLHCtwVdrpg,frrrr 😭😭😭,no,2025-06-06T16:52:46Z,2025-06-06 12:52:46,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgxP0yoeVzgsShdqTxN4AaABAg.AIO7drL6bUuAMSTGP-QMZx,UgxP0yoeVzgsShdqTxN4AaABAg,@MagisterialVoyager,UCGaRuR1RL2Z4pAWV2X_XqCg,I’d place my money on unresolved childhood trauma.,NA,2025-08-30T15:12:14Z,2025-08-30 11:12:14,0
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,UgyWjHL_ZQPR_gOPxux4AaABAg.AHxhwmSj7nsAI0aiOoS54k,UgyWjHL_ZQPR_gOPxux4AaABAg,@che7941,UCqzYj4EtcROpVBZ_1apzDWw,"Excuse???? 
That man abandoned his wife and newborn baby after a difficult birth for 3 months while sipping champagne in 5 star hotels. 
Abandoned them when they were about to go to new zealand. Spend money out of their shared bank account and created multiple creditcards behind her back. 
The trust is broken and its totally understandable she separates from him. 
His decisions were insanely irresponsible",en,2025-05-12T09:21:47Z,2025-05-12 05:21:47,2
vDu1cdkDURM,CON MUM | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-03-11T11:00:00Z,Ugx8tajiLjhmM7m2DoV4AaABAg.AHa8Y8U4blMAIO86pR7_jY,Ugx8tajiLjhmM7m2DoV4AaABAg,@naders5,UC6Aob-EzekkUASCH6Fh-8JQ,Don't be dumb and do some research,en,2025-05-21T12:44:53Z,2025-05-21 08:44:53,0
