video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,Ugznd4MNlv7ODdML1lN4AaABAg.ANEvObQ102OANr2L1ZuVaX,Ugznd4MNlv7ODdML1lN4AaABAg,@trebor229,UC6fOVTvmPM5JesobEiaNAZw,Yeah really! i was shocked when i found out :(,en,2025-10-04T10:08:35Z,2025-10-04 06:08:35,1
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,Ugw5uqtCVDV_nH5Anrd4AaABAg.ALzKAjxHTnGAOENCBXvrw4,Ugw5uqtCVDV_nH5Anrd4AaABAg,@SouravKapoor-s8o,UCqjvIRF_6k1aI9Am8sEQKcw,She's suitable for skin show only,en,2025-10-13T20:52:39Z,2025-10-13 16:52:39,0
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgxcpNcrGpGxoG67_054AaABAg.AKn09XelnAbALDFgH_TCCJ,UgxcpNcrGpGxoG67_054AaABAg,@FroggyGreen-4kids,UCYENZzcCPy8r_a_uq0wmFiw,Which house? They just went up to random houses and offered them money.,en,2025-07-30T20:53:34Z,2025-07-30 16:53:34,0
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgzMqh0hQNH3XAyPTOd4AaABAg.AKeQFpCj_WrAKqbGVr3b4y,UgzMqh0hQNH3XAyPTOd4AaABAg,@marcuswest1318,UCRwBU4JnJuuvEG8-rHeAGUg,Started Sunday morning finished that night! Can’t tell you the last time I’ve watched a show like that,en,2025-07-21T16:29:07Z,2025-07-21 12:29:07,1
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgzMqh0hQNH3XAyPTOd4AaABAg.AKeQFpCj_WrAKzpweldrqJ,UgzMqh0hQNH3XAyPTOd4AaABAg,@ronsolly9880,UCkOxFBMPyNJ0iJlXc1bRKtg,yes a very good show - now waiting for season 2 announcement,en,2025-07-25T06:30:30Z,2025-07-25 02:30:30,1
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgzMqh0hQNH3XAyPTOd4AaABAg.AKeQFpCj_WrAMQCjeCIlbU,UgzMqh0hQNH3XAyPTOd4AaABAg,@angelad7759,UCmOseHV5h1HoClqlPRws8rA,There will be no season 2-the show is canceled .,en,2025-08-29T18:09:20Z,2025-08-29 14:09:20,2
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgyFrkPqoyvCexhHfQN4AaABAg.AKKmX7qubVWAKLil_ORqYk,UgyFrkPqoyvCexhHfQN4AaABAg,@TuckerMasterson-t6i,UC3IFMIzHU9b54Up6Xvctv4g,Except the characters are worse in every way,en,2025-07-09T07:18:58Z,2025-07-09 03:18:58,0
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgzGNCCjUyKmFNv3o5R4AaABAg.AKI_W2qdMxlAKLiqRn6Q2I,UgzGNCCjUyKmFNv3o5R4AaABAg,@TuckerMasterson-t6i,UC3IFMIzHU9b54Up6Xvctv4g,It shows that crime doesn't pay as the plot shows them go down the drain and how these aren't good people,en,2025-07-09T07:19:38Z,2025-07-09 03:19:38,0
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgxFKedvqjHiddyYjZ14AaABAg.AKEO8pSyGg7AKLisUo17h9,UgxFKedvqjHiddyYjZ14AaABAg,@TuckerMasterson-t6i,UC3IFMIzHU9b54Up6Xvctv4g,Worse in every way,en,2025-07-09T07:19:54Z,2025-07-09 03:19:54,0
vE-oYo1hIEs,The Waterfront | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T15:00:00Z,UgzT8cHWCwdQXZYiB8t4AaABAg.AK0pjhkzZPbAK5bevdnX8q,UgzT8cHWCwdQXZYiB8t4AaABAg,@life8801,UCo9h74hQy3qSB4YXlzeQkFg,The family drama reminds me of Bloodline.,en,2025-07-03T01:09:02Z,2025-07-02 21:09:02,0
