video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,Ugzvwgy0Ts13CiiEjMZ4AaABAg,NA,@_priszz7379,UCbOE9mztehUzjEk6mvzbmSg,This movie deserve an Oscar. Absolute cinematic!!,en,2025-12-15T15:13:42Z,2025-12-15 10:13:42,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,UgwmsXndtKBPgPBCiud4AaABAg,NA,@elidacampos_al,UC0qV74xhDRGNM52HhwnLA0w,"Esse filme é fantástico!!! Jacob, quero ser sua companhia ❤❤❤❤",pt,2025-12-13T04:04:24Z,2025-12-12 23:04:24,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,UgxrR7irBGMAfZRoObR4AaABAg,NA,@LeBronisthesun,UC1qkTKtdOPROXaEzupyJs3g,This was absolute Cinema 🙌,en,2025-12-13T03:22:36Z,2025-12-12 22:22:36,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,Ugy8F7oA_FmS-uj0EQd4AaABAg,NA,@madfusion-t4b,UCnX5FanYzXzeFfvq-lHWGQw,"Should have just called it ""Stein""",en,2025-12-13T03:06:56Z,2025-12-12 22:06:56,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,UgxRFFqRaa6jO65n6aR4AaABAg,NA,@Maolana_ModiG,UCKcpoK5otyFioSRAMxBnPoQ,What a great movie in this decade.,en,2025-12-12T23:03:37Z,2025-12-12 18:03:37,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,Ugzjkffvprke091_X1J4AaABAg,NA,@LordNaruto-tq6ro,UCkVX4gc7d08BWMfJgWPypmQ,I felt really sad at the end. It was such a well-crafted movie.,en,2025-12-11T20:14:27Z,2025-12-11 15:14:27,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,Ugyo5tIvZ0oRDwvuPqt4AaABAg,NA,@RovertVert-fw8dy,UCKFaQoPfW6CLeVPZFY2FXHw,Sobrang Ganda nito sobra...heartbreaking ung movie Hindi nakakatakot..worth it Yung movie promise,NA,2025-12-11T08:39:41Z,2025-12-11 03:39:41,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,UgzYLEsHVswLVcV2KBB4AaABAg,NA,@xidiamond6851,UCY8QTbhKJ956lLm9HcGHxnQ,Here after the golden globe nomination. Didn’t know this existed,en,2025-12-08T14:51:43Z,2025-12-08 09:51:43,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,UgxccHdN-6mQfZ_uHLN4AaABAg,NA,@Andy_nonis,UCODNOtpgiOoR_pBVo9jgsBg,Please teach marvel how to create fighting scenes like this masterpiece,en,2025-12-07T15:14:12Z,2025-12-07 10:14:12,0,0
x--N03NO130,Frankenstein | Guillermo del Toro | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:08:50Z,11505647,263393,12112,UgxCDBqDkvzJkHBJnH14AaABAg,NA,@NaziaSardar-l9w,UC5DCWBPhCT2vW0CzDbZbhCA,I DONT NEED TO WATCH MOVIE OF FRANKENSTEIN I HAVE READ THE WHOLE BOOK,en,2025-12-07T11:35:29Z,2025-12-07 06:35:29,0,0
