video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgxASnc1vta22MaggxZ4AaABAg,@Trainedtick_vr,UCuTsWZn0JMEdW9nIwlL9nqA,What if beck isn’t dead,en,2025-03-09T00:10:47Z,2025-03-08 19:10:47,1,1,UgxASnc1vta22MaggxZ4AaABAg.AFQomlyo99iAFZoWi9OmM-,@sfinn85,UC9Z7rZD0Yw74_1mnvTk7Avw,She is.  The police found her body and Joe framed Dr. Nicky for her murder,en,2025-03-12T12:01:38Z,2025-03-12 08:01:38,0,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgyiTiai5O1ZufrN6xR4AaABAg,@ishansohelrahaman8487,UCSj7QdXbA2ySHQNJzWB1XvA,We need more seasons not just only 1 more and more.Just love to watch.,en,2025-03-06T20:22:27Z,2025-03-06 15:22:27,1,2,UgyiTiai5O1ZufrN6xR4AaABAg.AFLG3aTPyXCAFZogrOK_Jx,@sfinn85,UC9Z7rZD0Yw74_1mnvTk7Avw,Penn Badgley only agreed to do this season as long as Joe's story came to an end,en,2025-03-12T12:03:09Z,2025-03-12 08:03:09,0,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgyiTiai5O1ZufrN6xR4AaABAg,@ishansohelrahaman8487,UCSj7QdXbA2ySHQNJzWB1XvA,We need more seasons not just only 1 more and more.Just love to watch.,en,2025-03-06T20:22:27Z,2025-03-06 15:22:27,1,2,UgyiTiai5O1ZufrN6xR4AaABAg.AFLG3aTPyXCAFZpZm9i6GE,@ishansohelrahaman8487,UCSj7QdXbA2ySHQNJzWB1XvA,@sfinn85  It may come to an end but not so soon as we are not done with each other yet should go on atleast 10 seasons must be made,en,2025-03-12T12:10:47Z,2025-03-12 08:10:47,0,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,Ugy5DGfQnzm1aeVbB8p4AaABAg,@demiladeobiz7760,UCyHdfaq3-DX8dvi7wkcinKA,joe fits dexter's code,nl,2025-02-25T22:47:15Z,2025-02-25 17:47:15,5,3,Ugy5DGfQnzm1aeVbB8p4AaABAg.AEzLUITOKH8AEzxj_n1--g,@migelcorales2757,UCIWeOOCSNmkkPVMjHSRbh7w,Oh you think 😅😅,en,2025-02-26T04:30:16Z,2025-02-25 23:30:16,1,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,Ugy5DGfQnzm1aeVbB8p4AaABAg,@demiladeobiz7760,UCyHdfaq3-DX8dvi7wkcinKA,joe fits dexter's code,nl,2025-02-25T22:47:15Z,2025-02-25 17:47:15,5,3,Ugy5DGfQnzm1aeVbB8p4AaABAg.AEzLUITOKH8AFSIEMXu-si,@adreamaboutbeingaperson,UCWTm9fUkWDsd5mFN9wmbd1g,YOU don't say?,en,2025-03-09T13:56:05Z,2025-03-09 09:56:05,1,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,Ugy5DGfQnzm1aeVbB8p4AaABAg,@demiladeobiz7760,UCyHdfaq3-DX8dvi7wkcinKA,joe fits dexter's code,nl,2025-02-25T22:47:15Z,2025-02-25 17:47:15,5,3,Ugy5DGfQnzm1aeVbB8p4AaABAg.AEzLUITOKH8APHWIlGUHpX,@foidmanipulator,UCJuQ-5dfLNAPzdE8_bRxDeA,“how do i make this video about dexter”,en,2025-11-08T22:41:18Z,2025-11-08 17:41:18,1,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgwJkY4CFgM8CzxGoV94AaABAg,@rishabammer,UCdbDMZ_B2tstOAB1PCSIUdQ,0:52 why does it say April 2024 ?,en,2025-02-18T07:35:13Z,2025-02-18 02:35:13,0,1,UgwJkY4CFgM8CzxGoV94AaABAg.AEfgYCXD4d8AEo-CVCdgZs,@elboy3150,UCL7wzYp4p_mBTtE8HYwVhLQ,24 apill,NA,2025-02-21T13:00:56Z,2025-02-21 08:00:56,0,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgwBOegXpsvSykQHFU14AaABAg,@Fed-FR,UCXJW8SBh5RntATZdKNzq7NA,It would be great to see a female version of YOU.,en,2025-02-18T00:33:53Z,2025-02-17 19:33:53,1,1,UgwBOegXpsvSykQHFU14AaABAg.AEewKKO6hfyAF6Pba4itR1,@MiChk1212,UCzP_72Iel6ECT-neb37EiDg,Girls are made of sugar and spice and everything nice ... IMPOSSIBLE.🤭,en,2025-03-01T01:57:16Z,2025-02-28 20:57:16,0,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgwTvNNyuzZNKfa_ysN4AaABAg,@unknownspirit9334,UCNtQOU3mg2NBorny9NtlM5Q,Suggest me more series like you,en,2025-02-05T16:52:50Z,2025-02-05 11:52:50,0,1,UgwTvNNyuzZNKfa_ysN4AaABAg.AEAD0zDjoPtAEMK3E6CW8Q,@Chuwks999,UCnv2sCwbZRGR5B7F9n_6pLQ,Me,mi,2025-02-10T09:45:12Z,2025-02-10 04:45:12,0,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
xcicf6XmtnM,https://www.youtube.com/watch?v=xcicf6XmtnM,UgygsvZlR_ZavwXxkSh4AaABAg,@bbyselz,UCB4cynBhYcPC6Tx-drMIZNA,It will be such a good plot twist if love quinn comes back in this season,en,2025-02-03T05:42:10Z,2025-02-03 00:42:10,0,1,UgygsvZlR_ZavwXxkSh4AaABAg.AE3rg4_TS-sAFZp3vNQumN,@sfinn85,UC9Z7rZD0Yw74_1mnvTk7Avw,It was confirmed by the showrunner after the S3 finale that Love is 100% dead,en,2025-03-12T12:06:26Z,2025-03-12 08:06:26,1,1276642,38001,2011,"Tue, 16 Dec 2025 14:42:36 GMT"
