video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,UgzfOyT_s_e_QOzQW3t4AaABAg.AKEHI7BL3wFAKHGiDlx3EV,UgzfOyT_s_e_QOzQW3t4AaABAg,@Boomianimator,UCj2nMYYXps8Q_CqP7ZlgGgg,Sadly no. Every anime releases 1 ep per week but i think tms will release 2 episodes at once bc they did that in the previous season,en,2025-07-07T13:48:08Z,2025-07-07 09:48:08,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugwri88gIlai3A1kG554AaABAg.AKCxSYwR3wXAKONJD9qgv0,Ugwri88gIlai3A1kG554AaABAg,@JudeauYt,UCyYfDpgpCte0xLj-lKcrrDQ,Have you not tried chinese based animated series,en,2025-07-10T08:00:26Z,2025-07-10 04:00:26,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugwri88gIlai3A1kG554AaABAg.AKCxSYwR3wXAKP2wvst3k0,Ugwri88gIlai3A1kG554AaABAg,@sarahlencioni607,UCZpR6gA-JAEeTPtQ1rHgE1w,​​@wynn-z  huh I didnt know they made those plus I alway get them confused. 😅,en,2025-07-10T14:21:44Z,2025-07-10 10:21:44,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugwq_V0cCsCCOXi6mpR4AaABAg.AK-zKsz4pyDAKGBCpmMa3O,Ugwq_V0cCsCCOXi6mpR4AaABAg,@Maru_812,UCk-p0DdUsKh0kmVRUseO60w,That's good did u ever read the manga?,NA,2025-07-07T03:40:47Z,2025-07-06 23:40:47,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugwq_V0cCsCCOXi6mpR4AaABAg.AK-zKsz4pyDAKGC9mBZYeH,Ugwq_V0cCsCCOXi6mpR4AaABAg,@imlost491,UCMxbxbBUzgLHYxb7RVffP7g,​@Maru_812I'm barely reading it to get ahead 🤩,en,2025-07-07T03:49:06Z,2025-07-06 23:49:06,1
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,UgxIlconlwLqv3vNoWZ4AaABAg.AJZ54S1-txVAJfLxTTC-hi,UgxIlconlwLqv3vNoWZ4AaABAg,@arslanmalik151,UC_FGRF5o1ImbgOoDxiJWRAQ,You mean Akira and Shin,NA,2025-06-22T11:03:32Z,2025-06-22 07:03:32,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugw7uWZAFguX-dcb9uR4AaABAg.AIi1Y6edIEqAIii8XF5ecK,Ugw7uWZAFguX-dcb9uR4AaABAg,@dweiloon,UCnpj97rZOqrTpv4H17f4vlQ,MY GOAT!!! Genuinely sounds so good so I can't wait to hear it!!,en,2025-05-29T21:52:29Z,2025-05-29 17:52:29,6
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugw7uWZAFguX-dcb9uR4AaABAg.AIi1Y6edIEqAIl63c71vcz,Ugw7uWZAFguX-dcb9uR4AaABAg,@bush3126,UCvmEDRonEGV9YEGxBFEI0OQ,🔥🔥🔥🔥🔥,ja,2025-05-30T20:08:45Z,2025-05-30 16:08:45,2
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugw7uWZAFguX-dcb9uR4AaABAg.AIi1Y6edIEqAImPTWaucE2,Ugw7uWZAFguX-dcb9uR4AaABAg,@saputri3480,UCQ5zUE2hPnQs2jmlT_35k5g,I CANT WAIT ❤‍🔥❤‍🔥❤‍🔥❤‍🔥,NA,2025-05-31T08:17:33Z,2025-05-31 04:17:33,3
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugw7uWZAFguX-dcb9uR4AaABAg.AIi1Y6edIEqAJ0QwtlAMnW,Ugw7uWZAFguX-dcb9uR4AaABAg,@noting_eh,UCKm8F2Kzj_3tq0L2VYlM0IQ,W,pl,2025-06-06T04:19:02Z,2025-06-06 00:19:02,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugw7uWZAFguX-dcb9uR4AaABAg.AIi1Y6edIEqAJ39YKUKzMh,Ugw7uWZAFguX-dcb9uR4AaABAg,@ChromiumDome411,UCiIFaV3M_YwhVNpEy9r1Bug,Can’t wait for that P E A K to enter my eardrums.,en,2025-06-07T05:44:43Z,2025-06-07 01:44:43,0
y-PdMVbil3o,Sakamoto Days | Part 2 Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-13T23:00:01Z,Ugw7uWZAFguX-dcb9uR4AaABAg.AIi1Y6edIEqAJBcPf3vrvm,Ugw7uWZAFguX-dcb9uR4AaABAg,@jimmyseit934,UCOqHFCWmuu6qggu9JetD5rg,When is it coming mr kroi,NA,2025-06-10T12:39:36Z,2025-06-10 08:39:36,0
