video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,UgwE6tXzjnCE2uivynl4AaABAg,@doby21,UCXTCrDDKYW1-FyWWt6ZLGAA,Who’s still here in December 2025?,NA,2025-12-07T05:46:58Z,2025-12-07 00:46:58,5,1,UgwE6tXzjnCE2uivynl4AaABAg.AQQNGsKZzMPAQZj9e6vg0j,@lulu_éditz222,UCgUUBChkGgjFltb_D1i1cqg,My,zh,2025-12-10T21:00:07Z,2025-12-10 16:00:07,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,UgxQmQjAYpaREIGNo_Z4AaABAg,@NathanAkeroyd-t2z,UCwqJObXrwS_5r9d3nA-8q7w,That's 096 voice not 202 0:46,en,2025-12-06T18:29:28Z,2025-12-06 13:29:28,1,1,UgxQmQjAYpaREIGNo_Z4AaABAg.AQP9jkVVDkiAQX4Z0BsFET,@x.prscill4,UCNmN5gWHUNAbTh1CucEOxmA,Sybau,NA,2025-12-09T20:18:06Z,2025-12-09 15:18:06,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,Ugw7IZvPjYtkqL2R9CR4AaABAg,@jamesgardner2980,UCGztD4IaA28e3LZG1MvPFxQ,Hey also in the trailer everyone was so excited for this season but on the actual day it came out it was a flop it looked like shit,en,2025-11-23T22:32:49Z,2025-11-23 17:32:49,3,4,Ugw7IZvPjYtkqL2R9CR4AaABAg.APt7Ffh48whAQ6udCe4lDB,@ragnaricstudios5888,UCW5C1Z1WKC3ulmmR14-3azA,"It was a good season, idk what you’re talking about, you just wanna be spoon fed your stupid happy ending",en,2025-11-29T16:22:26Z,2025-11-29 11:22:26,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,Ugw7IZvPjYtkqL2R9CR4AaABAg,@jamesgardner2980,UCGztD4IaA28e3LZG1MvPFxQ,Hey also in the trailer everyone was so excited for this season but on the actual day it came out it was a flop it looked like shit,en,2025-11-23T22:32:49Z,2025-11-23 17:32:49,3,4,Ugw7IZvPjYtkqL2R9CR4AaABAg.APt7Ffh48whAQ6vaPMhE7v,@MuhammadA13,UCmiBLEpbD7LRzsr8ZMR8eVg,@ragnaricstudios5888not a happy ending but a Good ending,ca,2025-11-29T16:30:47Z,2025-11-29 11:30:47,1,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,Ugw7IZvPjYtkqL2R9CR4AaABAg,@jamesgardner2980,UCGztD4IaA28e3LZG1MvPFxQ,Hey also in the trailer everyone was so excited for this season but on the actual day it came out it was a flop it looked like shit,en,2025-11-23T22:32:49Z,2025-11-23 17:32:49,3,4,Ugw7IZvPjYtkqL2R9CR4AaABAg.APt7Ffh48whAQ6wjWOli34,@jamesgardner2980,UCGztD4IaA28e3LZG1MvPFxQ,​@MuhammadA13Yeah,NA,2025-11-29T16:40:46Z,2025-11-29 11:40:46,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,Ugw7IZvPjYtkqL2R9CR4AaABAg,@jamesgardner2980,UCGztD4IaA28e3LZG1MvPFxQ,Hey also in the trailer everyone was so excited for this season but on the actual day it came out it was a flop it looked like shit,en,2025-11-23T22:32:49Z,2025-11-23 17:32:49,3,4,Ugw7IZvPjYtkqL2R9CR4AaABAg.APt7Ffh48whAQ9eJyrxF82,@ragnaricstudios5888,UCW5C1Z1WKC3ulmmR14-3azA,"@MuhammadA13and it was, what was so wrong with it?",en,2025-11-30T17:57:35Z,2025-11-30 12:57:35,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,Ugzy0Dfwrh-umOHRxGx4AaABAg,@CircleOfElimination-333,UCFC8QeG-GAe8BWS29YerMLw,I remember watching this for the first time time goes fast I guess,en,2025-11-16T16:12:34Z,2025-11-16 11:12:34,5,1,Ugzy0Dfwrh-umOHRxGx4AaABAg.APaQAWLktfKAPiAjN6uQTU,@Superawsomesuperkai008,UCqnLF75K8qw1Pck0ZU8ogyw,Same I watched it during the tudum event,en,2025-11-19T16:31:34Z,2025-11-19 11:31:34,1,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,Ugw8kuT9D47gGVLY09N4AaABAg,@WaleedBadshahVlogs,UCnfJKYgnlWah-xoaQ-AJvvQ,Where I can find the season 3,en,2025-11-09T21:05:39Z,2025-11-09 16:05:39,1,1,Ugw8kuT9D47gGVLY09N4AaABAg.APJv9402SjTAPVlQA01wgs,@IndiaBallMapping172,UCfiMMAtm2U0_j6Gon-50wIg,Netflix,hu,2025-11-14T11:31:30Z,2025-11-14 06:31:30,1,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,UgwMXPuikfzYPdpk0dZ4AaABAg,@RedLimeEdit,UCZK_AriF4sSleqfNBgDA14w,brother this is old season,en,2025-10-31T10:17:08Z,2025-10-31 06:17:08,0,2,UgwMXPuikfzYPdpk0dZ4AaABAg.AOw_mJc-8HTAP--g-G7lUa,@giamfamilysimplesandbox2701,UCcLr0gmI6-tensu11pLLsUw,Nah,jv,2025-11-01T18:09:56Z,2025-11-01 14:09:56,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
zgGTVaG2UiQ,https://www.youtube.com/watch?v=zgGTVaG2UiQ,UgwMXPuikfzYPdpk0dZ4AaABAg,@RedLimeEdit,UCZK_AriF4sSleqfNBgDA14w,brother this is old season,en,2025-10-31T10:17:08Z,2025-10-31 06:17:08,0,2,UgwMXPuikfzYPdpk0dZ4AaABAg.AOw_mJc-8HTAP-y_49mD2h,@RedLimeEdit,UCZK_AriF4sSleqfNBgDA14w,@giamfamilysimplesandbox2701 ok but i watched 2 months ago 😊,NA,2025-11-02T03:10:45Z,2025-11-01 23:10:45,0,31657675,642079,32598,"Mon, 15 Dec 2025 15:22:54 GMT"
